Year,Incident_number,County,County2,County3,Fire_name,Start,Contained,DPA,DPA2,Other_acres_burned,Veg_type,Cause,Destroyed_structures,Damaged_structures,Firefighter_fatalities,Civilian_fatalities
2008,KNP-0035,Tulare,NA,NA,Hidden,9/10/2008,9/30/2008,NP,NA,3668,T,Lightning,0,0,0,0
2008,LPF-2754,Monterey,NA,NA,Chalk,9/25/2008,10/29/2008,USFS,NA,16269,T,Misc.,0,0,0,0
2008,MCP-08-2515,San Diego,NA,NA,Roblar,9/25/2008,9/29/2008,MIL,NA,400,B,Misc.,0,0,0,0
2008,STF-2458,Tuolumne,NA,NA,Dome Rock,9/30/2008,11/15/2008,USFS,NA,919,T,Lightning,0,0,0,0
2008,MCP-2640,San Diego,NA,NA,November,10/8/2008,10/9/2008,MIL,NA,1400,GB,Human,0,0,0,0
2008,ANF-3833,Los Angeles,NA,NA,Marek,10/12/2008,10/16/2008,USFS,NA,4824,B,Misc.,65,9,0,0
2008,MRN-2428,Marin,NA,NA,Angel,10/12/2008,10/14/2008,CC,NA,303,B,Undetermined,1,0,0,0
2008,LAC-8231953,Los Angeles,NA,NA,Sesnon,10/13/2008,10/18/2008,CC,NA,14703,BG,Undetermined,78,15,0,0
2008,MCP-2699,San Diego,NA,NA,Juliett,10/13/2008,10/17/2008,MIL,NA,4026,BG,Undetermined,0,0,0,0
2008,YNP-764,Mariposa,NA,NA,Wawona NW,10/14/2008,10/19/2008,NP,NA,450,T,Human,0,0,0,0
2008,SBC-9981,Santa Barbara,NA,NA,Tea Incident,11/13/2008,11/17/2008,CC,NA,1940,T,Campfire,221,9,0,0
2008,LFD-1460,Los Angeles,NA,NA,Sayre,11/14/2008,11/21/2008,CC,NA,11262,TB,Misc.,604,147,0,0
