Year,Region,Ranger_unit,Ranger_unit2,Fire_name,Start,Contained,DPA,CDF_acres_burned,Other_acres_burned,Veg_type,Cause,Destroyed_structures
1984,II,Butte,,Bidwell,7/2/1984,7/5/1984,CDF,6900,,B,Equip. Use,
1984,II,Lassen-Modoc,,BLM D 284,7/5/1984,,BLM,,12100,,N/A,
1984,II,Lassen-Modoc,,BLM D 337,8/11/1984,,BLM,,1480,,N/A,
1984,II,Lassen-Modoc,,Eagle,8/12/1984,8/13/1984,CDF,580,,T,Cmpr.,
1984,II,Lassen-Modoc,,Modoc N.F. 094,8/13/1984,8/16/1984,USFS,,4000,TB,Equip. Use,
1984,II,Lassen-Modoc,,P.N.F. 115,8/21/1984,,USFS,,1100,,N/A,
1984,II,Siskiyou,,Bolam,11/1/1984,11/2/1984,CDF,370,,B,Debris,
1984,II,Tehama-Glenn,,Lowery,7/12/1984,7/13/1984,CDF,2645,,WBG,Cmpr.,1
1984,II,Tehama-Glenn,,Mill Creek,7/28/1984,7/30/1984,CDF,4020,,W,Smkr.,
1984,IV,Fresno-Kings,,Sherman #1,5/24/1984,5/24/1984,CDF,440,,BG,Misc.,
1984,IV,Fresno-Kings,,Flat Top,5/25/1984,5/26/1984,CDF,6825,,BG,Elec. Power,
1984,IV,Fresno-Kings,,Barton,5/29/1984,5/30/1984,CDF,300,,BG,P/W/F,
1984,IV,Madera-Mariposa,,China Hat,8/30/1984,8/30/1984,CDF,2000,,G,Misc.,
1984,IV,Kern County,,Fay Ranch,5/8/1984,5/10/1984,CC,,1175,BG,Misc.,
1984,IV,Kern County,,Woodrow,5/24/1984,5/26/1984,CC,,1200,B,N/A,
1984,IV,Kern County,,Kern #10,5/30/1984,,CC,,300,B,Ltng.,
1984,IV,Tulare,,Wells,7/5/1984,7/6/1984,CDF,407,,W,Ltng.,
1984,IV,Kern County,,Bodfish,7/7/1984,7/13/1984,CC,,23200,B,Debris,
1984,IV,Sequoia NF,,USFS #13,5/29/1984,5/30/1984,USFS,,480,B,Ltng.,
1984,IV,Kern County,Los Padres NF,USFS #14,8/10/1984,8/12/1984,USFS,,2405,BG,Ltng.,
1984,IV,Kern County,,Kern Co. #25,8/18/1984,8/18/1984,CC,,1500,BG,N/A,
1984,IV,Kern County,,Kern Co. #26,8/19/1984,8/20/1984,CC,,300,B,N/A,
1984,IV,Kern County,,Kern Co. #27,8/19/1984,8/20/1984,CC,,6000,BG,N/A,
1984,IV,Tulare,,Bar-O-Escape,8/29/1984,9/1/1984,CDF,1390,,B,Misc.,
1984,IV,Tuolumne-Calaveras,,Salt Springs,6/24/1984,6/25/1984,CDF,4800,,WG,Debris,
1984,IV,Tuolumne-Calaveras,,Quartz,7/7/1984,7/8/1984,CDF,2580,,WBG,Equip. Use,1
1984,V,San Benito-Monterey,,Reliz Canyon,5/22/1984,5/22/1984,CDF,825,,BGAP,Arson,
1984,V,San Benito-Monterey,,Bonanza,6/2/1984,6/3/1984,CDF,12906,,WBG,Debris,
1984,V,San Luis Obispo,,BLM #1,5/21/1984,5/21/1984,CDF,560,,B,Misc.,
1984,V,San Luis Obispo,,Morretti,5/29/1984,5/30/1984,CDF,1330,,BG,Ltng.,
1984,V,Santa Barbara County,,Pasqual,6/8/1984,6/9/1984,CC,,400,G,N/A,
1984,V,San Mateo-Santa Cruz,,Rocha Vmp Escape #2,9/8/1984,9/9/1984,CDF,550,,WBG,Misc.,
1984,V,Santa Clara,,Nunes,6/1/0984,6/1/1984,CDF,330,,WB,Ltng.,
1984,V,Santa Clara,,Site 300 #3,6/28/1984,6/28/1984,CDF,3713,1046,BG,Debris,
1984,V,Santa Clara,,Pacheco #2,7/5/1984,7/6/1984,CDF,1103,,WBG,Ltng.,
1984,VI,Owens Valley,,Cow,9/29/1984,9/30/1984,BLM,,2980,B,Equip. Use,
1984,VI,Orange County,,Orco Assist,1/26/1984,1/27/1984,CC,,1200,BG,N/A,
1984,VI,Riverside,,Rattlesnake,3/20/1984,3/20/1984,CDF,700,,BG,Misc.,
1984,VI,Cleveland NF,,Aguanga,5/30/1984,6/3/1984,USFS,1708,4293,B,Ltng.,
1984,VI,Riverside,,White Water,7/7/1984,7/10/1684,CDF,300,,B,Ltng.,
1984,VI,Orange County,,Coal,7/8/1984,7/9/1984,CC,42,508,B,P/W/F,
1984,VI,Riverside,,Soboba #7,10/25/1984,10/25/1984,CDF,972,,B,Misc.,
1984,VI,Riverside,,Canel,10/26/1984,10/28/1984,LOCAL,,665,B,Misc.,
1984,VI,Angeles NF,,Crest,1/26/1984,1/29/1984,USFS,,600,BG,Elec. Power,
1984,VI,Ventura County,,Grimes,5/7/1984,5/8/1984,CC,,10500,BG,Equip. Use,
1984,VI,San Bernardino,,Stoddard #2,5/12/1984,5/13/1984,BLM,,2126,BG,Equip. Use,
1984,VI,San Bernardino,,Lytle,5/28/1984,5/30/1984,USFS,,2100,B,N/A,
1984,VI,San Bernardino,,Los Flores,5/30/1984,5/30/1984,CDF,316,,B,Ltng.,
1984,VI,San Bernardino,,Rattlesnake,6/28/1984,,USFS,75,265,BG,Ltng.,
1984,VI,San Bernardino,,Mariposa,8/27/1984,8/27/1984,CDF,280,60,B,Arson,
1984,VI,Ventura County,,Squaw Flat,10/15/1984,10/17/1984,CC,,6010,B,N/A,
1984,VI,San Diego,,Proctor,4/21/1984,4/22/1984,CDF,2563,,B,Misc.,
1984,VI,San Diego,,Bowles,9/6/1984,9/8/1984,CDF,2836,,B,Arson,
