Firename_year,Year,Region,Ranger_unit,FIRE_NAME,Start,Contained,DPA,CDF_acres_burned,Other_acres_burned,Veg_type,Cause,Destroyed_structures,Firefighter_fatalities,Damaged_structures,Civilian_fatalities,Incident_number,Ranger_unit2,National_forest,County,County2,County3,DPA2,Fire_name2
THIRTY ONE 2_2014,2014,NA,NA,THIRTY ONE 2,8/9/14,8/9/14,CDF,370,NA,G,Vehicle,0,0,0,0,LNU-6737,NA,NA,Yolo,NA,NA,NA,NA
STONY_2014,2014,NA,NA,STONY,6/19/14,6/22/14,MIL,NA,4840,TG,Human,0,0,0,0,FHL-1693,NA,NA,Monterey,NA,NA,NA,NA
LOOP_2014,2014,NA,NA,LOOP,6/30/14,6/30/14,MIL,NA,500,BG,Undetermined,0,0,0,0,FHL-1818,NA,NA,Monterey,NA,NA,NA,NA
MODOC JULY COMPLEX_2014,2014,NA,NA,MODOC JULY COMPLEX,7/1/14,7/7/14,USFS,NA,2566,B,Lightning,0,0,0,0,MDF-344,NA,NA,Modoc,NA,NA,NA,NA
FOREBAY_2015,2015,NA,NA,FOREBAY,5/11/15,5/12/15,CDF,692,NA,G,Vehicle,0,0,0,0,MMU-8812,NA,NA,Merced,NA,NA,NA,NA
TRIPLE 3_2015,2015,NA,NA,TRIPLE 3,7/21/15,7/21/15,CDF,430,NA,G,Lightning,0,0,0,0,TUU-383,NA,NA,Tulare,NA,NA,NA,NA
CARL_2015,2015,NA,NA,CARL,4/28/15,4/29/15,DOD,NA,4000,B,Undetermined,0,0,0,0,MCP-1207,NA,NA,San Diego,NA,NA,NA,NA
MORTAR_2015,2015,NA,NA,MORTAR,4/28/15,4/29/15,DOD,NA,800,B,Undetermined,0,0,0,0,MCP-1210,NA,NA,San Diego,NA,NA,NA,NA
GRENADE_2015,2015,NA,NA,GRENADE,4/29/15,5/5/15,DOD,NA,2025,B,Undetermined,0,0,0,0,MCP-1212,NA,NA,San Diego,NA,NA,NA,NA
PEANUT_2015,2015,NA,NA,PEANUT,6/11/15,6/11/15,DOD,NA,1532,G,Undetermined,0,0,0,0,FHL-001570,NA,NA,Monterey,NA,NA,NA,NA
RIVER COMPLEX_2015,2015,NA,NA,RIVER COMPLEX,7/30/15,10/15/15,USFS,NA,77081,T,Lightning,0,0,0,0,SHF-2066,NA,NA,Trinity,NA,NA,NA,NA
GASQUET COMPLEX_2015,2015,NA,NA,GASQUET COMPLEX,7/31/15,10/15/15,USFS,NA,30361,T,Lightning,0,0,0,0,SRF-1488,NA,NA,Del Norte,NA,NA,NA,NA
HORNO_2015,2015,NA,NA,HORNO,8/13/15,8/17/15,DOD,NA,1846,NA,Human,0,0,0,0,MCP-2459,NA,NA,San Diego,NA,NA,NA,NA
DEER_2015,2015,NA,NA,DEER,8/18/15,8/20/15,KRN,NA,311,NA,Undetermined,0,0,0,0,KRN-30112,NA,NA,Kern,NA,NA,NA,NA
FORT_2016,2016,NA,NA,FORT,7/8/16,7/9/16,CC,NA,554,BG,Undetermined,0,0,0,0,KRN-25390,NA,NA,Kern,NA,NA,NA,NA
99_2016,2016,NA,NA,99,8/2/16,8/8/16,CDF,520,NA,G,Playing with fire,0,0,0,0,BTU-11608,NA,NA,Butte,NA,NA,NA,NA
FLAT_2016,2016,NA,NA,FLAT,9/19/16,9/22/16,CC,NA,307,G,Equipment use,0,0,0,0,KRN-35570,NA,NA,Kern,NA,NA,NA,NA
CAMP ROBERTS_2016,2016,NA,NA,CAMP ROBERTS,5/18/16,5/20/16,MIL,NA,3712,G,Undetermined,0,0,0,0,SCU-5280,NA,NA,San Luis Obispo,NA,NA,NA,NA
CROWN_2016,2016,NA,NA,CROWN,9/15/16,10/31/16,USFS,NA,800,T,Lightning,0,0,0,0,SNF-2154,NA,NA,Fresno,NA,NA,NA,NA
EL DORADO_2017,2017,NA,NA,EL DORADO,4/28/17,4/28/17,CDF,750,NA,G,Undetermined,0,0,0,0,FKU-5669,NA,NA,Fresno,NA,NA,NA,NA
TARINA_2017,2017,NA,NA,TARINA,6/30/17,7/1/17,CC,NA,1200,G,Undetermined,0,0,0,0,KRN-24894,NA,NA,Kern,NA,NA,NA,NA
ADOBE (CENTRAL LNU COMPLEX - NUNS)_2017,2017,NA,NA,ADOBE (CENTRAL LNU COMPLEX - NUNS),10/8/17,10/31/17,CDF,3700,NA,BGT,Electrical power,0,0,0,0,LNU-10050,NA,NA,Sonoma,NA,NA,NA,NA
PARTRICK (CENTRAL LNU COMPLEX - NUNS)_2017,2017,NA,NA,PARTRICK (CENTRAL LNU COMPLEX - NUNS),10/8/17,10/31/17,CDF,8283,NA,BGT,Electrical power,0,0,0,0,LNU-10051,NA,NA,Napa,NA,NA,NA,NA
DELUZ_2017,2017,NA,NA,DELUZ,5/19/17,5/22/17,DOD,NA,486,BG,Misc,0,0,0,0,MCP-1494,NA,NA,San Diego,NA,NA,NA,NA
RANGE_2017,2017,NA,NA,RANGE,6/4/17,6/11/17,DOD,NA,1972,G,Misc,0,0,0,0,FHL-1267,NA,NA,Monterey,NA,NA,NA,NA
QUAIL COMPLEX_2017,2017,NA,NA,QUAIL COMPLEX,7/6/17,7/6/17,CC,NA,1626,BG,Undetermined,0,0,0,0,KRN-26708,NA,NA,Kern,NA,NA,NA,NA
FARAD_2017,2017,NA,NA,FARAD,7/10/17,7/16/17,USFS,NA,747,BGT,Undetermined,0,0,0,0,HTF-30363,NA,NA,Nevada,NA,NA,NA,NA
MODOC JULY COMPLEX_2017,2017,NA,NA,MODOC JULY COMPLEX,7/24/17,8/13/17,USFS,NA,83120,BGT,Undetermined,0,0,0,0,MDF-671,NA,NA,Modoc,NA,NA,NA,NA
ORLEANS COMPLEX_2017,2017,NA,NA,ORLEANS COMPLEX,7/25/17,10/12/17,USFS,NA,27276,BGT,Lightning,0,0,0,0,SRF-741,NA,NA,Siskiyou,NA,NA,NA,NA
R-21_2017,2017,NA,NA,R-21,7/26/17,7/27/17,BLM,NA,589,BG,Lightning,0,0,0,0,NOD-4279,NA,NA,Washoe,NA,NA,NA,NA
SUMMIT COMPLEX_2017,2017,NA,NA,SUMMIT COMPLEX,7/31/17,11/30/17,USFS,NA,5248,BT,Undetermined,0,0,0,0,STF-2452,NA,NA,Tuolumne,NA,NA,NA,NA
RUTH COMPLEX_2017,2017,NA,NA,RUTH COMPLEX,8/9/17,8/25/17,USFS,NA,4736,BGT,Lightning,0,0,0,0,SRF-897,NA,NA,Trinity,NA,NA,NA,NA
ROSE_2017,2017,NA,NA,ROSE,8/10/17,8/10/17,CC,NA,338,G,Misc,0,0,0,0,KRN-31474,NA,NA,Kern,NA,NA,NA,NA
MILLER COMPLEX_2017,2017,NA,NA,MILLER COMPLEX,8/14/17,11/30/17,USFS,NA,39716,T,Undetermined,0,0,0,0,RSF-647,NA,NA,Jackson (OR),NA,NA,NA,NA
ECLIPSE COMPLEX_2017,2017,NA,NA,ECLIPSE COMPLEX,8/15/17,10/10/17,USFS,NA,78698,BT,Lightning,0,0,0,0,KNF-6098,NA,NA,Siskiyou,NA,NA,NA,NA
BUFFALO_2017,2017,NA,NA,BUFFALO,10/17/17,10/19/17,DOD,NA,1088,B,Undetermined,0,0,0,0,MCP,NA,NA,San Diego,NA,NA,NA,NA
CHRIS_2017,2017,NA,NA,CHRIS,11/13/17,11/16/17,USFS,NA,370,T,Undetermined,0,0,0,0,HTF-30870,NA,NA,Mono,NA,NA,NA,NA
STATE 891_1992,1992,III,Riverside,STATE 891,7/5/92,7/7/92,CDF,1030,NA,B,Misc,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
PG&E 27_1993,1993,I,Sonoma,PG&E 27,10/27/93,10/27/93,CDF,825,NA,TWG,Undetermined,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
STATE_1994,1994,South,Riverside,STATE,7/11/94,7/12/94,CDF,1000,NA,B,Arson,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
MILLSTREAM_1997,1997,Sierra,Madera-Mariposa,MILLSTREAM,7/5/97,7/5/97,CDF,325,NA,NA,Smoking,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
HELLS HALF COMPLEX_2008,2008,NA,NA,HELLS HALF COMPLEX,6/20/08,7/28/08,USFS,NA,15146,TB,Lightning,1,0,0,0,SRF-1123,NA,NA,Humboldt,Trinity,NA,NA,NA
GRADE_2017,2017,NA,NA,GRADE,7/16/17,7/18/17,CDF,900,NA,BG,Vehicle,1,0,0,0,MEU-8307,NA,NA,Mendocino,NA,NA,NA,NA
SALMON AUGUST COMPLEX_2017,2017,NA,NA,SALMON AUGUST COMPLEX,8/13/17,10/20/17,USFS,NA,65889,BT,Undetermined,1,0,0,0,KNF-6081,NA,NA,Siskiyou,NA,NA,NA,NA
RANGE_1999,1999,Coast,Santa Clara,RANGE,8/30/99,8/30/99,CDF,1200,NA,GB,Equipment use,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
MERGED WITH YOLLA BOLLY COMPLEX_2008,2008,NA,NA,MERGED WITH YOLLA BOLLY COMPLEX,6/21/08,6/29/08,USFS,NA,3000,BGWT,Lightning,2,0,0,0,MNF-579,NA,NA,Lake,Mendocino,Tehama,NA,NA
AMERICAN RIVER COMPLEX_2008,2008,NA,NA,AMERICAN RIVER COMPLEX,6/21/08,7/30/08,USFS,NA,20541,TB,Lightning,2,0,0,0,TNF-1011,NA,NA,Placer,NA,NA,NA,NA
JULY COMPLEX_2014,2014,NA,NA,JULY COMPLEX,8/3/14,9/25/14,USFS,NA,50042,T,Lightning,2,0,0,0,KNF-5564,NA,NA,Siskiyou,NA,NA,NA,NA
ROUTE COMPLEX_2015,2015,NA,NA,ROUTE COMPLEX,7/30/15,8/31/15,USFS,NA,35675,T,Lightning,2,0,0,0,SRF-1476,NA,NA,Humboldt,NA,NA,NA,NA
DUCK_1993,1993,IV,San benito-Monterey,DUCK,8/15/93,8/15/93,CDF,480,NA,G,Bird/Powerline,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
CANYON COMPLEX_2008,2008,NA,NA,CANYON COMPLEX,6/21/08,9/30/08,USFS,NA,47680,T,Lightning,3,0,0,0,PNF-0539,NA,NA,Plumas,NA,NA,NA,NA
SOUTH COMPLEX_2015,2015,NA,NA,SOUTH COMPLEX,8/1/15,10/1/15,USFS,NA,29416,T,Lightning,3,0,0,0,SHF-2108,NA,NA,Trinity,NA,NA,NA,NA
SODA COMPLEX_2008,2008,NA,NA,SODA COMPLEX,6/21/08,7/26/08,USFS,NA,8632,TG,Lightning,4,0,0,0,MNF-645,NA,NA,Lake,NA,NA,NA,NA
MAD RIVER COMPLEX_2015,2015,NA,NA,MAD RIVER COMPLEX,7/30/15,9/3/15,USFS,NA,37462,T,Lightning,4,0,0,0,SRF-1433,NA,NA,Trinity,NA,NA,NA,NA
LA TUNA_2017,2017,NA,NA,LA TUNA,9/1/17,9/8/17,LOCAL,NA,7194,BG,Undetermined,5,0,0,0,LFD-965,NA,NA,Los Angeles,NA,NA,NA,NA
JENNY_1995,1995,South,San Bernardino,JENNY,7/31/95,7/31/95,CDF,420,NA,B,Lightning,6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
KNF BEAVER_2014,2014,NA,NA,KNF BEAVER,7/30/14,8/30/14,USFS,NA,32469,T,Lightning,6,0,0,0,KNF-5497,NA,NA,Siskiyou,NA,NA,NA,NA
HUMBOLDT COMPLEX_2015,2015,NA,NA,HUMBOLDT COMPLEX,7/30/15,8/21/15,CDF,4883,NA,T,Lightning,7,0,0,0,HUU-5606,NA,NA,Humboldt,NA,NA,NA,NA
FORK COMPLEX_2015,2015,NA,NA,FORK COMPLEX,7/30/15,8/29/15,USFS,NA,36499,TBG,Undetermined,12,0,0,0,SHF-2067,NA,NA,Trinity,NA,NA,NA,NA
FAWN_1992,1992,II,Nevada-Yuba-Placer,FAWN,8/21/92,8/21/92,CDF,350,NA,G,Electrical power,13,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
ASSIST/OLD COACH_1993,1993,III,San Diego,ASSIST/OLD COACH,11/2/93,11/3/93,CITY,157,1982,B,Campfire,36,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
ROCKY_1993,1993,III,Los Angeles/Ventura,ROCKY,10/27/93,10/27/93,CC,NA,1906,NA,Arson,323,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA
BASILONE COMPLEX_2014,2014,NA,NA,BASILONE COMPLEX,5/17/14,5/19/14,MIL,NA,21240,BG,Undetermined,0,0,1,0,MCP-1363,NA,NA,San Diego,NA,NA,NA,NA
ARROYO SECO_1992,1992,IV,San Benito-Monterey,ARROYO SECO,8/1/92,8/5/92,CDF,300,2200,W,Exposure,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA
JOLAN #2_1992,1992,IV,San Benito-Monterey,JOLAN #2,6/4/92,6/4/92,CDF,1625,NA,GWB,Arson,2,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA
IRON COMPLEX & ALPS COMPLEX_2008,2008,NA,NA,IRON COMPLEX & ALPS COMPLEX,6/21/08,9/9/08,USFS,NA,105805,TBG,Lightning,2,9,1,0,SHF-1057,NA,NA,Trinity,NA,NA,NA,NA
THIRTY SEVEN_2017,2017,NA,NA,THIRTY SEVEN,10/9/17,10/12/17,CC,NA,1660,BG,Electrical power,3,0,1,0,MRN-2957,NA,NA,Marin,NA,NA,NA,NA
LIBERTY_2017,2017,NA,NA,LIBERTY,12/7/17,12/9/17,LOCAL,NA,300,BG,Electrical power,3,0,1,0,RRU-151090,NA,NA,Riverside,NA,NA,NA,NA
EDNA (STATE 1596)_1998,1998,Coast,Riverside,EDNA (STATE 1596),10/5/98,10/7/98,CDF,28164,NA,GB,Arson,5,2,1,0,NA,NA,NA,NA,NA,NA,NA,NA
PACHECO_2001,2001,Sierra,Merced,PACHECO,6/16/01,6/17/01,CDF,1550,NA,GB,Vehicle,15,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA
HALL_1993,1993,II,Tehama-Glenn,HALL,9/12/93,9/12/93,LOCAL,NA,475,G,Debris,3,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA
WEBER_1996,1996,South,San Bernardino,WEBER,6/16/96,6/16/96,CDF,360,NA,B,Undetermined,4,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA
STATE 837_1996,1996,South,Riverside,STATE 837,6/1/96,6/2/96,CDF,646,7,GB,Equipment Use,5,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA
MILL CREEK_1993,1993,III,San Bernardino,MILL CREEK,10/27/93,10/28/93,CDF,4680,NA,B,Powerlines,6,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA
HAPPY CAMP COMPLEX_2014,2014,NA,NA,HAPPY CAMP COMPLEX,8/14/14,10/31/14,USFS,NA,134056,T,Lightning,6,0,2,0,KNF-5956,NA,NA,Siskiyou,NA,NA,NA,NA
MUSTY #3_1999,1999,Coast,Butte,MUSTY #3,8/23/99,8/28/99,CDF,13652,NA,TB,Lightning,7,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA
LA PORTE (NEU WIND COMPLEX)_2017,2017,NA,NA,LA PORTE (NEU WIND COMPLEX),10/9/17,10/20/17,CDF,6151,NA,BT,Electrical power,74,0,2,0,BTU-15954,NA,NA,Butte,NA,NA,NA,NA
RANCH_2006,2006,South,Riverside,RANCH,9/17/06,9/17/06,CDF,1200,0,GB,Misc,3,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
PG&E #8 (CAVENDALE)_1996,1996,Coast,Sonoma (Exp 001),PG&E #8 (CAVENDALE),7/13/96,8/3/96,CDF,2100,NA,BWA,Powerlines,5,0,5,0,NA,NA,NA,NA,NA,NA,NA,NA
SAN DIEGO COMPLEX_2014,2014,NA,NA,SAN DIEGO COMPLEX,5/14/14,5/22/14,CDF,2438,NA,B,Undetermined,48,0,5,0,MVU-10242,NA,NA,San Diego,NA,NA,NA,NA
BDF 5587_1994,1994,South,Riverside,BDF 5587,7/1/94,7/3/94,USFS,NA,19200,NA,Lightning,14,0,7,0,NA,NA,NA,NA,NA,NA,NA,NA
BLOOMER #3_1999,1999,Coast,Butte,BLOOMER #3,8/23/99,8/30/99,CDF,2590,NA,GB,Lightning,9,0,9,0,NA,NA,NA,NA,NA,NA,NA,NA
OLD GULCH_1992,1992,IV,Tuolumne-Calaveras,OLD GULCH,8/16/92,8/21/92,CDF,17386,NA,TWP,Vehicle,170,0,13,0,NA,NA,NA,NA,NA,NA,NA,NA
WOHLFORD_1997,1997,South,San Diego,WOHLFORD,8/1/97,8/2/97,CDF,457,NA,B,Arson,8,0,15,0,NA,NA,NA,NA,NA,NA,NA,NA
PEACH_1987,1987,NA,NA,PEACH,4/17/87,4/17/87,CDF,350,NA,NA,Playing with fire,0,0,0,NA,NA,NA,NA,Riverside,NA,NA,NA,NA
AVE 32_1987,1987,NA,NA,AVE 32,5/14/87,5/14/87,CDF,365,NA,NA,Equipment Use,0,0,0,NA,NA,NA,NA,Tulare,NA,NA,NA,NA
CONOVER_1987,1987,NA,NA,CONOVER,5/23/87,5/23/87,CDF,350,NA,NA,Equipment Use,0,0,0,NA,NA,NA,NA,Riverside,NA,NA,NA,NA
STATE 767 (BULL)_1987,1987,NA,NA,STATE 767 (BULL),6/5/87,6/5/87,CDF,1200,NA,NA,Lightning,0,0,0,NA,NA,NA,NA,Riverside,NA,NA,NA,NA
DENNY_1987,1987,NA,NA,DENNY,7/31/87,NA,CDF,320,NA,NA,Arson,0,0,0,NA,NA,NA,NA,Tulare,NA,NA,NA,NA
CRANK_1987,1987,NA,NA,CRANK,8/30/87,9/4/87,CDF,3528,NA,NA,Lightning,0,0,0,NA,NA,NA,NA,Modoc,NA,NA,NA,NA
WHITE DEER_1987,1987,NA,NA,WHITE DEER,8/31/87,9/1/87,CDF,835,NA,NA,Lightning,0,0,0,NA,NA,NA,NA,Fresno,NA,NA,NA,NA
SKINNER_1987,1987,NA,NA,SKINNER,9/1/87,9/2/87,CDF,560,NA,NA,Lightning,0,0,0,NA,NA,NA,NA,Riverside,NA,NA,NA,NA
POST_1987,1987,NA,NA,POST,9/9/87,9/9/87,CDF,546,NA,NA,Arson,0,0,0,NA,NA,NA,NA,Riverside,NA,NA,NA,NA
ANTELOPE_1987,1987,NA,NA,ANTELOPE,10/3/87,10/3/87,CDF,3275,NA,NA,Equipment Use,0,0,0,NA,NA,NA,NA,Riverside,NA,NA,NA,NA
GRIDER/LAKE_1987,1987,NA,NA,GRIDER/LAKE,8/30/87,9/19/87,USFS,NA,15510,NA,Lightning,0,0,0,NA,NA,NA,Klamath,Siskiyou,NA,NA,NA,NA
COUGAR-I_1987,1987,NA,NA,COUGAR-I,8/30/87,9/19/87,USFS,NA,7505,NA,Lightning,0,0,0,NA,NA,NA,Klamath,Siskiyou,NA,NA,NA,NA
FREANER_1987,1987,NA,NA,FREANER,8/30/87,9/5/87,USFS,NA,425,NA,Lightning,0,0,0,NA,NA,NA,Lassen,Shasta,NA,NA,NA,NA
FRENCH_1987,1987,NA,NA,FRENCH,8/30/87,9/5/87,USFS,NA,430,NA,Lightning,0,0,0,NA,NA,NA,Plumas,Butte,NA,NA,NA,NA
UNDER_1987,1987,NA,NA,UNDER,8/30/87,9/6/87,USFS,NA,510,NA,Lightning,0,0,0,NA,NA,NA,Shasta-Trinity,Shasta,NA,NA,NA,NA
BEAR WALLOW_1987,1987,NA,NA,BEAR WALLOW,8/30/87,9/21/87,USFS,NA,2150,NA,Lightning,0,0,0,NA,NA,NA,Shasta-Trinity,Trinity,NA,NA,NA,NA
BEAR-I_1987,1987,NA,NA,BEAR-I,8/30/87,9/12/87,USFS,NA,5750,NA,Lightning,0,0,0,NA,NA,NA,Shasta-Trinity,Trinity,NA,NA,NA,NA
LUCY_1987,1987,NA,NA,LUCY,8/30/87,9/9/87,USFS,NA,950,NA,Lightning,0,0,0,NA,NA,NA,Shasta-Trinity,Trinity,NA,NA,NA,NA
TULE_1987,1987,NA,NA,TULE,8/30/87,9/14/87,USFS,NA,720,NA,Lightning,0,0,0,NA,NA,NA,Shasta-Trinity,Trinity,NA,NA,NA,NA
DOE_1987,1987,NA,NA,DOE,8/30/87,9/17/87,USFS,NA,2026,NA,Lightning,0,0,0,NA,NA,NA,Shasta-Trinity,Trinity,NA,NA,NA,NA
LONGWOOD_1987,1987,NA,NA,LONGWOOD,8/30/87,9/5/87,USFS,NA,4000,NA,Lightning,0,0,0,NA,NA,NA,Six Rivers,Del Norte,NA,NA,NA,NA
TAHOE_1987,1987,NA,NA,TAHOE,8/31/87,9/5/87,USFS,NA,1035,NA,Lightning,0,0,0,NA,NA,NA,Stanislaus,Big,NA,NA,NA,NA
TAHOE_1987,1987,NA,NA,TAHOE,8/30/87,9/6/87,USFS,NA,1612,NA,Lightning,0,0,0,NA,NA,NA,Stanislaus,Palmer,NA,NA,NA,NA
TAHOE_1987,1987,NA,NA,TAHOE,8/30/87,9/7/87,USFS,NA,8500,NA,Lightning,0,0,0,NA,NA,NA,Stanislaus,Indian,NA,NA,NA,NA
BRANHAM_1987,1987,NA,NA,BRANHAM,8/30/87,8/31/87,BLM,NA,1150,NA,Lightning,0,0,0,NA,NA,NA,Stanislaus,Lassen,NA,NA,NA,NA
SYCAMORE_1987,1987,NA,NA,SYCAMORE,8/31/87,9/3/87,CC,NA,1600,NA,Lightning,0,0,0,NA,NA,NA,NA,Kern,NA,NA,NA,NA
TRAIL_1987,1987,NA,NA,TRAIL,8/31/87,9/3/87,CC,NA,900,NA,Lightning,0,0,0,NA,NA,NA,NA,Kern,NA,NA,NA,NA
STALLION SPRINGS_1987,1987,NA,NA,STALLION SPRINGS,8/31/87,9/4/87,CC,NA,6000,NA,Lightning,0,0,0,NA,NA,NA,NA,Kern,NA,NA,NA,NA
MIDDLE_1987,1987,NA,NA,MIDDLE,9/5/87,9/10/87,CC,NA,1500,NA,Lightning,0,0,0,NA,NA,NA,NA,Kern,NA,NA,NA,NA
BROKEOFF_2007,2007,Shasta-Trinity,NA,BROKEOFF,5/21/07,5/21/07,NA,100,0,T,Unidentified,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
80_2007,2007,Nevada-Yuba-Placer,NA,80,8/22/07,8/24/07,NA,88,0,T,Misc,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
AVENUE 26/ROAD 19 5_2007,2007,Madera-Mariposa,NA,AVENUE 26/ROAD 19 5,8/23/07,8/23/07,NA,0,50,T,Unidentified,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
COLINA SUP6_2007,2007,Riverside,NA,COLINA SUP6,9/10/07,9/11/07,NA,388,0,B,Equipment use,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
JOHNSON VMP_2008,2008,NA,Riverside,JOHNSON VMP,5/28/08,5/29/08,CDF,424,NA,G,"Debris, veg burn",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
41_2008,2008,NA,Madera-Mariposa,41,6/10/08,6/11/08,CDF,3300,NA,G,Equipment Use,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
MALLO-B LIGHTNING_2008,2008,NA,Mendocino,MALLO-B LIGHTNING,6/21/08,7/17/08,CDF,4466,NA,T,Lightning,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
STA 57 ONO CDF IGO 2_2008,2008,NA,Shasta-Trinity,STA 57 ONO CDF IGO 2,6/21/08,7/24/08,CDF,4000,NA,T,Lightning,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
WHITMORE RD/OLD COW C2_2008,2008,NA,Shasta-Trinity,WHITMORE RD/OLD COW C2,6/21/08,7/15/08,CDF,2054,NA,T,Lightning,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
COLEMAN FISH HATCHERY_2008,2008,NA,Shasta-Trinity,COLEMAN FISH HATCHERY,6/21/08,7/2/08,CDF,388,NA,T,Lightning,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
DONKEY MINE RD/OAK RU_2008,2008,NA,Shasta-Trinity,DONKEY MINE RD/OAK RU,6/21/08,7/2/08,CDF,557,NA,BG,Lightning,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
EO2A_2008,2008,NA,Shasta-Trinity,EO2A,6/21/08,7/6/08,CDF,1200,NA,B,Lightning,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
STEIN_2008,2008,NA,Shasta-Trinity,STEIN,6/21/08,7/7/08,CDF,1148,NA,T,Lightning,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
MOON_2008,2008,NA,Shasta-Trinity,MOON,6/21/08,8/9/08,CDF,6030,NA,T,Lightning,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
DAUGHERTY GATE_2008,2008,NA,Mendocino,DAUGHERTY GATE,6/21/08,7/13/08,CDF,3000,NA,T,Lightning,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
IGO 6_2008,2008,NA,Shasta-Trinity,IGO 6,6/21/08,7/24/08,CDF,4200,NA,T,Lightning,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
PLANTINA 4_2008,2008,NA,Shasta-Trinity,PLANTINA 4,6/21/08,7/4/08,CDF,12980,NA,T,Lightning,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
LEWISTON 8_2008,2008,NA,Shasta-Trinity,LEWISTON 8,6/21/08,7/23/08,CDF,1311,NA,T,Lightning,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
IGO 13_2008,2008,NA,Shasta-Trinity,IGO 13,6/21/08,7/24/08,CDF,600,NA,T,Lightning,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
IGO 15_2008,2008,NA,Shasta-Trinity,IGO 15,6/21/08,7/24/08,CDF,1200,NA,T,Lightning,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
IGO 16_2008,2008,NA,Shasta-Trinity,IGO 16,6/21/08,7/24/08,CDF,4800,NA,T,Lightning,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
IGO 17_2008,2008,NA,Shasta-Trinity,IGO 17,6/21/08,7/24/08,CDF,2400,NA,T,Lightning,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
IGO 18_2008,2008,NA,Shasta-Trinity,IGO 18,6/21/08,7/24/08,CDF,4200,NA,T,Lightning,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
BREAKNECK_2008,2008,NA,Butte,BREAKNECK,6/21/08,7/9/08,CDF,715,NA,T,Lightning,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
WEST BRANCH_2008,2008,NA,Butte,WEST BRANCH,6/21/08,6/21/08,CDF,3206,NA,U,Lightning,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
FREY_2008,2008,NA,Butte,FREY,6/21/08,7/28/08,CDF,4000,NA,T,Lightning,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
FLEA VALLEY_2008,2008,NA,Butte,FLEA VALLEY,6/21/08,6/21/08,CDF,1248,NA,T,Lightning,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
LYNCH_2008,2008,NA,Butte,LYNCH,6/21/08,6/21/08,CDF,800,NA,T,Lightning,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
SQUAW 1 LIGHTNING_2008,2008,NA,Mendocino,SQUAW 1 LIGHTNING,6/21/08,7/13/08,CDF,3000,NA,T,Lightning,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
VENTURE_2008,2008,NA,Shasta-Trinity,VENTURE,6/22/08,7/4/08,CDF,1912,NA,T,Lightning,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
