Year,Region,Ranger_unit,Fire_name,Start,Contained,DPA,CDF_acres_burned,Other_acres_burned,Veg_type,Cause,Destroyed_structures,Damaged_structures,Firefighter_fatalities,Civilian_fatalities
2000,Coast,Mendocino NF,Town,3/31/2000,4/5/2000,USFS,,1500,NA,Escape Control,NA,NA,NA,NA
2000,Coast,Napa,Berryessa,6/13/2000,6/16/2000,CDF,5731,,WB,Equip. Use,15,5,0,0
2000,Coast,Lake-Napa,Morgan,7/26/2000,7/27/2000,CDF,3283,,WB,Undet.,2,0,0,0
2000,Coast,Lake,Hidden,10/21/2000,10/27/2000,CDF,4500,,GWB,Equip. Use,12,1,0,0
2000,Cascade,Lassen,Goat,7/17/2000,7/20/2000,CDF,1084,,T,Campfire,0,0,0,0
2000,Cascade,Siskiyou,Bark KNF Assist #12,7/21/2000,7/26/2000,USFS,,1715,NA,Under Invest.,NA,NA,NA,NA
2000,Cascade,Nevada (State),Arrowcreek,8/1/2000,8/1/2000,NEVADA,,2900,NA,NA,NA,NA,NA,NA
2000,Cascade,Shasta-Trinity,Union,8/14/2000,8/15/2000,CDF,350,,GWB,Equip. Use,4,0,0,0
2000,Cascade,Plumas,Storrie,8/17/2000,9/9/2000,USFS,,55261,NA,Railroad,NA,NA,NA,NA
2000,Cascade,Butte,Concow,9/19/2000,9/22/2000,CDF,1835,,TB,Equip. Use,16,2,0,1
2000,Cascade,Tehama,Weinstein,9/29/2000,10/2/2000,CDF,8284,,B,Escape Control,3,0,0,0
2000,South,San Diego,Barrett,6/29/2000,6/30/2000,CDF,2000,,B,Campfire,2,0,0,0
2000,South,San Luis Obispo,Shell,7/22/2000,7/23/2000,USFS,,6300,NA,Under Invest.,NA,NA,NA,NA
2000,South,Inyo Fire #168,Happy Camp,7/23/2000,7/28/2000,BLM,,5500,NA,Under Invest.,3,NA,NA,NA
2000,South,Riverside,State (Pechanga),7/29/2000,8/9/2000,CDF,11900,,B,Under Invest.,1,0,0,0
2000,South,San Bernardino,Golden Fire,8/1/2000,8/8/2000,USFS,,2150,NA,NA,NA,NA,NA,NA
2000,South,Riverside,Black Ranch,9/9/2000,9/11/2000,CDF,475,,GB,Shooting,3,2,0,0
2000,Sierra,Mariposa,Granite,7/2/2000,7/4/2000,CDF,2000,,WB,Shooter,0,0,0,0
2000,Sierra,Tulare,Manter,7/24/2000,8/9/2000,USFS,,74439,NA,Under Invest.,15,1,0,0
2000,Sierra,Tulare (Kern Co),King,8/2/2000,8/9/2000,CC,,3243,GB,Lightning,1,NA,NA,NA
2000,Sierra,San Benito,Northford,8/3/2000,8/7/2000,CDF,1773,,GB,Equip. Use,0,0,0,0
2000,Sierra,Calaveras,Parrotts,8/5/2000,8/6/2000,CDF,700,,GB,Undet.,0,0,0,0
2000,Sierra,Fresno,Highway,8/13/2000,8/17/2000,CDF,700,,GB,Arson,0,0,0,0
2000,Sierra,Mariposa,Hunter,8/27/2000,9/4/2000,CDF,8084,,GB,Equip. Use,6,0,0,0
2000,Sierra,Santa Barbara,Harris,9/13/2000,9/18/2000,CC,,9700,B,Under Invest.,NA,NA,NA,NA
2000,Sierra,El Dorado,Latrobe,10/21/2000,10/21/2000,CDF,750,,G,Elec. Power,0,0,0,0
