Firename_year,Fire_year_month,Fire_year,Region,Ranger_unit,Ranger_unit2,FIRE_NAME,Start,Contained,DPA,CDF_acres_burned,Other_acres_burned,Veg_type,Cause,Destroyed_structures,Incident_number,National_forest,County,County2,County3,Fire_name2,DPA2,Damaged_structures,Firefighter_fatalities,Civilian_fatalities,Start_month
STATE_1992,STATE_1992_9,1992,III,Riverside,NA,STATE,1992-09-27,1992-09-27,CDF,1080,NA,GB,Arson,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,9
RAINBOW_1992,RAINBOW_1992_9,1992,III,Riverside,NA,RAINBOW,1992-09-27,1992-09-29,CDF,2880,NA,B,Arson,2,NA,NA,NA,NA,NA,NA,NA,0,0,0,9
STATE_1992,STATE_1992_10,1992,III,Riverside,NA,STATE,1992-10-07,1992-10-08,CDF,411,NA,B,Arson,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,10
ABERDEEN_1992,ABERDEEN_1992_6,1992,III,San Bernardino,NA,ABERDEEN,1992-06-24,1992-06-25,CDF,2000,NA,B,Lightning,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,6
STAR FIRE_1992,STAR FIRE_1992_7,1992,III,San Diego,NA,STAR FIRE,1992-07-16,1992-07-19,CDF,430,NA,B,Undetermined,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,7
MANZANITA_1992,MANZANITA_1992_7,1992,III,San Diego,NA,MANZANITA,1992-07-19,1992-07-20,USFS/BIA,821,NA,B,Undetermined,1,NA,NA,NA,NA,NA,NA,NA,0,0,0,7
WILDCAT_1992,WILDCAT_1992_8,1992,III,San Diego,NA,WILDCAT,1992-08-17,1992-08-18,BIA,1065,800,B,Arson,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,8
RINCON_1992,RINCON_1992_9,1992,III,San Diego,NA,RINCON,1992-09-16,1992-09-17,BIA,200,150,B,Undetermined,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,9
FARNHAM_1992,FARNHAM_1992_8,1992,IV,Amador-El Dorado,NA,FARNHAM,1992-08-20,1992-08-22,CDF,800,NA,T,Equipment use,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,8
CLEVELAND_1992,CLEVELAND_1992_9,1992,IV,Amador-El Dorado,NA,CLEVELAND,1992-09-29,1992-10-05,USFS,NA,24580,NA,Undetermined,26,NA,NA,NA,NA,NA,NA,NA,0,2,0,9
SNELLING_1992,SNELLING_1992_7,1992,IV,Madera-Mariposa,NA,SNELLING,1992-07-14,1992-07-14,CDF,2080,NA,AP,Lightning,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,7
LA PALOMA_1992,LA PALOMA_1992_8,1992,IV,Madera-Mariposa,NA,LA PALOMA,1992-08-07,1992-08-07,CDF,4800,NA,G,Undetermined,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,8
DRY CREEK_1992,DRY CREEK_1992_8,1992,IV,Madera-Mariposa,NA,DRY CREEK,1992-08-11,1992-08-12,CDF,1500,NA,G,Lightning,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,8
JOLAN #2_1992,JOLAN #2_1992_6,1992,IV,San Benito-Monterey,NA,JOLAN #2,1992-06-04,1992-06-04,CDF,1625,NA,GWB,Arson,2,NA,NA,NA,NA,NA,NA,NA,1,0,0,6
ARROYO SECO_1992,ARROYO SECO_1992_8,1992,IV,San Benito-Monterey,NA,ARROYO SECO,1992-08-01,1992-08-05,CDF,300,2200,W,Exposure,1,NA,NA,NA,NA,NA,NA,NA,1,0,0,8
SLICK ROCK_1992,SLICK ROCK_1992_8,1992,IV,San Benito-Monterey,NA,SLICK ROCK,1992-08-17,1992-08-17,USFS,NA,2480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
MOCCASIN_1992,MOCCASIN_1992_8,1992,IV,Tuolumne-Calaveras,NA,MOCCASIN,1992-08-01,1992-08-04,CDF,8370,NA,TGWP,Campfire,6,NA,NA,NA,NA,NA,NA,NA,5,0,0,8
OLD GULCH_1992,OLD GULCH_1992_8,1992,IV,Tuolumne-Calaveras,NA,OLD GULCH,1992-08-16,1992-08-21,CDF,17386,NA,TWP,Vehicle,170,NA,NA,NA,NA,NA,NA,NA,13,0,0,8
STF #135_1992,STF #135_1992_9,1992,IV,Tuolumne-Calaveras,NA,STF #135,1992-09-07,1992-09-07,USFS,NA,3460,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
HOISINGTON_1993,HOISINGTON_1993_11,1993,I,Humboldt-Del Norte,NA,HOISINGTON,1993-11-26,1993-11-27,CDF,307,NA,B,Debris,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,11
PG&E 27_1993,PG&E 27_1993_10,1993,I,Sonoma,NA,PG&E 27,1993-10-27,1993-10-27,CDF,825,NA,TWG,Undetermined,1,NA,NA,NA,NA,NA,NA,NA,0,0,0,10
GERSTLE_1993,GERSTLE_1993_11,1993,I,Sonoma,NA,GERSTLE,1993-11-27,1993-11-28,CDF,450,NA,TG,Campfire,1,NA,NA,NA,NA,NA,NA,NA,0,0,0,11
GALLATIN_1993,GALLATIN_1993_6,1993,II,Lassen-Modoc,NA,GALLATIN,1993-06-26,1993-06-28,CDF,291,NA,T,Campfire,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,6
WIDOW_1993,WIDOW_1993_8,1993,II,Lassen-Modoc,NA,WIDOW,1993-08-05,1993-08-07,CDF,830,NA,T,Undetermined,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,8
HALL_1993,HALL_1993_9,1993,II,Tehama-Glenn,NA,HALL,1993-09-12,1993-09-12,LOCAL,NA,475,G,Debris,3,NA,NA,NA,NA,NA,NA,NA,2,0,0,9
STATE_1993,STATE_1993_5,1993,III,Riverside,NA,STATE,1993-05-26,1993-05-26,CDF,500,NA,B,Equipment use,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,5
ASSIST_1993,ASSIST_1993_7,1993,III,Riverside,NA,ASSIST,1993-07-15,1993-07-16,LOCAL,NA,400,B,Smoking,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,7
LOCAL_1993,LOCAL_1993_7,1993,III,Riverside,NA,LOCAL,1993-07-25,1993-07-25,LOCAL,NA,410,AGB,Undetermined,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,7
CALIFORNIA_1993,CALIFORNIA_1993_10,1993,III,Riverside,NA,CALIFORNIA,1993-10-26,1993-10-30,CDF,25100,NA,BG,Powerlines,107,NA,NA,NA,NA,NA,NA,NA,40,0,0,10
BOX_1993,BOX_1993_10,1993,III,Riverside,NA,BOX,1993-10-27,1993-10-28,CDF,3500,NA,GB,Arson,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,10
TRIBAL_1993,TRIBAL_1993_10,1993,III,Riverside,NA,TRIBAL,1993-10-27,1993-10-28,CDF,2230,NA,B,Powerlines,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,10
VAIL_1993,VAIL_1993_10,1993,III,Riverside,NA,VAIL,1993-10-27,1993-10-28,CDF,536,NA,GB,Arson,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,10
REPPLIER_1993,REPPLIER_1993_11,1993,III,Riverside,NA,REPPLIER,1993-11-02,1993-11-04,CDF,5280,671,GB,Arcing Pwrline,3,NA,NA,NA,NA,NA,NA,NA,2,0,0,11
STODDARD_1993,STODDARD_1993_7,1993,III,San Bernardino,NA,STODDARD,1993-07-20,1993-07-20,BLM,NA,2326,NA,Fireworks,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,7
OPAL MOUNTAIN_1993,OPAL MOUNTAIN_1993_8,1993,III,San Bernardino,NA,OPAL MOUNTAIN,1993-08-27,1993-08-27,LOCAL,NA,18000,GB,Lightning,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,8
MILL CREEK_1993,MILL CREEK_1993_10,1993,III,San Bernardino,NA,MILL CREEK,1993-10-27,1993-10-28,CDF,4680,NA,B,Powerlines,6,NA,NA,NA,NA,NA,NA,NA,2,0,0,10
OUTSIDE ORIGIN #1_1993,OUTSIDE ORIGIN #1_1993_5,1993,III,San Diego,NA,OUTSIDE ORIGIN #1,1993-05-09,1993-05-13,CDF,4600,NA,B,Campfire,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,5
GRADE_1993,GRADE_1993_6,1993,III,San Diego,NA,GRADE,1993-06-16,1993-06-18,CDF,1500,NA,GB,Undetermined,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,6
OTAY #18_1993,OTAY #18_1993_7,1993,III,San Diego,NA,OTAY #18,1993-07-29,1993-07-29,CDF,2000,NA,GB,Escape,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,7
CLEVENGER_1993,CLEVENGER_1993_9,1993,III,San Diego,NA,CLEVENGER,1993-09-08,1993-09-09,CDF,409,NA,B,Arson,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,9
BELL_1993,BELL_1993_9,1993,III,San Diego,NA,BELL,1993-09-22,1993-09-23,CDF,300,NA,B,Campfire,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,9
GUEJITO_1993,GUEJITO_1993_10,1993,III,San Diego,NA,GUEJITO,1993-10-26,1993-11-02,CDF,20722,NA,B,Powerlines,9,NA,NA,NA,NA,NA,NA,NA,1,0,0,10
ASSIST/OLD COACH_1993,ASSIST/OLD COACH_1993_11,1993,III,San Diego,NA,ASSIST/OLD COACH,1993-11-02,1993-11-03,CITY,157,1982,B,Campfire,36,NA,NA,NA,NA,NA,NA,NA,0,0,0,11
ASSIST #31_1993,ASSIST #31_1993_6,1993,III,San Luis Obispo,NA,ASSIST #31,1993-06-15,1993-06-15,CC,NA,400,B,Undetermined,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,6
EAGLE FIRE_1993,EAGLE FIRE_1993_5,1993,III,Cleveland NF,NA,EAGLE FIRE,1993-05-09,1993-05-09,USFS,NA,3000,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,5
ASSIST_1993,ASSIST_1993_8,1993,III,Inyo NF,NA,ASSIST,1993-08-04,1993-08-04,USFS,NA,1000,NA,Lightning,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,8
MARRE_1993,MARRE_1993_9,1993,III,Los Padres NF,NA,MARRE,1993-09-26,NA,USFS,3400,27100,NA,Smoking,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,9
STAGECOACH_1993,STAGECOACH_1993_10,1993,III,Orange County,NA,STAGECOACH,1993-10-26,1993-10-27,CC,NA,546,NA,Arson,8,NA,NA,NA,NA,NA,NA,NA,0,0,0,10
LAGUNA CANYON_1993,LAGUNA CANYON_1993_10,1993,III,Orange County,NA,LAGUNA CANYON,1993-10-27,1993-10-28,CC,NA,16682,NA,Arson,366,NA,NA,NA,NA,NA,NA,NA,17,0,0,10
GREENMEADOW_1993,GREENMEADOW_1993_10,1993,III,Ventura County,NA,GREENMEADOW,1993-10-26,1993-11-04,CC,NA,40051,B,Arson,1,NA,NA,NA,NA,NA,NA,NA,2,0,0,10
STECKLE PARK_1993,STECKLE PARK_1993_10,1993,III,Ventura County,NA,STECKLE PARK,1993-10-27,1993-10-31,CC,NA,26741,NA,Arson,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,10
WHEEL_1993,WHEEL_1993_10,1993,III,Los Padres NF,NA,WHEEL,1993-10-27,1993-10-30,USFS,NA,1384,NA,Arson,149,NA,NA,NA,NA,NA,NA,NA,100,0,1,10
KINNELOA_1993,KINNELOA_1993_10,1993,III,Angeles NF,NA,KINNELOA,1993-10-27,1993-11-01,CC,NA,5715,NA,Campfire,15,NA,NA,NA,NA,NA,NA,NA,5,0,0,10
ORTEGA_1993,ORTEGA_1993_10,1993,III,Cleveland NF,NA,ORTEGA,1993-10-27,1993-11-01,USFS,NA,21392,NA,Arson,1,NA,NA,NA,NA,NA,NA,NA,0,0,0,10
ROCKY_1993,ROCKY_1993_10,1993,III,Los Angeles/Ventura,NA,ROCKY,1993-10-27,1993-10-27,CC,NA,1906,NA,Arson,323,NA,NA,NA,NA,NA,NA,NA,0,0,3,10
OLD TOPANGA_1993,OLD TOPANGA_1993_11,1993,III,Los Angeles County,NA,OLD TOPANGA,1993-11-02,1993-11-05,CC,NA,18000,B,Arson,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,11
CHEVRON USA_1993,CHEVRON USA_1993_5,1993,IV,Fresno-Kings,NA,CHEVRON USA,1993-05-10,1993-05-10,LOCAL,NA,3000,GB,Electrical power,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,5
SYCAMORE_1993,SYCAMORE_1993_7,1993,IV,Fresno-Kings,NA,SYCAMORE,1993-07-14,1993-07-14,CDF,1500,NA,G,Arson,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,7
PG&E #4_1993,PG&E #4_1993_6,1993,IV,Madera Mariposa,NA,PG&E #4,1993-06-01,1993-06-02,CDF,5500,NA,G,Electrical power,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,6
GUERRERO_1993,GUERRERO_1993_6,1993,IV,San Benito-Monterey,NA,GUERRERO,1993-06-10,1993-06-12,CDF,1513,NA,G,Equipment Use,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,6
RANCHO_1993,RANCHO_1993_8,1993,IV,San Benito-Monterey,NA,RANCHO,1993-08-01,1993-08-03,CDF,6000,NA,GB,Equipment Use,2,NA,NA,NA,NA,NA,NA,NA,0,0,0,8
RANCHO_1993,RANCHO_1993_8,1993,IV,San Benito-Monterey,NA,RANCHO,1993-08-01,1993-08-03,CDF,380,NA,GB,Exposure,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,8
RANCHO_1993,RANCHO_1993_8,1993,IV,San Benito-Monterey,NA,RANCHO,1993-08-01,1993-08-03,CDF,550,NA,B,Exposure,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,8
RANCHO_1993,RANCHO_1993_8,1993,IV,San benito-Monterey,NA,RANCHO,1993-08-01,1993-08-03,CDF,470,NA,GB,Exposure,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,8
RANCHO_1993,RANCHO_1993_8,1993,IV,San benito-Monterey,NA,RANCHO,1993-08-01,1993-08-03,CDF,320,NA,B,Exposure,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,8
DUCK_1993,DUCK_1993_8,1993,IV,San benito-Monterey,NA,DUCK,1993-08-15,1993-08-15,CDF,480,NA,G,Bird/Powerline,3,NA,NA,NA,NA,NA,NA,NA,0,0,0,8
ORCHARD_1993,ORCHARD_1993_6,1993,IV,Kern County,NA,ORCHARD,1993-06-20,1993-06-21,CC,NA,20000,NA,Lightning,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,6
DILLON COMPLEX_1994,DILLON COMPLEX_1994_7,1994,Coast,Klamath NF,NA,DILLON COMPLEX,1994-07-20,1994-08-18,USFS,NA,28953,NA,Lightning,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,7
FISH_1994,FISH_1994_8,1994,Coast,Mendocino ANF-3414,NA,FISH,1994-08-15,1994-08-18,CDF,635,NA,T,Equipment use,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,8
SUGARFOOT_1994,SUGARFOOT_1994_8,1994,Coast,Mendocino NF,NA,SUGARFOOT,1994-08-27,NA,USFS,NA,2788,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,8
SPECIMEN_1994,SPECIMEN_1994_9,1994,Coast,Klamath NF,NA,SPECIMEN,1994-09-17,NA,USFS,NA,6463,NA,Lightning,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,9
SCHINDEL ESCAPE_1994,SCHINDEL ESCAPE_1994_4,1994,Cascade,Shasta-Trinity,NA,SCHINDEL ESCAPE,1994-04-04,1994-04-05,CDF,670,NA,B,Arson,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,4
NA_1994,NA_1994_6,1994,Cascade,Plumas NF,NA,NA,1994-06-03,1994-06-04,USFS,NA,2000,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,6
RAULSON_1994,RAULSON_1994_6,1994,Cascade,Butte,NA,RAULSON,1994-06-30,1994-07-01,CDF,1000,NA,W,Equipment use,13,NA,NA,NA,NA,NA,NA,NA,0,0,0,6
BROWNS_1994,BROWNS_1994_7,1994,Cascade,Shasta-Trinity,NA,BROWNS,1994-07-12,1994-07-14,CDF,1650,NA,TB,Vehicle,4,NA,NA,NA,NA,NA,NA,NA,1,0,0,7
LIGHTNING #58_1994,LIGHTNING #58_1994_7,1994,Cascade,Lassen-Modoc,NA,LIGHTNING #58,1994-07-23,1994-07-23,CDF,1550,NA,G,Lightning,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,7
CRYSTAL_1994,CRYSTAL_1994_8,1994,Cascade,Tahoe NF (USFS Assist),NA,CRYSTAL,1994-08-04,1994-08-07,USFS,NA,7310,NA,Equipment use,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,8
PG&E (TRAUNER)_1994,PG&E (TRAUNER)_1994_8,1994,Cascade,Nevada-Yuba-Placer,NA,PG&E (TRAUNER),1994-08-07,1994-08-08,CDF,500,NA,TWB,Electrical power,0,NA,NA,NA,NA,NA,NA,NA,34,0,0,8
HIRSCHDALE_1994,HIRSCHDALE_1994_8,1994,Cascade,Nevada-Yuba-Placer,NA,HIRSCHDALE,1994-08-11,1994-08-14,CDF,325,NA,B,Electrical power,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,8
WIDOW_1994,WIDOW_1994_8,1994,Cascade,Lassen-Modoc,NA,WIDOW,1994-08-17,1994-08-17,CDF,350,NA,T,Vehicle,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,8
COTTONWOOD_1994,COTTONWOOD_1994_8,1994,Cascade,Tahoe NF,NA,COTTONWOOD,1994-08-16,1994-08-24,USFS,NA,43800,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,8
BRIDGE_1994,BRIDGE_1994_8,1994,Cascade,Nevada-Yuba-Placer,NA,BRIDGE,1994-08-24,1994-08-24,CDF,310,NA,B,Undetermined,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,8
BARKLEY_1994,BARKLEY_1994_9,1994,Cascade,Lassen NF,NA,BARKLEY,1994-09-18,1994-09-24,CDF,12462,27938,G,Lightning,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,9
BARKLEY_1994,BARKLEY_1994_9,1994,Cascade,Butte,NA,BARKLEY,1994-09-18,1994-09-24,CDF,1818,NA,TB,Lightning,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,9
LIGHTNING 66_1994,LIGHTNING 66_1994_9,1994,Cascade,Lassen-Modoc,NA,LIGHTNING 66,1994-09-18,1994-09-24,CDF,1025,NA,TB,Lightning,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,9
LOCAL_1994,LOCAL_1994_4,1994,South,Riverside,NA,LOCAL,1994-04-08,1994-04-08,LOCAL,NA,1400,B,Undetermined,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,4
ASSIST #22 (SODA)_1994,ASSIST #22 (SODA)_1994_5,1994,South,San Luis Obispo,NA,ASSIST #22 (SODA),1994-05-23,1994-05-23,BLM,NA,3380,NA,Equipment use,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,5
BRANCH_1994,BRANCH_1994_6,1994,South,San Luis Obispo,NA,BRANCH,1994-06-18,1994-06-18,LOCAL,NA,2400,GA,Equipment use,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,6
HWY 41_1994,HWY 41_1994_6,1994,South,San Luis Obispo,NA,HWY 41,1994-06-20,1994-06-20,CDF,1920,NA,G,Undetermined,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,6
SAN FELIPE_1994,SAN FELIPE_1994_6,1994,South,San Diego,NA,SAN FELIPE,1994-06-20,1994-06-21,CDF,740,NA,B,Vehicle,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,6
SCOUT_1994,SCOUT_1994_6,1994,South,Angeles NF,NA,SCOUT,1994-06-25,1994-06-29,USFS,NA,3023,NA,Campfire,9,NA,NA,NA,NA,NA,NA,NA,0,0,0,6
SHOOTING_1994,SHOOTING_1994_6,1994,South,Angeles NF,NA,SHOOTING,1994-06-25,1994-06-25,USFS,NA,3490,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,6
STATE (BAILEY)_1994,STATE (BAILEY)_1994_6,1994,South,Riverside,NA,STATE (BAILEY),1994-06-25,1994-06-30,CDF,7000,NA,GB,Equipment use,8,NA,NA,NA,NA,NA,NA,NA,2,0,0,6
SECOND_1994,SECOND_1994_6,1994,South,Cleveland NF,NA,SECOND,1994-06-26,NA,USFS,NA,4900,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,6
LUCAS COMPLEX_1994,LUCAS COMPLEX_1994_1,1994,South,Sequoia NF,NA,LUCAS COMPLEX,1900-01-05,NA,USFS,NA,8464,NA,Lightning,40,NA,NA,NA,NA,NA,NA,NA,0,0,0,1
GIBBEL_1994,GIBBEL_1994_6,1994,South,Riverside,NA,GIBBEL,1994-06-27,1994-06-28,CDF,818,NA,B,Arson,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,6
FAIRVIEW_1994,FAIRVIEW_1994_6,1994,South,Riverside,NA,FAIRVIEW,1994-06-27,1994-06-29,CDF,1760,NA,B,Arson,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,6
GILMAN_1994,GILMAN_1994_6,1994,South,Riverside,NA,GILMAN,1994-06-27,1994-07-01,CDF,1864,NA,GB,Arson,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,6
MATTHEW_1994,MATTHEW_1994_6,1994,South,Riverside,NA,MATTHEW,1994-06-27,1994-06-29,BIA,NA,350,B,Debris,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,6
PIUTE_1994,PIUTE_1994_6,1994,South,San Bernardino,NA,PIUTE,1994-06-28,1994-06-28,BLM,NA,3500,NA,Lightning,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,6
BDF 5587_1994,BDF 5587_1994_7,1994,South,Riverside,NA,BDF 5587,1994-07-01,1994-07-03,USFS,NA,19200,NA,Lightning,14,NA,NA,NA,NA,NA,NA,NA,7,0,0,7
DEVILS_1994,DEVILS_1994_7,1994,South,San Bernardino,NA,DEVILS,1994-07-03,1994-07-06,USFS,1400,10838,B,Lightning,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,7
STATE_1994,STATE_1994_7,1994,South,Riverside,NA,STATE,1994-07-11,1994-07-12,CDF,1000,NA,B,Arson,1,NA,NA,NA,NA,NA,NA,NA,0,0,0,7
GILMAN FIRE_1994,GILMAN FIRE_1994_7,1994,South,Riverside,NA,GILMAN FIRE,1994-07-24,1994-07-24,CDF,1905,NA,G,Arson,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,7
ALSIO_1994,ALSIO_1994_7,1994,South,Santa Barbara Co. #328,NA,ALSIO,1994-07-30,1994-08-01,CC,NA,3129,W,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,7
HIGHWAY 74_1994,HIGHWAY 74_1994_8,1994,South,Riverside,NA,HIGHWAY 74,1994-08-06,1994-08-07,CDF,1150,NA,B,Lightning,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,8
ASSIST 42_1994,ASSIST 42_1994_8,1994,South,San Diego,NA,ASSIST 42,1994-08-09,1994-08-09,USFS,NA,500,B,Undetermined,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,8
ASSIST/OPAL #2_1994,ASSIST/OPAL #2_1994_8,1994,South,San Bernardino,NA,ASSIST/OPAL #2,1994-08-13,1994-08-13,BLM,NA,4000,NA,Lightning,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,8
COMPLEX_1994,COMPLEX_1994_8,1994,South,San Bernardino NF,NA,COMPLEX,1994-08-13,1994-08-13,USFS,NA,1800,NA,Lightning,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,8
HWY 41_1994,HWY 41_1994_8,1994,South,San Luis Obispo,NA,HWY 41,1994-08-14,1994-08-19,CDF,48531,NA,B,Arson,37,NA,NA,NA,NA,NA,NA,NA,0,0,0,8
STATE (ESPERANZA)_1994,STATE (ESPERANZA)_1994_8,1994,South,Riverside,NA,STATE (ESPERANZA),1994-08-21,1994-08-23,CDF,657,NA,B,Arson,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,8
SPANISH_1994,SPANISH_1994_9,1994,South,Santa Barbara County,NA,SPANISH,1994-09-08,1994-09-09,CC,NA,2123,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,9
LA POSTA_1994,LA POSTA_1994_9,1994,South,San Diego,NA,LA POSTA,1994-09-09,1994-09-10,CDF,330,NA,B,Shooting,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,9
RODRIQUEZ_1994,RODRIQUEZ_1994_9,1994,South,San Diego,NA,RODRIQUEZ,1994-09-16,1994-09-16,CDF,687,NA,B,Undetermined,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,9
OTAY #4_1994,OTAY #4_1994_10,1994,South,San Diego,NA,OTAY #4,1994-10-09,1994-10-10,CDF,2550,NA,B,Campfire,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,10
ASSIST #79_1994,ASSIST #79_1994_10,1994,South,San Luis Obispo,NA,ASSIST #79,1994-10-09,1994-10-11,CC,NA,2546,BG,Playing with fire,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,10
SCISSORS #2_1994,SCISSORS #2_1994_10,1994,South,San Diego,NA,SCISSORS #2,1994-10-30,1994-10-30,CDF,400,NA,B,Vehicle,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,10
LAKELAND_1994,LAKELAND_1994_6,1994,Sierra,Kern,NA,LAKELAND,1994-06-14,1994-06-14,CC,NA,2400,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,6,0,0,6
WHITE BLANKET_1994,WHITE BLANKET_1994_6,1994,Sierra,Kern County,NA,WHITE BLANKET,1994-06-21,1994-06-25,CC,NA,2505,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,6
HUNTER_1994,HUNTER_1994_6,1994,Sierra,Madera-Mariposa,NA,HUNTER,1994-06-26,1994-06-28,CDF,715,NA,GB,Undetermined,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,6
COPPER #8_1994,COPPER #8_1994_6,1994,Sierra,Tuolumne-Calaveras,NA,COPPER #8,1994-06-29,1994-06-29,CDF,2100,NA,W,Vehicle,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,6
ASSIST (KELSEY)_1994,ASSIST (KELSEY)_1994_8,1994,Sierra,Amador-El Dorado,NA,ASSIST (KELSEY),1994-08-07,1994-08-07,CDF,860,NA,T,Arson,33,NA,NA,NA,NA,NA,NA,NA,0,0,0,8
CREEK_1994,CREEK_1994_8,1994,Sierra,Tuolumne-Calaveras,NA,CREEK,1994-08-09,1994-08-14,CDF,442,NA,TB,Smoking,3,NA,NA,NA,NA,NA,NA,NA,0,0,0,8
HORIZON_1994,HORIZON_1994_8,1994,Sierra,Yosemite NP,NA,HORIZON,1994-08-12,1994-08-15,NPS,NA,3750,NA,Lightning,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,8
BIG CREEK_1994,BIG CREEK_1994_8,1994,Sierra,Sequoia NF,NA,BIG CREEK,1994-08-24,1994-08-30,USFS,NA,5250,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,8
PRIEST_1995,PRIEST_1995_10,1995,Coast,Lake-Napa,NA,PRIEST,1995-10-22,1995-10-23,CDF,515,NA,BG,Equipment use,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,10
