Firename_year,Fire_year_month,Fire_year,Region,Ranger_unit,Ranger_unit2,FIRE_NAME,Start,Contained,DPA,CDF_acres_burned,Other_acres_burned,Veg_type,Cause,Destroyed_structures,Incident_number,National_forest,County,County2,County3,Fire_name2,DPA2,Damaged_structures,Firefighter_fatalities,Civilian_fatalities,Start_month
BONANZA_1984,BONANZA_1984_6,1984,V,San Benito-Monterey,NA,BONANZA,1984-06-02,1984-06-03,CDF,12906,NA,WBG,Debris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
BLM #1_1984,BLM #1_1984_5,1984,V,San Luis Obispo,NA,BLM #1,1984-05-21,1984-05-21,CDF,560,NA,B,Misc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
MORRETTI_1984,MORRETTI_1984_5,1984,V,San Luis Obispo,NA,MORRETTI,1984-05-29,1984-05-30,CDF,1330,NA,BG,Lightning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
PASQUAL_1984,PASQUAL_1984_6,1984,V,Santa Barbara County,NA,PASQUAL,1984-06-08,1984-06-09,CC,NA,400,G,BA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
ROCHA VMP ESCAPE #2_1984,ROCHA VMP ESCAPE #2_1984_9,1984,V,San Mateo-Santa Cruz,NA,ROCHA VMP ESCAPE #2,1984-09-08,1984-09-09,CDF,550,NA,WBG,Misc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
NUNES_1984,NUNES_1984_6,1984,V,Santa Clara,NA,NUNES,0984-06-01,1984-06-01,CDF,330,NA,WB,Lightning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
SITE 300 #3_1984,SITE 300 #3_1984_6,1984,V,Santa Clara,NA,SITE 300 #3,1984-06-28,1984-06-28,CDF,3713,1046,BG,Debris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
PACHECO #2_1984,PACHECO #2_1984_7,1984,V,Santa Clara,NA,PACHECO #2,1984-07-05,1984-07-06,CDF,1103,NA,WBG,Lightning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
COW_1984,COW_1984_9,1984,VI,Owens Valley,NA,COW,1984-09-29,1984-09-30,BLM,NA,2980,B,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
ORCO ASSIST_1984,ORCO ASSIST_1984_1,1984,VI,Orange County,NA,ORCO ASSIST,1984-01-26,1984-01-27,CC,NA,1200,BG,BA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
