Year,Region,Ranger_unit,FIRE_NAME,Start,Contained,DPA,CDF_acres_burned,Other_acres_burned,Veg_type,Cause,Destroyed_structures,Firefighter_fatalities,Damaged_structures,Civilian_fatalities,Incident_number,Ranger_unit2,National_forest,County,County2,County3,DPA2,Fire_name2
1979,V,San Benito-Monterey,HERNANDEZ,8/3/1979,8/3/1979,CDF,765,0,WB,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,V,San Benito-Monterey,OIL WELL CANYON,10/29/1979,10/29/1979,CDF,584,0,BG,Misc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,V,San Luis Obispo,ELKHORN RD.,6/5/1979,6/5/1979,CDF,1578,0,G,Misc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,V,San Luis Obispo,CROCKER,7/28/1979,7/28/1979,CDF,2262,0,G,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,V,San Luis Obispo,SILVER SPUR,8/7/1979,8/7/1979,CDF,300,0,B,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,V,San Luis Obispo,SPANISH RANCH,8/15/1979,8/16/1979,CDF,930,0,B,Equipment use,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,V,San Luis Obispo,PARKHILL,8/27/1979,8/29/1979,CDF,1985,240,BG,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,V,San Luis Obispo,RIVER ROAD,9/9/1979,9/10/1979,CDF,625,125,BG,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,V,San Luis Obispo,TAR SPRINGS #2,9/15/1979,9/17/1979,CDF,1500,0,B,Misc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,V,Santa Clara,LANGDON,5/14/1979,5/14/1979,CDF,2872,0,BG,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,VI,Orange,ORTEGA #2,9/15/1979,9/16/1979,CDF,750,0,B,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,VI,Orange,LAGUNA,12/11/1979,12/12/1979,CDF,400,150,B,Misc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,VI,Riverside,TRUELSON,5/12/1979,5/13/1979,CDF,946,0,BG,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,VI,Riverside,MORONGO #14,5/31/1979,5/31/1979,CDF,1279,0,B,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,VI,Riverside,MORONGO #21,6/3/1979,6/9/1979,CDF,3205,245,B,Lightning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,VI,Riverside,JOSHUA TREE,6/4/1979,6/4/1979,NPS,0,600,BG,Lightning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,VI,Riverside,WHITEWATER,6/9/1979,6/10/1979,CDF,1664,0,B,Misc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,VI,Riverside,DOUBLE BUTTE #2,6/13/1979,6/13/1979,CDF,850,0,B,Misc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,VI,Riverside,BROWN,6/26/1979,6/26/1979,CDF,718,0,B,Misc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,VI,Riverside,NORTH,6/26/1979,6/28/1979,CDF,3200,0,B,Arson,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,VI,Riverside,BAUTISTA,6/26/1979,6/28/1979,CDF,600,0,B,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,VI,Riverside,RECHE,6/28/1979,6/29/1979,CDF,300,0,B,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,VI,Riverside,RUSSELL,7/3/1979,7/4/1979,CDF,465,0,B,Misc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,VI,Riverside,SKINNER,7/6/1979,7/6/1979,CDF,495,0,B,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,VI,Riverside,SAGE,7/8/1979,7/9/1979,CDF,320,0,B,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,VI,Riverside,STEELE,7/9/1979,7/10/1979,CDF,300,0,B,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,VI,Riverside,CALVERT,7/9/1979,7/9/1979,CDF,576,0,B,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,VI,Cleveland NF,RANDOLPH,7/17/1979,7/17/1979,USFS,0,400,B,Lightning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,VI,Riverside,BUTTE,7/29/1979,7/29/1979,CDF,686,0,BG,Arson,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,VI,Riverside,MORONGO #54,8/2/1979,8/2/1979,CDF,550,0,B,Smoking,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,VI,Riverside,RAWSON,8/18/1979,8/19/1979,CDF,794,0,B,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,VI,Riverside,BURRO/MOE 59,8/23/1979,8/23/1979,CDF,1545,0,B,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,VI,Riverside,HALL,8/25/1979,8/25/1979,CDF,350,0,B,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,VI,Riverside,OLIVE,9/3/1979,9/3/1979,CDF,603,0,B,Play W/Fire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,VI,Riverside,RANCHO,9/13/1979,9/13/1979,CDF,500,0,B,Misc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,VI,Riverside,PASEO,9/15/1979,9/15/1979,CDF,3700,0,B,Misc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,VI,Riverside,CHERRY,9/15/1979,9/15/1979,CDF,625,0,BG,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,VI,San Bernardino,SIERRA,6/9/1979,6/10/1979,CDF,300,0,B,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,VI,San Bernardino,HESPERIA,6/14/1979,6/14/1979,CDF,1525,0,BG,Arson,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,VI,San Bernardino,SIERRA SERIES,6/27/1979,6/27/1979,CDF,1500,0,B,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,VI,San Bernardino,OAK SPRINGS,7/9/1979,7/10/1979,CDF,6066,0,WBG,Misc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,VI,San Bernardino,LIVE OAK,7/12/1979,7/12/0197,CDF,350,0,B,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,VI,San Bernardino NF,RUDDELL,7/26/1979,7/26/1979,USFS,0,750,TBG,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,VI,San Bernardino,SANTA ANA,9/16/1979,9/16/1979,CDF,1864,0,B,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,VI,San Bernardino,YUCCA LOMA,11/5/1979,11/6/1979,BLM,3000,0,B,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,VI,San Diego,VESPER,6/9/1979,6/10/1979,CDF,450,0,BA,Campfire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,VI,San Diego,ASSIST #61,6/28/1979,6/28/1979,MIL,0,15000,G,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,VI,San Diego,COTTONWOOD,6/29/1979,7/2/1979,CDF,485,0,B,Campfire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,VI,San Diego,HANSON,7/26/1979,7/26/1979,CDF,580,0,B,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,VI,San Diego,CAMPO,9/10/1979,9/11/1979,CDF,320,0,B,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,VI,San Diego,HIGHLAND,9/11/1979,9/11/1979,CDF,340,0,B,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,VI,San Diego,BERNARDO,9/15/1979,9/15/1979,CDF,1050,7050,B,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,VI,San Diego,OTAY #20,9/19/1979,9/22/1979,CDF,5550,0,B,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,VI,Cleveland NF,HAUSER,7/10/1979,7/15/1979,USFS,0,681,B,Campfire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,VI,Los Angeles County,WAYSIDE,7/18/1979,7/18/1979,CC,0,2530,B,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,I,Humboldt-Del Norte,MANN,8/2/1980,8/2/1980,CDF,950,0,TBG,Smoking,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,I,Humboldt-Del Norte,JAUNARENA,10/2/1980,10/3/1980,CDF,347,0,TBG,Debris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,I,Humboldt-Del Norte,CAPETOWN SERIES,10/8/1980,10/8/1980,CDF,505,0,TBG,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,I,Lake-Napa,HIGHLAND SPRINGS,10/7/1980,10/8/1980,CDF,650,0,BG,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,I,Mendocino,WHIPPLE,10/7/1980,10/7/1980,CDF,450,0,TWBG,Play W/Fire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,I,Sonoma,GEHRICKE,10/3/1980,10/4/1980,CDF,644,0,TWBG,Smoking,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,II,Nevada-Yuba-Placer,DOG BAR,10/7/1980,10/7/1980,CDF,360,0,TWB,Misc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,II,Shasta-Trinity,TOWERHOUSE,8/13/1980,8/15/1980,CDF,2349,0,B,Arson,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,II,Siskiyou,ANDESITE,4/13/1980,4/14/1980,CDF,590,0,TB,Debris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,II,Siskiyou,LIGHTNING SERIES,7/28/1980,7/30/1980,CDF,540,0,TBG,Lightning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,II,Tehama-Glenn,BIG ANTELOPE,6/27/1980,6/28/1980,CDF,600,0,B,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,II,Tehama-Glenn,ROCKWALL,7/28/1980,7/28/1980,CDF,1670,0,W,Lightning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,II,Tehama-Glenn,CAMPO AIRSTRIP,7/28/1980,7/28/1980,CDF,300,0,B,Lightning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,IV,Amador-El Dorado,MICHIGAN BAR,7/29/1980,7/30/1980,CDF,755,0,BG,Misc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,V,San Benito-Monterey,BUCKRIDGE,8/8/1980,8/9/1980,CDF,560,40,WBG,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,V,San Benito-Monterey,REASONS,8/21/1980,8/21/1980,CDF,585,0,WBAP,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
