Fire_name_year,Year,Region,Ranger_unit,Ranger_unit2,FIRE_NAME,Start,Contained,DPA,CDF_acres_burned,Other_acres_burned,Veg_type,Cause,Destroyed_structures,Incident_number,National_forest,County,County2,County3,Fire_name2,DPA2,Damaged_structures,Firefighter_fatalities,Civilian_fatalities
WIDOW_1993,1993,II,Lassen-Modoc,NA,WIDOW,0008-05-19,0008-07-19,CDF,830,NA,T,Undetermined,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
HALL_1993,1993,II,Tehama-Glenn,NA,HALL,0009-12-19,0009-12-19,LOCAL,NA,475,G,Debris,3,NA,NA,NA,NA,NA,NA,NA,2,0,0
STATE_1993,1993,III,Riverside,NA,STATE,NA,NA,CDF,500,NA,B,Equipment use,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
ASSIST_1993,1993,III,Riverside,NA,ASSIST,NA,NA,LOCAL,NA,400,B,Smoking,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
LOCAL_1993,1993,III,Riverside,NA,LOCAL,NA,NA,LOCAL,NA,410,AGB,Undetermined,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
CALIFORNIA_1993,1993,III,Riverside,NA,CALIFORNIA,NA,NA,CDF,25100,NA,BG,Powerlines,107,NA,NA,NA,NA,NA,NA,NA,40,0,0
BOX_1993,1993,III,Riverside,NA,BOX,NA,NA,CDF,3500,NA,GB,Arson,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
TRIBAL_1993,1993,III,Riverside,NA,TRIBAL,NA,NA,CDF,2230,NA,B,Powerlines,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
VAIL_1993,1993,III,Riverside,NA,VAIL,NA,NA,CDF,536,NA,GB,Arson,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
REPPLIER_1993,1993,III,Riverside,NA,REPPLIER,0011-02-19,0011-04-19,CDF,5280,671,GB,Arcing Pwrline,3,NA,NA,NA,NA,NA,NA,NA,2,0,0
STODDARD_1993,1993,III,San Bernardino,NA,STODDARD,NA,NA,BLM,NA,2326,NA,Fireworks,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
OPAL MOUNTAIN_1993,1993,III,San Bernardino,NA,OPAL MOUNTAIN,NA,NA,LOCAL,NA,18000,GB,Lightning,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
MILL CREEK_1993,1993,III,San Bernardino,NA,MILL CREEK,NA,NA,CDF,4680,NA,B,Powerlines,6,NA,NA,NA,NA,NA,NA,NA,2,0,0
OUTSIDE ORIGIN #1_1993,1993,III,San Diego,NA,OUTSIDE ORIGIN #1,0005-09-19,NA,CDF,4600,NA,B,Campfire,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
GRADE_1993,1993,III,San Diego,NA,GRADE,NA,NA,CDF,1500,NA,GB,Undetermined,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
OTAY #18_1993,1993,III,San Diego,NA,OTAY #18,NA,NA,CDF,2000,NA,GB,Escape,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
CLEVENGER_1993,1993,III,San Diego,NA,CLEVENGER,0009-08-19,0009-09-19,CDF,409,NA,B,Arson,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
BELL_1993,1993,III,San Diego,NA,BELL,NA,NA,CDF,300,NA,B,Campfire,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
GUEJITO_1993,1993,III,San Diego,NA,GUEJITO,NA,0011-02-19,CDF,20722,NA,B,Powerlines,9,NA,NA,NA,NA,NA,NA,NA,1,0,0
ASSIST/OLD COACH_1993,1993,III,San Diego,NA,ASSIST/OLD COACH,0011-02-19,0011-03-19,CITY,157,1982,B,Campfire,36,NA,NA,NA,NA,NA,NA,NA,0,0,0
ASSIST #31_1993,1993,III,San Luis Obispo,NA,ASSIST #31,NA,NA,CC,NA,400,B,Undetermined,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
EAGLE FIRE_1993,1993,III,Cleveland NF,NA,EAGLE FIRE,0005-09-19,0005-09-19,USFS,NA,3000,NA,"NA",0,NA,NA,NA,NA,NA,NA,NA,0,0,0
ASSIST_1993,1993,III,Inyo NF,NA,ASSIST,0008-04-19,0008-04-19,USFS,NA,1000,NA,Lightning,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
MARRE_1993,1993,III,Los Padres NF,NA,MARRE,NA,NA,USFS,3400,27100,NA,Smoking,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
STAGECOACH_1993,1993,III,Orange County,NA,STAGECOACH,NA,NA,CC,NA,546,NA,Arson,8,NA,NA,NA,NA,NA,NA,NA,0,0,0
LAGUNA CANYON_1993,1993,III,Orange County,NA,LAGUNA CANYON,NA,NA,CC,NA,16682,NA,Arson,366,NA,NA,NA,NA,NA,NA,NA,17,0,0
GREENMEADOW_1993,1993,III,Ventura County,NA,GREENMEADOW,NA,0011-04-19,CC,NA,40051,B,Arson,1,NA,NA,NA,NA,NA,NA,NA,2,0,0
STECKLE PARK_1993,1993,III,Ventura County,NA,STECKLE PARK,NA,NA,CC,NA,26741,NA,Arson,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
WHEEL_1993,1993,III,Los Padres NF,NA,WHEEL,NA,NA,USFS,NA,1384,NA,Arson,149,NA,NA,NA,NA,NA,NA,NA,NA,0,1
KINNELOA_1993,1993,III,Angeles NF,NA,KINNELOA,NA,0011-01-19,CC,NA,5715,NA,Campfire,15,NA,NA,NA,NA,NA,NA,NA,5,0,0
ORTEGA_1993,1993,III,Cleveland NF,NA,ORTEGA,NA,0011-01-19,USFS,NA,21392,NA,Arson,1,NA,NA,NA,NA,NA,NA,NA,0,0,0
ROCKY_1993,1993,III,Los Angeles/Ventura,NA,ROCKY,NA,NA,CC,NA,1906,NA,Arson,323,NA,NA,NA,NA,NA,NA,NA,0,0,3
OLD TOPANGA_1993,1993,III,Los Angeles County,NA,OLD TOPANGA,0011-02-19,0011-05-19,CC,NA,18000,B,Arson,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
CHEVRON USA_1993,1993,IV,Fresno-Kings,NA,CHEVRON USA,0005-10-19,0005-10-19,LOCAL,NA,3000,GB,Electrical power,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
SYCAMORE_1993,1993,IV,Fresno-Kings,NA,SYCAMORE,NA,NA,CDF,1500,NA,G,Arson,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
PG&E #4_1993,1993,IV,Madera Mariposa,NA,PG&E #4,0006-01-19,0006-02-19,CDF,5500,NA,G,Electrical power,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
GUERRERO_1993,1993,IV,San Benito-Monterey,NA,GUERRERO,0006-10-19,0006-12-19,CDF,1513,NA,G,Equipment Use,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
RANCHO_1993,1993,IV,San Benito-Monterey,NA,RANCHO,0008-01-19,0008-03-19,CDF,6000,NA,GB,Equipment Use,2,NA,NA,NA,NA,NA,NA,NA,0,0,0
RANCHO_1993,1993,IV,San Benito-Monterey,NA,RANCHO,0008-01-19,0008-03-19,CDF,380,NA,GB,Exposure,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
RANCHO_1993,1993,IV,San Benito-Monterey,NA,RANCHO,0008-01-19,0008-03-19,CDF,550,NA,B,Exposure,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
RANCHO_1993,1993,IV,San benito-Monterey,NA,RANCHO,0008-01-19,0008-03-19,CDF,470,NA,GB,Exposure,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
RANCHO_1993,1993,IV,San benito-Monterey,NA,RANCHO,0008-01-19,0008-03-19,CDF,320,NA,B,Exposure,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
DUCK_1993,1993,IV,San benito-Monterey,NA,DUCK,NA,NA,CDF,480,NA,G,Bird/Powerline,3,NA,NA,NA,NA,NA,NA,NA,0,0,0
ORCHARD_1993,1993,IV,Kern County,NA,ORCHARD,NA,NA,CC,NA,20000,NA,Lightning,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
DILLON COMPLEX_1994,1994,Coast,Klamath NF,NA,DILLON COMPLEX,NA,NA,USFS,NA,28953,N/A,Lightning,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
FISH_1994,1994,Coast,Mendocino ANF-3414,NA,FISH,NA,NA,CDF,635,NA,T,Equipment use,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
SUGARFOOT_1994,1994,Coast,Mendocino NF,NA,SUGARFOOT,NA,NA,USFS,NA,2788,N/A,"NA",0,NA,NA,NA,NA,NA,NA,NA,0,0,0
SPECIMEN_1994,1994,Coast,Klamath NF,NA,SPECIMEN,NA,NA,USFS,NA,6463,N/A,Lightning,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
SCHINDEL ESCAPE_1994,1994,Cascade,Shasta-Trinity,NA,SCHINDEL ESCAPE,0004-04-19,0004-05-19,CDF,670,NA,B,Arson,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
NA_1994,1994,Cascade,Plumas NF,NA,NA,0006-03-19,0006-04-19,USFS,NA,2000,N/A,"NA",0,NA,NA,NA,NA,NA,NA,NA,0,0,0
RAULSON_1994,1994,Cascade,Butte,NA,RAULSON,NA,0007-01-19,CDF,1000,NA,W,Equipment use,13,NA,NA,NA,NA,NA,NA,NA,0,0,0
BROWNS_1994,1994,Cascade,Shasta-Trinity,NA,BROWNS,0007-12-19,NA,CDF,1650,NA,TB,Vehicle,4,NA,NA,NA,NA,NA,NA,NA,1,0,0
LIGHTNING #58_1994,1994,Cascade,Lassen-Modoc,NA,LIGHTNING #58,NA,NA,CDF,1550,NA,G,Lightning,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
CRYSTAL_1994,1994,Cascade,Tahoe NF (USFS Assist),NA,CRYSTAL,0008-04-19,0008-07-19,USFS,NA,7310,N/A,Equipment use,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
PG&E (TRAUNER)_1994,1994,Cascade,Nevada-Yuba-Placer,NA,PG&E (TRAUNER),0008-07-19,0008-08-19,CDF,500,NA,TWB,Electrical power,0,NA,NA,NA,NA,NA,NA,NA,34,0,0
HIRSCHDALE_1994,1994,Cascade,Nevada-Yuba-Placer,NA,HIRSCHDALE,0008-11-19,NA,CDF,325,NA,B,Electrical power,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
WIDOW_1994,1994,Cascade,Lassen-Modoc,NA,WIDOW,NA,NA,CDF,350,NA,T,Vehicle,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
COTTONWOOD_1994,1994,Cascade,Tahoe NF,NA,COTTONWOOD,NA,NA,USFS,NA,43800,N/A,"NA",0,NA,NA,NA,NA,NA,NA,NA,0,0,0
BRIDGE_1994,1994,Cascade,Nevada-Yuba-Placer,NA,BRIDGE,NA,NA,CDF,310,NA,B,Undetermined,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
BARKLEY_1994,1994,Cascade,Lassen NF,NA,BARKLEY,NA,NA,CDF,12462,27938,G,Lightning,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
BARKLEY_1994,1994,Cascade,Butte,NA,BARKLEY,NA,NA,CDF,1818,NA,TB,Lightning,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
LIGHTNING 66_1994,1994,Cascade,Lassen-Modoc,NA,LIGHTNING 66,NA,NA,CDF,1025,NA,TB,Lightning,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
LOCAL_1994,1994,South,Riverside,NA,LOCAL,0004-08-19,0004-08-19,LOCAL,NA,1400,B,Undetermined,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
ASSIST #22 (SODA)_1994,1994,South,San Luis Obispo,NA,ASSIST #22 (SODA),NA,NA,BLM,NA,3380,N/A,Equipment use,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
BRANCH_1994,1994,South,San Luis Obispo,NA,BRANCH,NA,NA,LOCAL,NA,2400,GA,Equipment use,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
HWY 41_1994,1994,South,San Luis Obispo,NA,HWY 41,NA,NA,CDF,1920,NA,G,Undetermined,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
SAN FELIPE_1994,1994,South,San Diego,NA,SAN FELIPE,NA,NA,CDF,740,NA,B,Vehicle,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
SCOUT_1994,1994,South,Angeles NF,NA,SCOUT,NA,NA,USFS,NA,3023,N/A,Campfire,9,NA,NA,NA,NA,NA,NA,NA,0,0,0
SHOOTING_1994,1994,South,Angeles NF,NA,SHOOTING,NA,NA,USFS,NA,3490,N/A,"NA",0,NA,NA,NA,NA,NA,NA,NA,0,0,0
STATE (BAILEY)_1994,1994,South,Riverside,NA,STATE (BAILEY),NA,NA,CDF,7000,NA,GB,Equipment use,8,NA,NA,NA,NA,NA,NA,NA,2,0,0
SECOND_1994,1994,South,Cleveland NF,NA,SECOND,NA,NA,USFS,NA,4900,N/A,"NA",0,NA,NA,NA,NA,NA,NA,NA,0,0,0
LUCAS COMPLEX_1994,1994,South,Sequoia NF,NA,LUCAS COMPLEX,0001-05-19,NA,USFS,NA,8464,N/A,Lightning,40,NA,NA,NA,NA,NA,NA,NA,0,0,0
GIBBEL_1994,1994,South,Riverside,NA,GIBBEL,NA,NA,CDF,818,NA,B,Arson,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
FAIRVIEW_1994,1994,South,Riverside,NA,FAIRVIEW,NA,NA,CDF,1760,NA,B,Arson,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
GILMAN_1994,1994,South,Riverside,NA,GILMAN,NA,0007-01-19,CDF,1864,NA,GB,Arson,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
MATTHEW_1994,1994,South,Riverside,NA,MATTHEW,NA,NA,BIA,NA,350,B,Debris,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
PIUTE_1994,1994,South,San Bernardino,NA,PIUTE,NA,NA,BLM,NA,3500,N/A,Lightning,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
BDF 5587_1994,1994,South,Riverside,NA,BDF 5587,0007-01-19,0007-03-19,USFS,NA,19200,N/A,Lightning,14,NA,NA,NA,NA,NA,NA,NA,7,0,0
DEVILS_1994,1994,South,San Bernardino,NA,DEVILS,0007-03-19,0007-06-19,USFS,1400,10838,B,Lightning,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
STATE_1994,1994,South,Riverside,NA,STATE,0007-11-19,0007-12-19,CDF,1000,NA,B,Arson,1,NA,NA,NA,NA,NA,NA,NA,0,0,0
GILMAN FIRE_1994,1994,South,Riverside,NA,GILMAN FIRE,NA,NA,CDF,1905,NA,G,Arson,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
ALSIO_1994,1994,South,Santa Barbara Co. #328,NA,ALSIO,NA,0008-01-19,CC,NA,3129,W,"NA",0,NA,NA,NA,NA,NA,NA,NA,0,0,0
HIGHWAY 74_1994,1994,South,Riverside,NA,HIGHWAY 74,0008-06-19,0008-07-19,CDF,1150,NA,B,Lightning,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
ASSIST 42_1994,1994,South,San Diego,NA,ASSIST 42,0008-09-19,0008-09-19,USFS,NA,500,B,Undetermined,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
ASSIST/OPAL #2_1994,1994,South,San Bernardino,NA,ASSIST/OPAL #2,NA,NA,BLM,NA,4000,N/A,Lightning,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
COMPLEX_1994,1994,South,San Bernardino NF,NA,COMPLEX,NA,NA,USFS,NA,1800,N/A,Lightning,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
HWY 41_1994,1994,South,San Luis Obispo,NA,HWY 41,NA,NA,CDF,48531,NA,B,Arson,37,NA,NA,NA,NA,NA,NA,NA,0,0,0
STATE (ESPERANZA)_1994,1994,South,Riverside,NA,STATE (ESPERANZA),NA,NA,CDF,657,NA,B,Arson,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
SPANISH_1994,1994,South,Santa Barbara County,NA,SPANISH,0009-08-19,0009-09-19,CC,NA,2123,N/A,"NA",0,NA,NA,NA,NA,NA,NA,NA,0,0,0
LA POSTA_1994,1994,South,San Diego,NA,LA POSTA,0009-09-19,0009-10-19,CDF,330,NA,B,Shooting,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
RODRIQUEZ_1994,1994,South,San Diego,NA,RODRIQUEZ,NA,NA,CDF,687,NA,B,Undetermined,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
OTAY #4_1994,1994,South,San Diego,NA,OTAY #4,0010-09-19,0010-10-19,CDF,2550,NA,B,Campfire,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
ASSIST #79_1994,1994,South,San Luis Obispo,NA,ASSIST #79,0010-09-19,0010-11-19,CC,NA,2546,BG,Playing with fire,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
SCISSORS #2_1994,1994,South,San Diego,NA,SCISSORS #2,NA,NA,CDF,400,NA,B,Vehicle,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
LAKELAND_1994,1994,Sierra,Kern,NA,LAKELAND,NA,NA,CC,NA,2400,N/A,"NA",8,NA,NA,NA,NA,NA,NA,NA,6,0,0
WHITE BLANKET_1994,1994,Sierra,Kern County,NA,WHITE BLANKET,NA,NA,CC,NA,2505,N/A,"NA",0,NA,NA,NA,NA,NA,NA,NA,0,0,0
HUNTER_1994,1994,Sierra,Madera-Mariposa,NA,HUNTER,NA,NA,CDF,715,NA,GB,Undetermined,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
COPPER #8_1994,1994,Sierra,Tuolumne-Calaveras,NA,COPPER #8,NA,NA,CDF,2100,NA,W,Vehicle,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
ASSIST (KELSEY)_1994,1994,Sierra,Amador-El Dorado,NA,ASSIST (KELSEY),0008-07-19,0008-07-19,CDF,860,NA,T,Arson,33,NA,NA,NA,NA,NA,NA,NA,0,0,0
CREEK_1994,1994,Sierra,Tuolumne-Calaveras,NA,CREEK,0008-09-19,NA,CDF,442,NA,TB,Smoking,3,NA,NA,NA,NA,NA,NA,NA,0,0,0
HORIZON_1994,1994,Sierra,Yosemite NP,NA,HORIZON,0008-12-19,NA,NPS,NA,3750,N/A,Lightning,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
BIG CREEK_1994,1994,Sierra,Sequoia NF,NA,BIG CREEK,NA,NA,USFS,NA,5250,N/A,"NA",0,NA,NA,NA,NA,NA,NA,NA,0,0,0
PRIEST_1995,1995,Coast,Lake-Napa,NA,PRIEST,NA,NA,CDF,515,NA,BG,Equipment use,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
GUNTLEY_1995,1995,Coast,Mendocino,NA,GUNTLEY,0010-04-19,0010-05-19,CDF,2540,NA,BG,Arson,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
ORESTIMA_1995,1995,Coast,Santa Clara,NA,ORESTIMA,NA,NA,CDF,1755,NA,BG,Debris,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
VISION_1995,1995,Coast,Marin County,NA,VISION,0010-04-19,0010-07-19,NPS,NA,12354,NA,Campfire,45,NA,NA,NA,NA,NA,NA,NA,12,0,0
STATE_1995,1995,South,Riverside,NA,STATE,NA,NA,CDF,1963,NA,BG,Undetermined,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
LOST LAKE_1995,1995,South,Riverside,NA,LOST LAKE,NA,NA,USFS,NA,2000,B,"NA",0,NA,NA,NA,NA,NA,NA,NA,0,0,0
STATE #1030 (DAWSON)_1995,1995,South,Riverside,NA,STATE #1030 (DAWSON),NA,NA,CDF,4900,NA,BG,Playing with fire,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
STATE_1995,1995,South,Riverside,NA,STATE,NA,NA,CDF,1335,NA,B,Arson,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
MORENO-S-1046_1995,1995,South,Riverside,NA,MORENO-S-1046,NA,NA,CDF,762,NA,B,Smoking,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
STATE (STANLEY)_1995,1995,South,Riverside,NA,STATE (STANLEY),NA,NA,CDF,5000,NA,B,Vehicle,6,NA,NA,NA,NA,NA,NA,NA,0,0,0
STATE 1102 (RECHE)_1995,1995,South,Riverside,NA,STATE 1102 (RECHE),NA,NA,CDF,984,165,BG,Misc,1,NA,NA,NA,NA,NA,NA,NA,2,0,0
MAYWOOD FIRE_1995,1995,South,Riverside,NA,MAYWOOD FIRE,NA,0008-01-19,CDF,1100,NA,B,Undetermined,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
BENTON_1995,1995,South,Riverside,NA,BENTON,NA,NA,CDF,430,NA,B,Arson,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
VERBENIA_1995,1995,South,Riverside,NA,VERBENIA,0008-04-19,0008-10-19,CDF,23851,NA,B,Equipment use,2,NA,NA,NA,NA,NA,NA,NA,1,0,0
LINCOLN_1995,1995,South,Riverside,NA,LINCOLN,NA,NA,LOCAL,NA,540,B,Undetermined,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
STATE_1995,1995,South,Riverside,NA,STATE,NA,NA,CDF,3500,NA,B,Arson,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
BLUFF_1995,1995,South,Riverside,NA,BLUFF,NA,NA,CDF,2624,NA,BG,Campfire,3,NA,NA,NA,NA,NA,NA,NA,2,0,0
ESPERANZA_1995,1995,South,Riverside,NA,ESPERANZA,NA,NA,CDF,660,NA,G,Equipment use,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
POLE_1995,1995,South,San Bernardino,NA,POLE,NA,NA,CDF,4800,NA,B,Equipment use,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
PILGRIM_1995,1995,South,San Bernardino,NA,PILGRIM,NA,NA,CDF,2236,NA,G,Equipment use,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
JENNY_1995,1995,South,San Bernardino,NA,JENNY,NA,NA,CDF,420,NA,B,Lightning,6,NA,NA,NA,NA,NA,NA,NA,0,0,0
CITY_1995,1995,South,San Bernardino,NA,CITY,NA,NA,CITY,NA,2500,BG,Vehicle,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
BUTTERFIELD_1995,1995,South,San Diego,NA,BUTTERFIELD,NA,NA,CDF,7083,NA,B,Misc,0,NA,NA,NA,NA,NA,NA,NA,0,3,0
MARRON #4_1995,1995,South,San Diego,NA,MARRON #4,0007-11-19,0007-11-19,CDF,645,NA,BA,Arson,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
FOREST GATE_1995,1995,South,San Diego,NA,FOREST GATE,NA,NA,CDF,1650,NA,B,Smoking,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
EL MONTE_1995,1995,South,San Diego,NA,EL MONTE,NA,NA,CDF,512,7588,B,Equipment use,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
SYCAMORE_1995,1995,South,San Diego,NA,SYCAMORE,NA,0009-02-19,CDF,10000,NA,B,Undetermined,3,NA,NA,NA,NA,NA,NA,NA,3,0,0
POWAY_1995,1995,South,San Diego,NA,POWAY,NA,0009-02-19,CDF,1637,NA,B,Arson,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
WARNERS_1995,1995,South,San Diego,NA,WARNERS,NA,NA,CDF,2400,NA,B,Misc,20,NA,NA,NA,NA,NA,NA,NA,0,0,0
SPRINGS_1995,1995,South,San Diego,NA,SPRINGS,NA,NA,CDF,307,NA,B,Equipment use,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
TECATE #30_1995,1995,South,San Diego,NA,TECATE #30,NA,NA,CDF,500,NA,B,Campfire,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
ASSIST #51_1995,1995,South,San Luis Obispo,Ventura,ASSIST #51,NA,NA,CC,NA,1525,B,Arson,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
BALD_1995,1995,South,San Luis Obispo,NA,BALD,NA,NA,CDF,2900,NA,GWB,Escape,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
POWERHOUSE_1995,1995,South,Fresno-Kings,NA,POWERHOUSE,NA,NA,CDF,500,NA,B,Arson,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
NEES FIRE_1995,1995,South,Madera-Mariposa,NA,NEES FIRE,0005-08-19,0005-08-19,CDF,1820,NA,G,Vehicle,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
LOPEZ/KERN CO #8_1995,1995,South,Tulare,NA,LOPEZ/KERN CO #8,NA,0008-01-19,CC,NA,1985,W,Lightning,4,NA,NA,NA,NA,NA,NA,NA,1,0,0
PG&E 13_1995,1995,South,Tuolumne-Calaveras,NA,PG&E 13,NA,NA,CDF,3212,NA,G,Equipment use,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
MURRAY_1995,1995,South,Tuolumne-Calaveras,NA,MURRAY,0010-06-19,0010-08-19,CDF,500,NA,BW,Misc,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
PG&E #8 (CAVENDALE)_1996,1996,Coast,Sonoma (Exp 001),NA,PG&E #8 (CAVENDALE),NA,0008-03-19,CDF,2100,NA,BWA,Powerlines,5,NA,NA,NA,NA,NA,NA,NA,5,0,0
MNF-334 ASSIST (FORK)_1996,1996,Coast,Lake-Napa,NA,MNF-334 ASSIST (FORK),0008-11-19,NA,USFS,7200,75780,W,Undetermined,40,NA,NA,NA,NA,NA,NA,NA,0,0,0
SRF ASSIST #15 (PANTHER)_1996,1996,Coast,Humboldt-Del Norte,NA,SRF ASSIST #15 (PANTHER),NA,NA,USFS,NA,350,BT,Undetermined,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
GATES_1996,1996,Coast,Lake-Napa (Solano Co.),NA,GATES,0010-09-19,0010-11-19,CDF,1500,NA,GWB,Arson,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
BYERS_1996,1996,Cascade,Lassen,NA,BYERS,0007-02-19,0007-03-19,CDF,1000,NA,B,Vehicle,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
BELLI RANCH_1996,1996,Cascade,Out of State (Nevada),NA,BELLI RANCH,0008-05-19,0008-08-19,NEVADA,NA,6724,N/A,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
LIGHTNING #83 (DIXIE)_1996,1996,Cascade,Lassen-Modoc,NA,LIGHTNING #83 (DIXIE),NA,NA,CDF/USFS,700,600,TW,Lightning,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
USFS ASSIST #33 (ROCK FIRE)_1996,1996,Cascade,Shasta-Trinity NF (SHU),NA,USFS ASSIST #33 (ROCK FIRE),NA,NA,USFS,NA,2523,N/A,Lightning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MODOC NF 707 (AMBROSE)_1996,1996,Cascade,Modoc NF (LMU),NA,MODOC NF 707 (AMBROSE),NA,NA,USFS,NA,20412,N/A,Lightning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
STATE (IDA)_1996,1996,South,Riverside,NA,STATE (IDA),0001-03-19,0001-03-19,CDF,380,NA,B,Equipment Use,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
HONEY_1996,1996,South,San Diego,NA,HONEY,0001-10-19,0001-11-19,CDF,3500,NA,B,Undetermined,2,NA,NA,NA,NA,NA,NA,NA,0,0,0
OTAY #28_1996,1996,South,San Diego,NA,OTAY #28,NA,NA,CDF,1402,NA,GB,Campfire,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
BORREGO_1996,1996,South,San Diego,NA,BORREGO,NA,NA,CDF,1325,NA,B,Undetermined,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
