Fire_name_year,Year,Region,Ranger_unit,Ranger_unit2,FIRE_NAME,Start,Contained,DPA,CDF_acres_burned,Other_acres_burned,Veg_type,Cause,Destroyed_structures,Incident_number,National_forest,County,County2,County3,Fire_name2,DPA2,Damaged_structures,Firefighter_fatalities,Civilian_fatalities
NUNES_1984,1984,V,Santa Clara,NA,NUNES,0006-01-09,0006-01-19,CDF,330,NA,WB,Lightning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SITE 300 #3_1984,1984,V,Santa Clara,NA,SITE 300 #3,NA,NA,CDF,3713,1046,BG,Debris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PACHECO #2_1984,1984,V,Santa Clara,NA,PACHECO #2,0007-05-19,0007-06-19,CDF,1103,NA,WBG,Lightning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COW_1984,1984,VI,Owens Valley,NA,COW,NA,NA,BLM,NA,2980,B,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ORCO ASSIST_1984,1984,VI,Orange County,NA,ORCO ASSIST,NA,NA,CC,NA,1200,BG,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RATTLESNAKE_1984,1984,VI,Riverside,NA,RATTLESNAKE,NA,NA,CDF,700,NA,BG,Misc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AGUANGA_1984,1984,VI,Cleveland NF,NA,AGUANGA,NA,0006-03-19,USFS,1708,4293,B,Lightning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WHITE WATER_1984,1984,VI,Riverside,NA,WHITE WATER,0007-07-19,0007-10-16,CDF,300,NA,B,Lightning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COAL_1984,1984,VI,Orange County,NA,COAL,0007-08-19,0007-09-19,CC,42,508,B,Playing with fire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SOBOBA #7_1984,1984,VI,Riverside,NA,SOBOBA #7,NA,NA,CDF,972,NA,B,Misc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANEL_1984,1984,VI,Riverside,NA,CANEL,NA,NA,LOCAL,NA,665,B,Misc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CREST_1984,1984,VI,Angeles NF,NA,CREST,NA,NA,USFS,NA,600,BG,Electrical power,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GRIMES_1984,1984,VI,Ventura County,NA,GRIMES,0005-07-19,0005-08-19,CC,NA,10500,BG,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
STODDARD #2_1984,1984,VI,San Bernardino,NA,STODDARD #2,0005-12-19,NA,BLM,NA,2126,BG,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LYTLE_1984,1984,VI,San Bernardino,NA,LYTLE,NA,NA,USFS,NA,2100,B,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOS FLORES_1984,1984,VI,San Bernardino,NA,LOS FLORES,NA,NA,CDF,316,NA,B,Lightning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RATTLESNAKE_1984,1984,VI,San Bernardino,NA,RATTLESNAKE,NA,NA,USFS,75,265,BG,Lightning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MARIPOSA_1984,1984,VI,San Bernardino,NA,MARIPOSA,NA,NA,CDF,280,60,B,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SQUAW FLAT_1984,1984,VI,Ventura County,NA,SQUAW FLAT,NA,NA,CC,NA,6010,B,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
