Year,Region,Ranger_unit,Fire_name,Start,Contained,DPA,CDF_acres_burned,Other_acres_burned,Veg_type,Cause,Destroyed_structures
1989,I,Mendocino NF,Valley,8/2/1989,8/5/1989,USFS,,585,TB,Cmpr.,
1989,I,Lake-Napa,Cook,8/27/1989,8/30/1989,CDF,536,252,B,Arson,
1989,II,Butte,Canal,7/7/1989,7/8/1989,CDF,750,,B,Smkg.,
1989,II,Lassen-Modoc,Eagle,7/7/1989,7/10/1989,CDF,4600,,T,Misc.,
1989,II,Plumas NF,Rock,7/8/1989,7/12/1989,USFS,,3500,T,N/A,
1989,II,Lassen-Modoc,Feather,7/14/1989,7/15/1989,USFS,,420,T,Equip.,
1989,II,Tehama-Glenn,Beegum,8/15/1989,8/19/1989,CDF,700,,B,N/A,
1989,II,Plumas NF,Layman,9/6/1989,9/10/1989,USFS,,4945,B,N/A,
1989,III,Owens Valley,Olivas,3/31/1989,4/1/1989,CDF,813,,BG,"Rekindle, Debris",
1989,III,Riverside,Mindy,6/16/1989,6/16/1989,CDF,520,,B,Equip. Use,
1989,III,Riverside,California,6/21/1989,6/22/1989,CDF,505,,B,N/A,
1989,III,Riverside,State 1116,6/27/1989,6/28/1989,CDF,1000,6880,B,N/A,11
1989,III,Riverside,Park,7/5/1989,7/6/1989,CDF,1200,,B,Equip. RR,
1989,III,Riverside,Concordia,7/5/1989,7/5/1989,CDF,1302,,B,Equip. Use,
1989,III,Riverside,Prado,7/5/1989,7/5/1989,CDF,748,,B,Misc.,
1989,III,Riverside,Poppet,7/14/1989,7/15/1989,CDF,1328,,B,Equip.,
1989,III,San Bernardino,Joshua,6/20/1989,6/22/1989,CDF,690,,B,Arson,6
1989,III,San Berdo/Angeles NF,San Francisco,6/28/1989,,CC,1330,839,N/A,N/A,
1989,III,San Diego,Proctor #7,6/28/1989,6/28/1989,CDF,340,,BG,Misc.,
1989,III,San Diego,Dogpatch,7/5/1989,7/5/1989,CDF,1153,,B,Misc.,
1989,III,San Diego,Black Mountain,11/28/1989,11/29/1989,CITY,,3000,G,N/A,
1989,III,San Diego,Oriflame,6/19/1989,6/19/1989,CDF,340,,B,Debris,
1989,III,San Luis Obispo,SLU 1531,6/18/1989,6/18/1989,CDF,610,,WBG,Equip. Use,
1989,III,San Luis Obispo,Chispa,7/27/1989,7/30/1989,CDF,10500,,B,Equip. Use,
1989,III,Cleveland NF,Ortega,6/27/1989,6/28/1989,USFS,,4000,B,N/A,
1989,III,Cleveland NF,Thing,7/9/1989,7/12/1989,USFS,4692,,B,Smkg.,
1989,III,Cleveland NF,Vail,7/29/1989,8/7/1989,USFS,,15100,B,Misc.,
1989,III,Angeles NF,Pacy,7/30/1989,7/30/1989,USFS,,1000,B,N/A,
1989,IV,Fresno-Kings,Burroughs,7/23/1989,7/24/1989,CDF,1542,,B,Arson,
1989,IV,Fresno-Kings,Power House,7/28/1989,8/1/1989,CDF,11600,,TB,Arson,
1989,IV,Tuolumne-Calaveras,Tuttle Town,9/6/1989,9/7/1989,CDF,740,,B,N/A,
1989,IV,San Benito-Monterey,Molera #2,7/8/1989,7/14/1989,CDF,3087,,B,Arson,
1989,IV,Sierra NF,Balch,7/29/1989,8/7/1989,USFS,,7550,B,N/A,
