Year,Incident_number,County,Fire_name,Start,Contained,DPA,CDF_acres_burned,Other_acres_burned,Veg_type,Cause,Destroyed_structures,Damaged_structures,Firefighter_fatalities,Civilian_fatalities
2016,BEU-2369,Monterey,Metz,5/22/2016,5/25/2016,Cal Fire,3876,NA,BG,Debris Burning,0,0,0,0
2016,MVU-14498,San Diego,Border 3,6/19/2016,7/1/2016,Cal Fire,7609,NA,BG,Undetermined,16,3,,2
2016,MMU-12363,Merced,Dinosaur,6/25/2016,6/26/2016,Cal Fire,1246,NA,G,Vehicle,0,0,0,0
2016,AEU-17670,Sacramento,Rancho,6/28/2016,6/30/2016,Cal Fire,372,NA,G,Vehicle,0,0,0,0
2016,NEU-15200,Placer,Trailhead,6/28/2016,8/14/2016,Cal Fire,5645,NA,BT,Undetermined,0,0,0,0
2016,TGU-5731,Tehama,Colyear,6/30/2016,7/6/2016,Cal Fire,464,NA,BG,Electrical Power,0,0,0,0
2016,FKU-9100,Fresno,Curry,7/1/2016,7/4/2016,Cal Fire,2944,NA,BG,Undetermined,0,0,0,0
2016,KRN-24109,Kern,Deer,7/1/2016,7/10/2016,CC,NA,1785,BGT,Undetermined,0,0,0,0
2016,TCU-6914,Calaveras,Appaloosa,7/2/2016,7/15/2016,Cal Fire,310,NA,BGT,Electrical Power,1,0,0,0
2016,SHU-6739,Shasta,Fiddler,7/8/2016,7/9/2016,Cal Fire,303,NA,BGT,Arson,1,1,0,0
2016,KRN-25390,Kern,Fort,7/8/2016,7/9/2016,CC,NA,554,BG,Undetermined,0,0,0,0
2016,LAC-198015,Los Angeles,Sage,7/9/2016,7/16/2016,CC,NA,1100,BGT,Campfire,0,2,0,0
2016,TCU-7341,Calaveras,Pacheco,7/12/2016,7/18/2016,Cal Fire,341,NA,BGT,Equipment,2,0,0,0
2016,BEU-3422,Monterey,Soberanes,7/22/2016,10/13/2016,Cal Fire,132127,NA,BGT,Campfire,68,5,1,0
2016,FKU-10852,Fresno,Goose,7/30/2016,8/9/2016,Cal Fire,2241,NA,BG,Arson,9,1,0,0
2016,BTU-11608,Butte,99,8/2/2016,8/8/2016,Cal Fire,520,NA,G,Playing with Fire,0,0,0,0
2016,LNU-7135,Yolo,Cold,8/2/2016,8/12/2016,Cal Fire,5731,NA,BG,Undetermined,2,0,0,0
2016,FKU-11358,Fresno,Mineral,8/8/2016,8/19/2016,Cal Fire,7050,NA,BG,Arson,2,0,0,0
2016,SLU-8948,San Luis Obispo,Chimney,8/13/2016,9/7/2016,Cal Fire,46235,NA,BT,Vehicle,70,8,0,0
2016,BEU-2369,Monterey,Metz,5/22/2016,5/25/2016,Cal Fire,3876,NA,BG,Debris Burning,0,0,0,0
2016,LNU-7582,Lake,Clayton,8/13/2016,9/3/2016,Cal Fire,3929,NA,BG,Arson,300,28,0,0
2016,NEU-20037,Yuba,Beale,8/18/2016,8/19/2016,Cal Fire,389,NA,G,Miscellaneous,0,0,0,0
2016,HUU-6956,Humboldt,Tully,8/22/2016,9/9/2016,Cal Fire,599,NA,BT,Arson,3,0,0,0
