Year,Region,Ranger_unit,Fire_name,Start,Contained,DPA,CDF_acres_burned,Other_acres_burned,Veg_type,Cause,Destroyed_structures,Damaged_structures,Firefighter_fatalities,Civilian_fatalities
1997,Cascade,Lassen-Modoc,Lightning #70,8/4/1997,8/6/1997,CDF,722,,T,Lightning,0,0,1,0
1997,Cascade,Lassen NP,Lassen NP 2225 (Huffer),8/6/1997,8/12/1997,NPS,,2290,NA,NA,NA,NA,0,0
1997,Cascade,Nevada-Yuba-Placer,William,9/27/1997,9/30/1997,CDF,5810,,TGWAPB,Vehicle,85,7,0,0
1997,Cascade,Tehama-Glenn,Ponderosa,9/27/1997,9/28/1997,CDF,1100,,B,Arson,0,0,0,0
1997,South,San Bernardino,Shooting,5/1/1997,5/2/1997,USFS,,4500,B,Shooting,0,0,0,0
1997,South,Riverside,State Fire (Beach),5/9/1997,5/9/1997,CDF,2400,,GB,Smoking,0,0,0,0
1997,South,Riverside,State (Brown),5/10/1997,5/10/1997,CDF,320,,B,Arson,3,0,0,1
1997,South,Riverside,Calimesa,6/10/1997,6/10/1997,CDF,377,,GB,Lawn Mower,9,3,0,0
1997,South,San Bernardino,Hemlock,7/5/1997,7/5/1997,USFS,,3750,NA,NA,NA,0,0,0
1997,South,Sequoia NF,Choke,8/5/1997,8/13/1997,USFS,,4100,NA,Lightning,NA,0,0,0
1997,South,Angeles NF,Narrows,8/13/1997,8/23/1997,USFS,,17263,NA,NA,NA,0,0,0
1997,South,Riverside,"State, Pauba",8/31/1997,9/2/1997,CDF,7800,,B,Undetermined,10,0,0,0
1997,South,Riverside,Poppet,9/23/1997,9/24/1997,CDF,1500,,B,Arson,5,0,0,0
1997,South,Riverside,State (Jackrabbit),9/24/1997,9/25/1997,CDF,2500,,B,Smoking,0,0,0,0
1997,South,San Bernardino,Wildwood,9/22/1997,9/22/1997,CDF,940,,B,Elec. Power,6,0,0,0
1997,South,San Diego,Wohlford,8/1/1997,8/2/1997,CDF,457,,B,Arson,8,15,0,0
1997,South,San Diego,Laurel,8/1/1997,8/3/1997,CDF,723,,B,Elec. Power,0,0,0,0
1997,South,San Diego,Margarita,9/4/1997,9/7/1997,CDF,1141,,GAPB,Arson,1,1,0,0
1997,South,San Diego,Del Dios,9/24/1997,9/25/1997,CDF,1200,,B,Arson,2,0,0,0
1997,South,Los Padres NP/SLU,Logan,8/5/1997,8/11/1997,USFS,,50000,NA,Under Inv.,NA,NA,0,0
1997,South,Los Padres NF,Hopper,8/5/1997,8/13/1997,USFS,,24800,NA,NA,NA,NA,0,0
1997,South,San Luis Obispo,Assist 84 (Military AFV),9/27/1997,9/27/1997,MIL,,1620,NA,NA,0,0,0,0
1997,South,San Luis Obispo,Montana,11/1/1997,11/2/1997,CDF,375,,B,Campfire,0,0,0,0
1997,Sierra,Fresno-Kings,Grove,5/19/1997,5/19/1997,CDF,1235,160,G,Elec. Power,3,26,0,0
1997,Sierra,San Benito-Monterey,Metz #4,5/18/1997,5/18/1997,CDF,1900,,G,Undet.,0,0,0,0
1997,Sierra,San Benito-Monterey,Copperhead,6/11/1997,6/12/1997,CDF,1400,,GWB,Escape,0,0,0,0
1997,Sierra,Madera-Mariposa,Millstream,7/5/1997,7/5/1997,CDF,325,,NA,Smoking,1,0,0,0
1997,Sierra,Madera-Mariposa,Correia,11/7/1997,11/7/1997,LOCAL,,2000,NA,Equipment Use,0,0,0,0
1997,Sierra,Sequoia NF,BLM #1 (Jacks),8/9/1997,8/14/1997,USFS,,5693,NA,Lightning,NA,NA,0,0
1997,Sierra,Kern County,Kern #17 (Chocktaw),8/19/1997,8/19/1997,CC,,4000,NA,Undet.,NA,NA,0,0
1997,Sierra,Tuolumne-Calaveras,Priest #2,9/8/1997,9/9/1997,CDF,500,,NA,Arson,0,0,0,0
1997,Sierra,Tulare/Sequoia NF,Coffee,9/24/1997,9/24/1997,CDF,2420,,B,Vehicle,0,0,0,0
1997,Sierra,Tulare,Fernandez,10/24/1997,10/25/1997,LOCAL,,43700,AP,Misc.,0,0,0,0
