Year,FIRE_NAME,EXPECT_MATCH_2,DPA,Ranger_unit,County,Start,Contained,CDF_acres_burned,Other_acres_burned,Region,Ranger_unit2,County2,County3,Veg_type,Cause,Destroyed_structures,Incident_number,National_forest,Fire_name2,DPA2,Damaged_structures,Firefighter_fatalities,Civilian_fatalities
1979,LITTLE ANTELOPE,,CDF,Tehama-Glenn,NA,6/7/1979,6/7/1979,2550,0,II,NA,NA,NA,BG,Misc,NA,NA,NA,NA,NA,NA,NA,NA
1979,LIVE OAK,,CDF,San Bernardino,NA,7/12/1979,7/12/0197,350,0,VI,NA,NA,NA,B,Arson,NA,NA,NA,NA,NA,NA,NA,NA
1979,LLANDA,,CDF,San Benito-Monterey,NA,5/30/1979,5/31/1979,587,0,V,NA,NA,NA,WBG,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA
1979,LTNG. STRIKE #2,,CDF,Tuolumne-Calaveras,NA,9/24/1979,9/27/1979,425,0,IV,NA,NA,NA,B,Lightning,NA,NA,NA,NA,NA,NA,NA,NA
1979,MAGGINI,,CDF,San Benito-Monterey,NA,7/3/1979,7/3/1979,580,0,V,NA,NA,NA,WBG,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA
1979,MORAZOLLI,,CDF,San Benito-Monterey,NA,7/18/1979,7/18/1979,469,0,V,NA,NA,NA,B,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA
1979,MORONGO #14,,CDF,Riverside,NA,5/31/1979,5/31/1979,1279,0,VI,NA,NA,NA,B,Arson,NA,NA,NA,NA,NA,NA,NA,NA
1979,MORONGO #21,,CDF,Riverside,NA,6/3/1979,6/9/1979,3205,245,VI,NA,NA,NA,B,Lightning,NA,NA,NA,NA,NA,NA,NA,NA
1979,MORONGO #54,,CDF,Riverside,NA,8/2/1979,8/2/1979,550,0,VI,NA,NA,NA,B,Smoking,NA,NA,NA,NA,NA,NA,NA,NA
1979,NORTH,,CDF,Riverside,NA,6/26/1979,6/28/1979,3200,0,VI,NA,NA,NA,B,Arson,7,NA,NA,NA,NA,NA,NA,NA
1979,OAK SPRINGS,1,CDF,San Bernardino,NA,7/9/1979,7/10/1979,6066,0,VI,NA,NA,NA,WBG,Misc,NA,NA,NA,NA,NA,NA,NA,NA
1979,OIL WELL CANYON,,CDF,San Benito-Monterey,NA,10/29/1979,10/29/1979,584,0,V,NA,NA,NA,BG,Misc,NA,NA,NA,NA,NA,NA,NA,NA
1979,OLIVE,,CDF,Riverside,NA,9/3/1979,9/3/1979,603,0,VI,NA,NA,NA,B,Play W/Fire,NA,NA,NA,NA,NA,NA,NA,NA
1979,ORTEGA #2,,CDF,Orange,NA,9/15/1979,9/16/1979,750,0,VI,NA,NA,NA,B,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA
1979,OTAY #20,1,CDF,San Diego,NA,9/19/1979,9/22/1979,5550,0,VI,NA,NA,NA,B,Arson,NA,NA,NA,NA,NA,NA,NA,NA
1979,P.G. & E. #10,1,CDF,San Benito-Monterey,NA,7/16/1979,7/17/1979,2184,0,V,NA,NA,NA,WBAP,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA
1979,PARKER #2,1,CDF,Tuolumne-Calaveras,NA,9/14/1979,9/16/1979,2075,0,IV,NA,NA,NA,WB,Misc,NA,NA,NA,NA,NA,NA,NA,NA
1979,PARKHILL,1,CDF,San Luis Obispo,NA,8/27/1979,8/29/1979,1985,240,V,NA,NA,NA,BG,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA
