Year,Incident_number,County,Fire_name,Start,Contained,DPA,CDF_acres_burned,Other_acres_burned,Veg_type,Cause,Destroyed_structures,Damaged_structures,Firefighter_fatalities,Civilian_fatalities
2017,FKU-5281,Fresno,Jayne,4/20/2017,4/21/2017,Cal Fire,4532,NA,G,Equipment Use,0,0,0,0
2017,FKU-5669,Fresno,El Dorado,4/28/2017,4/28/2017,Cal Fire,750,NA,G,Undetermined,0,0,0,0
2017,RRU-53193,Riverside,Opera,4/30/2017,5/2/2017,Cal Fire,1350,NA,BG,Vehicle,0,0,0,0
2017,MMU-9464,Merced,Wright,5/12/2017,5/13/2017,Cal Fire,1733,NA,G,Undetermined,0,0,0,0
2017,FKU-6727,Fresno,Elm 2,5/18/2017,5/21/2017,Cal Fire,10000,NA,BG,Electrical Power,0,0,0,0
2017,KRN-18713,Kern,Ming,5/20/2017,5/22/2017,CC,NA,506,G,Undetermined,0,0,0,0
2017,MVU-12098,San Diego,Gate,5/20/2017,5/22/2017,Cal Fire,2056,NA,BG,Undetermined,0,0,0,0
2017,TUU-286,Tulare,Dinely,6/7/2017,6/10/2017,Cal Fire,339,NA,BG,Equipment Use,0,0,0,0
2017,MMU-11650,Madera,Oakwood,6/10/2017,6/13/2017,Cal Fire,1417,NA,BG,Shooting,0,0,0,0
2017,FKU-8044,Fresno,Monterey,6/11/2017,6/11/2017,Cal Fire,450,NA,G,Shooting,0,0,0,0
2017,LAC-178275,Los Angeles,Lake,6/17/2017,6/23/2017,CC,NA,850,BG,Undetermined,0,0,0,0
2017,FKU-8759,Fresno,Creek,6/23/2017,6/27/2017,Cal Fire,357,NA,BG,Debris Burning,0,0,0,0
2017,LAC-187296,Los Angeles,Placerita,6/25/2017,6/28/2017,CC,NA,760,BG,Debris Burning,0,0,0,0
2017,RRU-78840,Riverside,Manzanita,6/26/2017,6/30/2017,Cal Fire,6309,NA,BG,Vehicle,0,0,0,0
2017,SLU-7101,San Luis Obispo,Hill,6/26/2017,6/28/2017,Cal Fire,1626,NA,BG,Vehicle,0,0,0,0
2017,MMU-13022,Mariposa,Ben,6/28/2017,7/6/2017,Cal Fire,558,NA,BG,Vehicle,0,0,0,0
2017,KRN-24894,Kern,Tarina,6/30/2017,7/1/2017,CC,NA,1200,G,Undetermined,0,0,0,0
2017,FKU-9289,Fresno,Derrick,7/2/2017,7/5/2017,Cal Fire,1562,NA,BG,Undetermined,0,0,0,0
2017,SKU-4779,Siskiyou,Fay,7/5/2017,7/31/2017,Cal Fire,496,NA,BGT,Miscellaneous,0,0,0,0
2017,LNU-6262,Yolo,Winter,7/6/2017,7/14/2017,Cal Fire,1700,NA,BT,Vehicle,0,0,0,0
2017,SLU-7624,San Luis Obispo,Alamo,7/6/2017,7/18/2017,Cal Fire,28687,NA,BG,Undetermined,0,0,0,0
2017,BTU-10975,Butte,Wall,7/7/2017,8/3/2017,Cal Fire,6033,NA,BG,Electrical Power,0,0,0,0
2017,BEU-3551,Monterey,Parkfield,7/8/2017,7/8/2017,Cal Fire,1816,NA,BG,Electrical Power,0,0,0,0
2017,FKU-9755,Kings,Garza,7/9/2017,7/25/2017,Cal Fire,48660,NA,BG,Equipment Use,0,0,0,0
2017,SLU-7792,San Luis Obispo,Stone,7/9/2017,7/11/2017,Cal Fire,340,NA,BG,Equipment Use,0,0,0,0
2017,MVU-16909,San Diego,Jennings 2,7/11/2017,7/14/2017,Cal Fire,400,NA,BG,Vehicle,0,0,0,0
2017,BDU-9854,San Bernardino,Bridge 2,7/14/2017,7/18/2017,Cal Fire,460,NA,BG,Undetermined,0,0,0,0
2017,MEU-8307,Mendocino,Grade,7/16/2017,7/18/2017,Cal Fire,900,NA,BG,Vehicle,1,0,0,0
2017,MMU-14474,Mariposa,Detwiler,7/16/2017,8/31/2017,Cal Fire,81826,NA,BG,Shooting,134,21,0,0
2017,FKU-10248,Fresno,Park,7/17/2017,7/30/2017,Cal Fire,1649,NA,BG,Equipment Use,0,0,0,0
2017,TUU-420,Tulare,Elephant 2,7/20/2017,7/21/2017,Cal Fire,416,NA,B,Arson,0,0,0,0
2017,AEU-21652,Sacramento,Latrobe,7/26/2017,7/28/2017,Cal Fire,1268,NA,B,Debris Burning,0,0,0,0
2017,TCU-9024,Tuolumne,Jacksonville,7/29/2017,8/4/2017,Cal Fire,675,NA,BG,Undetermined,1,0,0,0
2017,TUU-441,Tulare,Roadrunner,7/30/2017,7/31/2017,Cal Fire,2289,NA,B,Arson,0,0,0,0
2017,BDU-10918,San Bernardino,Bryant,8/3/2017,8/14/2017,Cal Fire,325,NA,BG,Undetermined,1,0,0,0
2017,RRU-99747,Riverside,Blaine,8/13/2017,8/16/2017,Cal Fire,1500,NA,BG,Undetermined,0,46,0,0
2017,RRU-100591,Riverside,Mias,8/14/2017,8/18/2017,Cal Fire,600,NA,BG,Electrical Power,0,0,0,0
2017,BTU-13737,Butte,Ponderosa,8/29/2017,10/28/2017,Cal Fire,4016,NA,BT,Campfire,55,0,0,0
2017,NEU-22877,Nevada,Pleasant,8/30/2017,9/6/2017,Cal Fire,392,NA,BT,Undetermined,1,1,0,0
