FID,OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,Shape_Leng,Shape_Area,Year,Region,Ranger_uni,Ranger_u_1,FIRE_NAM_1,Start,Contained,DPA,CDF_acres_,Other_acre,Veg_type,Cause_1,Destroyed_,Incident_n,National_f,County,County2,County3,Fire_name2,DPA2,Damaged_st,Firefighte,Civilian_f
0,2,2007,CA,CCO,LAC,MAGIC,233077,10/22/2007 0:00,10/25/2007 0:00,14, ,0,2824.879883,8,1,233077,20407.96566,11431872.51,1985,I,Lake-Napa,NA,MAGIC,0007-10-19,0007-11-19,CDF,357,NA,WBG,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,2007,CA,USF,ANF,RANCH,166,10/20/2007 0:00,11/15/2007 0:00,2, ,54716,58410.30078,7,1,166,169150.7157,236378245.2,1996,South,Los Angeles County,NA,RANCH,NA,NA,CC,NA,540,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
2,5,2007,CA,CCO,LAC,CORRAL,259483,11/24/2007 0:00,11/27/2007 0:00,14, ,0,4708,8,1,259483,22907.18217,19052588.51,2008,NA,Lassen-Modoc,NA,CORRAL,NA,0007-07-20,CDF,12500,NA,T,Lightning,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
3,7,2007,CA,CCO,LAC,WEST,148311,7/7/2007 0:00,7/8/2007 0:00,14, ,0,245.2339935,8,1,148311,5881.590454,992426.6389,2010,NA,NA,NA,WEST,NA,0008-06-20,CALFIRE,1658,NA,BG,Equipment use,50,KRN-0021461,NA,Kern,NA,NA,NA,CC,13,0,0
4,9,2007,CA,CCO,LAC,SKYLINE,183643,8/21/2007 0:00,8/23/2007 0:00,14, ,0,95.418602,8,1,183643,3590.087163,386145.196,1996,Sierra,Kings County Assist,NA,SKYLINE,NA,NA,CC,NA,16740,N/A,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
5,10,2007,CA,CCO,LAC,SESNON,231876,10/21/2007 0:00,10/21/2007 0:00,14, ,0,30.3013992,8,1,231876,1675.72825,122625.4901,2008,NA,NA,NA,SESNON,NA,NA,CC,NA,14703,BG,Undetermined,78,LAC-8231953,NA,Los Angeles,NA,NA,NA,NA,15,0,0
6,13,2007,CA,CDF,MVU,ANGEL 3,9233,9/15/2007 0:00,9/25/2007 0:00,4, ,837,832.1270142,7,1,0,17923.84618,3367496.613,2007,San Diego,NA,NA,ANGEL 3,NA,NA,NA,837,0,B,Campfire,24,NA,NA,NA,NA,NA,NA,NA,NA,0,0
7,14,2007,CA,CDF,MVU,BANNER,6310,7/1/2007 0:00,7/3/2007 0:00,14, ,0,95.1512985,7,1,0,3492.891093,385063.4789,1999,South,San Bernardino,NA,BANNER,0006-09-19,0006-11-19,CDF,602,NA,B,Equipment use,1,NA,NA,NA,NA,NA,NA,NA,0,0,0
8,19,2007,CA,CCO,KRN,MOUNTAIN,717959,7/19/2007 0:00,7/19/2007 0:00,14, ,840.56,840.5579834,1,1,717959,10229.11523,3401618.781,2003,South,Riverside,NA,MOUNTAIN,NA,NA,CDF,10000,NA,GB,Equipment use,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,20,2007,CA,CCO,KRN,WHITE,18055,6/24/2007 0:00,6/29/2007 0:00,2, ,12432.15,12432.2002,7,1,718055,42225.31167,50311168.47,2013,NA,NA,NA,WHITE,NA,0006-05-20,USFS,NA,1984,BG,Human,0,LPF-1473,NA,Santa Barbara,NA,NA,NA,NA,1,0,0
10,24,2007,CA,CCO,LAC,CANYON,148415,7/7/2007 0:00,,14, ,743,743.4799805,0,1,148415,12308.86695,3008756.592,2003,South,Riverside,NA,CANYON,NA,NA,OTHER,NA,4336,B,Arson,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,27,2007,CA,CDF,FKU,GATOS,9688,9/2/2007 0:00,9/5/2007 0:00,1, ,100,83.0522003,2,1,9688,2298.988366,336100.3266,2004,Sierra,Fresno-Kings,NA,GATOS,0007-11-20,NA,CDF,1307,NA,GB,Equipment use,8,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
12,35,2007,CA,CDF,LMU,WILLOW,3020,7/6/2007 0:00,7/17/2007 0:00,1,Timber,75,73.3600006,1,2,0,3120.049848,296877.4248,1999,Coast,Lassen-Modoc,NA,WILLOW,NA,NA,CDF,867,6133,B,Undetermined,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
13,37,2007,CA,CDF,LMU,PINE,2692,6/23/2007 0:00,7/29/2007 0:00,5,Grass and Brush Mix,314,481.7799988,1,1,0,5880.539937,1949694.62,1999,South,Riverside,NA,PINE,NA,0009-01-19,CDF,1523,NA,GB,Undetermined,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
14,40,2007,CA,CDF,LNU,PEAK,4843,7/11/2007 0:00,7/11/2007 0:00,2, ,60,46.3219986,5,1,0,2689.41363,187458.4525,1986,III,San Diego,NA,PEAK,NA,NA,CDF,1102,NA,TBG,Campfire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,41,2007,CA,CDF,LNU,MOUNTAIN,4247,6/24/2007 0:00,6/27/2007 0:00,14, ,45,49.2781982,7,1,0,1815.510019,199421.9428,2003,South,Riverside,NA,MOUNTAIN,NA,NA,CDF,10000,NA,GB,Equipment use,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,44,2007,CA,CDF,LNU,ROBINSON,5400,7/28/2007 0:00,7/30/2007 0:00,7,Started on Robinson Rancheria,128,121.5479965,1,1,0,4377.868463,491888.1963,2010,NA,NA,NA,ROBINSON,0006-11-20,0006-12-20,CALFIRE,1600,NA,G,Undetermined,0,MMU-008291,NA,Merced,NA,NA,NA,NA,0,0,0
17,45,2007,CA,CDF,LNU,WEST,5195,7/22/2007 0:00,7/22/2007 0:00,10, ,40,36.9945984,6,1,0,2128.279758,149711.867,2010,NA,NA,NA,WEST,NA,0008-06-20,CALFIRE,1658,NA,BG,Equipment use,50,KRN-0021461,NA,Kern,NA,NA,NA,CC,13,0,0
18,54,2007,CA,CCO,ORC,PIONEER,0,5/26/2007 0:00,,8, ,0,0.338818,0,1,34237,192.416167,1371.148029,1985,VI,Ventura County,NA,PIONEER,NA,NA,CC,NA,1200,B,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,62,2007,CA,CCO,SBC,MARIPOSA,7295,9/3/2007 0:00,9/4/2007 0:00,11, ,187,188.2550049,7,1,7295,4578.864001,761839.418,1984,VI,San Bernardino,NA,MARIPOSA,NA,NA,CDF,280,60,B,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,70,2007,CA,LRA,RRU,RIVER,37425,4/28/2007 0:00,4/28/2007 0:00,14, ,488,158.0420074,7,1,0,5723.411747,639571.6775,1986,IV,San Benito-Monterey,NA,RIVER,0011-06-19,0011-08-19,CDF,5375,NA,WBG,Debris,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,72,2007,CA,CCO,ORC,LAGUNA CANYON,0,3/8/2007 0:00,3/8/2007 0:00,3, ,0,2.8425701,8,1,0,585.3848359,11503.48676,1993,III,Orange County,NA,LAGUNA CANYON,NA,NA,CC,NA,16682,NA,Arson,366,NA,NA,NA,NA,NA,NA,NA,17,0,0
22,75,2007,CA,CCO,ORC,ROSE,0,4/12/2007 0:00,4/12/2007 0:00,11, ,2.5,8.3359604,8,1,24073,1221.367773,33734.4151,2017,NA,NA,NA,ROSE,0008-10-20,0008-10-20,CC,NA,338,G,Misc,0,KRN-31474,NA,Kern,NA,NA,NA,NA,0,0,0
23,81,2007,CA,USF,KNF,CHINA,43,7/10/2007 0:00,8/18/2007 0:00,1,Part of the China-Back Complex,2906,2939.360107,7,1,43,19665.1734,11895181.09,1987,NA,NA,NA,CHINA,NA,0009-09-19,USFS,NA,3040,NA,Lightning,0,NA,Klamath,Siskiyou,NA,NA,NA,NA,NA,0,NA
24,82,2007,CA,USF,KNF,SKY,33,7/10/2007 0:00,7/15/2007 0:00,1, ,22,21.5366001,6,1,33,1168.999098,87155.61171,2015,NA,NA,NA,SKY,NA,NA,USFS,NA,500,TB,Vehicle,0,SNF-1058,NA,Madera,NA,NA,NA,NA,0,0,0
25,86,2007,CA,USF,BDF,DEVORE,95,8/4/2007 0:00,8/4/2007 0:00,2, ,10,14.0003004,6,1,95,965.9515089,56657.36171,2012,NA,NA,NA,DEVORE,0011-05-20,0011-06-20,USFS,NA,335,GB,Unidentified,1,BDF-16430,NA,San Bernardino,NA,NA,NA,NA,0,0,0
26,87,2007,CA,USF,BDF,SAND,93,8/2/2007 0:00,8/5/2007 0:00,5, ,100,108.1790009,6,1,93,3267.953615,437783.9372,2012,NA,NA,NA,SAND,NA,NA,CDF,1428,NA,GB,Equipment use,1,KRN-22306,NA,Kern,NA,NA,NA,NA,0,0,0
27,88,2007,CA,USF,BDF,BLUECUT,77,7/13/2007 0:00,7/13/2007 0:00,2, ,25,24.7784004,8,1,77,1447.961647,100274.6971,2002,South,San Bernardino,NA,BLUECUT,NA,NA,USFS,NA,6864,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,90,2007,CA,USF,INF,SAGE,15,7/6/2007 0:00,7/11/2007 0:00,1,Part of the Inyo Complex,6460,6462.620117,2,1,15,38003.22653,26153295.79,2016,NA,NA,NA,SAGE,0007-09-20,NA,CC,NA,1100,BGT,Campfire,0,LAC-198015,NA,Los Angeles,NA,NA,NA,NA,2,0,0
29,91,2007,CA,CDF,ORC,SANTIAGO,85,10/21/2007 0:00,11/8/2007 0:00,9, ,28476,28430,3,1,85,86612.28719,115052046.2,1998,Coast,Riverside (Orange County),NA,SANTIAGO,NA,0009-04-19,CC,NA,8900,BG,Lightning,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
30,93,2007,CA,USF,INF,SEVEN,23,7/6/2007 0:00,7/13/2007 0:00,1,Part of the Inyo Complex,1633,1643.77002,2,1,23,11435.19185,6652096.302,2012,NA,NA,NA,SEVEN,0007-10-20,0007-11-20,CDF,840,NA,B,Undetermined,1,TCU-6227,NA,Tuolumne,NA,NA,NA,NA,0,0,0
31,94,2007,CA,USF,BDF,SLIDE,167,10/22/2007 0:00,11/14/2007 0:00,9, ,12759,12769.2002,7,1,167,74185.91595,51675311.51,1987,NA,NA,NA,SLIDE,NA,NA,USFS,NA,300,NA,Lightning,0,NA,Klamath,Siskiyou,NA,NA,NA,NA,NA,0,NA
32,95,2007,CA,CDF,MVU,RICE,10502,10/7/2007 0:00,11/5/2007 0:00,9, ,0,9471.849609,3,1,0,51738.22478,38331231.94,2007,San Diego,NA,NA,RICE,NA,0011-05-20,NA,9472,0,G,Misc,493,NA,NA,NA,NA,NA,NA,NA,NA,0,0
33,97,2007,CA,BLM,NOD,PONDEROSA,6532,9/19/2007 0:00,9/12/2007 0:00,11,10 of the 15 acres was on BLM land,15,14.6403999,1,1,6532,1335.683565,59247.61696,1997,Cascade,Tehama-Glenn,NA,PONDEROSA,NA,NA,CDF,1100,NA,B,Arson,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
34,99,2007,CA,BLM,BBD,WALKER,622,,4/6/2007 0:00,1, ,793.3,794.1240234,1,1,622,11111.08914,3213705.87,2008,NA,Sonoma-Lake-Napa,NA,WALKER,NA,NA,CDF,15000,NA,T,Human,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
35,100,2007,CA,BLM,NOD,LAKE,6277,9/3/2007 0:00,,9, ,0,12.5573997,0,1,6277,1027.687959,50818.15594,1988,I,Humboldt-Del Norte,NA,LAKE,NA,NA,CDF,550,NA,TG,Smoking,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,102,2007,CA,BLM,BBD,BODFISH,1379,6/10/2007 0:00,6/11/2007 0:00,14, ,213,213.1159973,2,1,1379,4154.091671,862450.6722,1984,IV,Kern County,NA,BODFISH,0007-07-19,NA,CC,NA,23200,B,Debris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,106,2007,CA,CDF,BTU,HONEY,5890,5/22/2007 0:00,5/28/2007 0:00,11, ,726,726.4039917,2,1,0,12290.99732,2939650.872,1996,South,San Diego,NA,HONEY,0001-10-19,0001-11-19,CDF,3500,NA,B,Undetermined,2,NA,NA,NA,NA,NA,NA,NA,0,0,0
38,109,2007,CA,CDF,FKU,PANOCHE,2844,3/22/2007 0:00,3/23/2007 0:00,11, ,300,73.7870026,1,1,2844,2596.855936,298605.6014,1985,IV,Fresno-Kings,NA,PANOCHE,0006-09-19,0006-10-19,CDF,5580,NA,G,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,110,2007,CA,CDF,FKU,TAR,8730,8/10/2007 0:00,8/19/2007 0:00,14, ,5670,5671.029785,2,1,8730,24980.06043,22949836.58,2007,Fresno-Kings,NA,NA,TAR,0008-10-20,NA,NA,5644,0,W,Arson,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
40,112,2007,CA,USF,SNF,MONO,4,4/5/2007 0:00,5/25/2007 0:00,1, ,98,98.0835037,2,1,4,5165.600886,396929.6959,2010,NA,NA,NA,MONO,NA,NA,USFS,NA,1205,B,Lightning,0,INF-934,NA,Mono,NA,NA,NA,NA,0,0,0
41,115,2007,CA,CDF,LAC,NORTH,129,9/2/2007 0:00,9/2/2007 0:00,1, ,2200,2122.340088,8,1,129,15780.58796,8588815.778,2012,NA,NA,NA,NORTH,NA,NA,CDF,383,NA,B,Undetermined,0,MEU-5115,NA,Mendocino,NA,NA,NA,NA,0,0,0
42,118,2007,CA,USF,CNF,PINE,73,9/12/2007 0:00,10/2/2007 0:00,4, ,2170,2111.77002,7,1,73,17108.23342,8546022.398,1999,South,Riverside,NA,PINE,NA,0009-01-19,CDF,1523,NA,GB,Undetermined,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
43,119,2007,CA,USF,SRF,PIONEER,17,7/11/2007 0:00,7/13/2007 0:00,1, ,25,25.0634995,7,1,17,1503.191305,101428.3996,1985,VI,Ventura County,NA,PIONEER,NA,NA,CC,NA,1200,B,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,120,2007,CA,CDF,MVU,POOMACHA,10643,10/23/2007 0:00,12/1/2007 0:00,9, ,49390,49411,7,1,87,119199.7247,199959093.2,2007,San Diego,NA,NA,POOMACHA,NA,0011-11-20,NA,49410,0,B,Structure,229,NA,NA,NA,NA,NA,NA,NA,NA,0,0
45,121,2007,CA,USF,MDF,RATTLESNAKE,38,7/10/2007 0:00,7/15/2007 0:00,1, ,14,14.4308996,1,1,38,1190.387236,58399.91799,1984,VI,Riverside,NA,RATTLESNAKE,NA,NA,CDF,700,NA,BG,Misc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,122,2007,CA,USF,SQF,RICHBAR,66,10/23/2007 0:00,10/23/2007 0:00,9, ,13,13.4326,6,1,66,926.1922271,54359.78211,2008,NA,NA,NA,RICHBAR,0006-07-20,0006-08-20,USFS,NA,312,BG,Arson,0,SQF-1023,NA,Kern,NA,NA,NA,NA,0,0,0
47,123,2007,CA,USF,SQF,RIVER,36,8/1/2007 0:00,8/1/2007 0:00,2, ,150,149.8869934,6,1,36,3220.092817,606570.0776,1986,IV,San Benito-Monterey,NA,RIVER,0011-06-19,0011-08-19,CDF,5375,NA,WBG,Debris,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,125,2007,CA,CDF,MEU,PASS,5025,7/10/2007 0:00,7/11/2007 0:00,14, ,444,444.1570129,2,1,5025,5771.593561,1797440.147,2003,South,Riverside,NA,PASS,NA,NA,CDF,2189,208,B,Arson,3,NA,NA,NA,NA,NA,NA,NA,4,NA,NA
49,144,2007,CA,USF,LNF,COLBY,37,8/10/2007 0:00,8/19/2007 0:00,7, ,168,253.6499939,1,1,37,5928.588434,1026486.286,2014,NA,NA,NA,COLBY,NA,NA,USFS,NA,1952,BG,Undetermined,15,ANF-231,NA,Los Angeles,NA,NA,NA,NA,8,0,0
50,145,2007,CA,USF,MDF,COYOTE,61,8/30/2007 0:00,8/31/2007 0:00,1, ,20,18.4253998,1,1,61,1319.60344,74564.99463,2003,South,San Diego,NA,COYOTE,NA,NA,CDF,18705,NA,GTWB,Lightning,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,146,2007,CA,USF,SNF,DEVIL,37,8/9/2007 0:00,8/10/2007 0:00,4, ,12,12.1688995,7,1,37,1669.060351,49245.959,1990,II,Shasta-Trinity,NA,DEVIL,0008-08-19,NA,CDF,600,NA,TW,Lightning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,148,2007,CA,USF,KNF,ELK,45,7/10/2007 0:00,8/4/2007 0:00,1,Part of the Elk Complex,1144,1144.689941,7,1,45,12525.94246,4632414.095,2008,NA,Tulare,NA,ELK,NA,NA,CDF,600,NA,G,Arson,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
53,151,2007,CA,USF,TNF,GRANITE,64,7/10/2007 0:00,7/21/2007 0:00,1, ,10,10.1073999,6,1,64,1038.554008,40903.28096,2000,Sierra,Mariposa,NA,GRANITE,0007-02-20,0007-04-20,CDF,2000,NA,WB,Shooting,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
54,152,2007,CA,USF,SQF,GROUSE,42,8/27/2007 0:00,12/18/2007 0:00,1, ,1022,1004.109985,6,1,42,10368.89716,4063506.091,2009,NA,NA,NA,GROUSE,NA,0008-12-20,NPS,NA,3007,T,Lightning,0,YNP-1510,NA,Mariposa,NA,NA,NA,NA,0,0,0
55,158,2007,CA,USF,KNF,HUMMINGBIRD,58,7/10/2007 0:00,12/6/2007 0:00,1,"Part of the Elk Complex, Total Cost 18,600,000",80,80.3006973,7,1,58,3231.445598,324965.5319,1985,VI,Ventura County,NA,HUMMINGBIRD,NA,NA,CC,NA,1600,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,162,2007,CA,USF,TNF,MARBLE,98,10/18/2007 0:00,10/20/2007 0:00,5, ,27,26.6056004,1,1,98,1786.197695,107669.028,2017,NA,NA,NA,MARBLE,NA,NA,USFS,NA,319,T,Undetermined,0,SRF-703,NA,Siskiyou,NA,NA,NA,NA,0,0,0
57,163,2007,CA,CDF,BDU,LOS FLORES,3475,3/31/2007 0:00,,1,Fire started in Hesperia City. 200 ac of SRA,1600,4099.970215,2,1,0,21104.85229,16591972.53,1984,VI,San Bernardino,NA,LOS FLORES,NA,NA,CDF,316,NA,B,Lightning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,164,2007,CA,CDF,BDU,MERIDIAN,7330,7/5/2007 0:00,7/6/2007 0:00,1, ,447,445.7279968,1,1,0,8483.153791,1803796.263,2015,NA,NA,NA,MERIDIAN,0010-03-20,0010-04-20,CDF,860,NA,G,Equipment use,0,BTU-14554,NA,Butte,NA,NA,NA,NA,0,0,0
59,169,2007,CA,CDF,BEU,BRYSON,1545,5/12/2007 0:00,5/12/2007 0:00,2, ,28,24.7346001,1,1,0,1585.97237,100097.4497,2009,NA,Monterey,NA,BRYSON,NA,NA,CDF,3383,NA,B,Structure,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0
60,178,2007,CA,BLM,CDD,WRIGHT,10034,10/6/2007 0:00,10/6/2007 0:00,9, ,31,31.3111992,1,1,10034,2431.088209,126711.989,2017,NA,NA,NA,WRIGHT,0005-12-20,NA,CDF,1733,NA,G,Undetermined,0,MMU-9464,NA,Merced,NA,NA,NA,NA,0,0,0
61,181,2007,CA,BLM,NOD,BULL,599,2/17/2007 0:00,2/18/2007 0:00,1, ,169,168.8159943,1,1,599,3988.818188,683172.173,2010,NA,NA,NA,BULL,NA,0008-10-20,USFS,NA,16442,B,Misc,14,SQF-2701,NA,Kern,NA,NA,NA,NA,0,0,0
62,183,2007,CA,BLM,NOD,SPRING,3388,5/19/2007 0:00,5/19/2007 0:00,14, ,30,49.2574997,1,1,3388,1858.85596,199337.9322,1999,Coast,Tehama-Glenn,NA,SPRING,NA,NA,CDF,6000,NA,GB,Lightning,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
63,186,2007,CA,BLM,CDD,INKOPAH,6518,6/5/2007 0:00,6/8/2007 0:00,4, ,1118,698.9719849,1,1,6518,9536.241331,2828639.266,2007,San Diego,NA,NA,INKOPAH,0006-05-20,0006-06-20,NA,1500,0,B,Unidentified,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
64,188,2007,CA,BLM,BBD,CANYON,1568,7/23/2007 0:00,6/24/2007 0:00,9, ,84.7,84.7237015,1,1,1568,2693.526124,342864.8472,2003,South,Riverside,NA,CANYON,NA,NA,OTHER,NA,4336,B,Arson,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,191,2007,CA,BLM,CDD,BARRETT,9741,9/24/2007 0:00,9/24/2007 0:00,11, ,21,21.0301991,6,1,9441,1267.129078,85106.36118,1991,III,San Diego,NA,BARRETT,NA,NA,CDF,905,746,BG,Equipment use,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
66,193,2007,CA,CDF,FKU,POWER HOUSE,9029,8/18/2007 0:00,8/19/2007 0:00,10, ,45,45.7994995,2,1,9029,1740.000897,185344.1215,1989,IV,Fresno-Kings,NA,POWER HOUSE,NA,0008-01-19,CDF,11600,NA,TB,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,194,2007,CA,CDF,LNU,LIBERTY,3912,6/15/2007 0:00,6/15/2007 0:00,4, ,3.5,3.4283099,1,1,0,810.7917842,13873.88298,2017,NA,NA,NA,LIBERTY,0012-07-20,0012-09-20,LOCAL,NA,300,BG,Electrical power,3,RRU-151090,NA,Riverside,NA,NA,NA,NA,1,0,0
68,195,2007,CA,CDF,LNU,HIGHWAY,3408,5/30/2007 0:00,5/30/2007 0:00,2, ,40,34.5331001,5,1,0,1688.806132,139750.3839,2000,Sierra,Fresno,NA,HIGHWAY,NA,NA,CDF,700,NA,GB,Arson,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
69,199,2007,CA,CDF,MEU,CLARK,5592,7/28/2007 0:00,7/28/2007 0:00,10, ,47,46.9912987,2,1,5592,1798.568958,190167.0139,1987,NA,NA,NA,CLARK,NA,0009-05-19,USFS,NA,37530,NA,Lightning,4,NA,Plumas,Plumas,NA,NA,NA,NA,NA,0,NA
70,202,2007,CA,CDF,NEU,GARDEN,21981,10/7/2007 0:00,10/7/2007 0:00,2, ,0,146.0330048,1,1,0,3608.549703,590973.3981,2017,NA,NA,NA,GARDEN,NA,0008-09-20,USFS,NA,450,B,Misc,0,SQF-1989,NA,Kern,NA,NA,NA,NA,0,0,0
71,206,2007,CA,CDF,NEU,VALLEY,14224,7/6/2007 0:00,7/6/2007 0:00,7, ,0,69.9761963,1,1,0,2238.013683,283183.4982,1989,I,Mendocino NF,NA,VALLEY,0008-02-19,0008-05-19,USFS,NA,585,TB,Campfire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,212,2007,CA,LRA,NEU,BASELINE,20991,9/24/2007 0:00,9/24/2007 0:00,14, ,0,13.9769001,1,1,0,1654.021593,56562.40878,2010,NA,NA,NA,BASELINE,NA,NA,CALFIRE,434,NA,G,Undetermined,0,NEU-017796,NA,Placer,NA,NA,NA,NA,0,0,0
73,216,2007,CA,CDF,SCU,LICK,5214,9/3/2007 0:00,9/15/2007 0:00,5, ,47760,47748.30078,2,1,0,89863.37783,193230406.1,2007,Santa Clara,NA,NA,LICK,0009-03-20,NA,NA,47760,0,B,Debris Burning,24,NA,NA,NA,NA,NA,NA,NA,NA,0,0
74,217,2007,CA,CDF,SCU,STEVENS,5123,8/30/2007 0:00,9/9/2007 0:00,11, ,151,166.1549988,2,1,0,3946.717054,672405.3061,2004,Cascade,Nevada-Yuba-Placer,NA,STEVENS,0008-08-20,0008-12-20,CDF,934,NA,B,Equipment use,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,218,2007,CA,CDF,SHU,POWER,5201,7/10/2007 0:00,7/12/2007 0:00,14,Power Incident (FIRE_NAME would not accept input),1000,919.1989746,6,1,0,9379.956634,3719868.356,2007,Shasta-Trinity,NA,NA,POWER,0007-10-20,0007-12-20,NA,776,0,B,Unidentified,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
76,220,2007,CA,CDF,SHU,SILVER,4394,6/17/2007 0:00,6/17/2007 0:00,2,Silver Incident (FIRE_NAME would not accept input),75,110.625,1,1,0,4245.598786,447683.5618,2013,NA,NA,NA,SILVER,0008-07-20,NA,CDF,20292,NA,B,Undetermined,48,RRU-79781,NA,Riverside,NA,NA,NA,NA,8,0,0
77,224,2007,CA,CDF,SKU,BEAR,0SKU3868,8/13/2007 0:00,8/18/2007 0:00,2,HOT-SAW USE,841,840.8369751,1,1,0,13427.95494,3402747.155,1987,NA,NA,NA,BEAR,NA,0009-12-19,USFS,NA,550,NA,Lightning,0,NA,Shasta-Trinity,Trinity,NA,NA,NA,NA,NA,0,NA
78,232,2007,CA,CDF,SLU,CUESTA,3363,5/10/2007 0:00,5/10/2007 0:00,2, ,0,44.7114983,1,1,0,2733.202509,180941.1336,2015,NA,NA,NA,CUESTA,NA,0009-03-20,CDF,2446,NA,G,Vehicle,1,SLU-8555,NA,San Luis Obispo,NA,NA,NA,NA,0,0,0
79,238,2007,CA,CDF,SLU,RANCH,6509,8/23/2007 0:00,8/23/2007 0:00,14, ,58400,12.7797003,1,1,0,1388.556215,51717.76841,1996,South,Los Angeles County,NA,RANCH,NA,NA,CC,NA,540,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
80,239,2007,CA,CDF,SLU,POZO,6682,8/30/2007 0:00,8/30/2007 0:00,1, ,22,19.9712009,1,1,0,1275.137124,80820.60665,2010,NA,NA,NA,POZO,NA,NA,CALFIRE,1200,NA,BG,Undetermined,0,SLU-006481,NA,San Luis Obispo,NA,NA,NA,NA,0,0,0
81,242,2007,CA,CDF,SLU,GRADE,9164,12/3/2007 0:00,12/3/2007 0:00,2, ,97,97.1312027,1,1,0,3823.281168,393076.2242,1987,NA,NA,NA,GRADE,0010-04-19,0010-04-19,CDF,2900,NA,NA,Arson,0,NA,NA,San Diego,NA,NA,NA,NA,NA,0,NA
82,243,2007,CA,CDF,SLU,DIABLO,338,1/16/2007 0:00,1/16/2007 0:00,15, ,0,332.3630066,1,1,0,6402.23446,1345023.965,2010,NA,NA,NA,DIABLO,NA,NA,CALFIRE,475,NA,G,Undetermined,1,SCU-002461,NA,Alameda,NA,NA,NA,NA,0,0,0
83,244,2007,CA,CDF,TCU,MURRAY,4493,5/25/2007 0:00,5/26/2007 0:00,5, ,110,102.8669968,1,1,331,3247.670676,416288.8647,1995,South,Tuolumne-Calaveras,NA,MURRAY,0010-06-19,0010-08-19,CDF,500,NA,BW,Misc,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
84,246,2007,CA,CDF,TCU,SHELL,5881,7/2/2007 0:00,7/3/2007 0:00,14, ,100,101.4229965,1,1,470,3448.262719,410442.5007,1985,VI,Riverside,NA,SHELL,0008-11-19,NA,CC,NA,1440,BG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,248,2007,CA,CDF,TCU,GOLDEN,7615,8/16/2007 0:00,8/17/2007 0:00,10,main fire,66,65.6298981,1,1,652,2846.944461,265594.7207,2007,Tuolumne-Calaveras,NA,NA,GOLDEN,NA,NA,NA,66,0,T,Vehicle,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
