FID,OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,Shape_Leng,Shape_Area,Year,Region,Ranger_uni,Ranger_u_1,FIRE_NAM_1,Start,Contained,DPA,CDF_acres_,Other_acre,Veg_type,Cause_1,Destroyed_,Incident_n,National_f,County,County2,County3,Fire_name2,DPA2,Damaged_st,Firefighte,Civilian_f
1939,15139,1951,CA,USF,ANF,CHERRY,0,8/13/1951 0:00,,14,"S.Imsand; Saugus;  50s map 2, 1:126720-Angeles Fire Atlas table+map 2",8300,8782.349609,0,1,0,34134.98948,35540929.16,1985,V,San Benito-Monterey,NA,CHERRY,0007-08-19,NA,CDF,31041,9190,WBG,Arson,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,15147,1989,CA,USF,CNF,ORTEGA,0,6/27/1989 0:00,7/5/1989 0:00,9, ,7880,7752.359863,8,1,25,37104.70199,31372681.8,1989,III,Cleveland NF,NA,ORTEGA,NA,NA,USFS,NA,4000,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1941,15150,1980,CA,USF,SHF,ANDESITE,0,4/13/1980 0:00,4/14/1980 0:00,5, ,520,475.6910095,8,1,5,5788.207178,1925051.312,1987,NA,NA,NA,ANDESITE,NA,NA,USFS,NA,800,NA,Railroad,0,NA,Klamath,Siskiyou,NA,NA,NA,NA,NA,0,NA
1942,15152,2000,CA,USF,INF,SAWMILL,0,8/3/2000 0:00,8/13/2000 0:00,1, ,322,321.6000061,8,1,31,6759.520207,1301468.146,2016,NA,NA,NA,SAWMILL,NA,0010-01-20,CDF,1547,NA,BG,Undetermined,0,LNU-9129,NA,Sonoma,NA,NA,NA,NA,0,0,0
1943,15153,2000,CA,USF,ANF,MORGAN,0,7/7/2000 0:00,7/8/2000 0:00,8, ,250,198.6139984,8,1,73,5772.005166,803763.474,2000,Coast,Lake-Napa,NA,MORGAN,NA,NA,CDF,3283,NA,WB,Undetermined,2,NA,NA,NA,NA,NA,NA,NA,0,0,0
1944,15154,2000,CA,USF,PNF,STORRIE,0,8/17/2000 0:00,9/27/2000 0:00,6, ,55261,56076.30078,8,1,57,91499.47595,226932859.2,2000,Cascade,Plumas,NA,STORRIE,NA,0009-09-20,USFS,NA,55261,N/A,Railroad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1945,15155,1994,CA,USF,SQF,MILL,0,6/28/1994 0:00,6/28/1994 0:00,1, ,7,9.2576599,8,1,37,1133.903652,37464.43071,2012,NA,NA,NA,MILL,NA,NA,CDF,1641,NA,TG,Arson,0,BTU-8116,NA,Tehama,NA,NA,NA,NA,0,0,0
1946,15162,1979,CA,USF,SNF,BIG CREEK,0,9/24/1979 0:00,10/14/1979 0:00,1, ,407,418.6419983,8,1,139,5606.56046,1694182.832,1994,Sierra,Sequoia NF,NA,BIG CREEK,NA,NA,USFS,NA,5250,N/A,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
1947,15169,1994,CA,USF,MDF,LASSEN,0,8/8/1994 0:00,8/9/1994 0:00,9, ,25,5.9796801,8,1,82,600.0948201,24198.9178,2012,NA,NA,NA,LASSEN,0006-12-20,NA,CDF,418,NA,G,Undetermined,0,FKU-7091,NA,Fresno,NA,NA,NA,NA,0,0,0
1948,15171,1994,CA,USF,ENF,CEDAR,0,1/2/1994 0:00,1/3/1994 0:00,9, ,20,20.2436008,8,1,1,1207.550028,81922.98905,1987,NA,NA,NA,CEDAR,0009-02-19,0009-06-19,USFS,NA,709,NA,Lightning,0,NA,Modoc,Modoc,NA,NA,NA,NA,NA,0,NA
