Year,Region,Ranger_unit,Fire_name,Start,Contained,DPA,CDF_acres_burned,Other_acres_burned,Veg_type,Cause,Destroyed_structures,Damaged_structures,Firefighter_fatalities,Civilian_fatalities
1992,I,Humboldt-Del Norte,Martin Series,9/19/1992,9/22/1992,CDF,1453,,TB,Arson,1,0,0,0
1992,I,Lake-Napa,Lightning #1,6/24/1992,6/24/1992,CDF,2150,,G,Ltng.,0,0,0,0
1992,I,Lake-Napa,Borax,8/19/1992,8/19/1992,CDF,1750,200,W,Undet.,15,0,0,0
1992,II,Butte,Maidu,9/22/1992,9/23/1992,CDF,675,,W,Undet.,10,100,0,0
1992,II,Butte,Burtons,9/25/1992,9/26/1992,CDF,6000,,B,Undet.,0,0,0,0
1992,II,Butte,Villa,9/25/1992,9/28/1992,CDF,6700,,GW,Power,19,5,0,0
1992,II,Lassen-Modoc,Day Fire,6/2/1992,6/4/1992,CDF,500,,TW,Equip.,0,0,0,0
1992,II,Lassen-Modoc,Mud,8/12/1992,8/15/1992,CDF,891,594,T,Ltng.,0,0,0,0
1992,II,Nevada-Yuba-Placer,Lincoln,8/19/1992,8/19/1992,CDF,1600,,GB,Smoker,0,0,0,0
1992,II,Nevada-Yuba-Placer,Fawn,8/21/1992,8/21/1992,CDF,350,,G,Power,13,0,0,0
1992,II,Shasta-Trinity,Clover,6/20/1992,6/21/1992,CDF,310,,B,Arson,0,0,0,0
1992,II,Shasta-Trinity,Burney,7/27/1992,7/28/1992,CDF,800,,T,Play/W/Fire,0,0,0,0
1992,II,Shasta-Trinity,Barker,8/20/1992,8/24/1992,CDF,5800,,TGW,Undet.,0,0,0,0
1992,II,Shasta-Trinity,Fountain,8/20/1992,8/28/1992,CDF,63960,,TW,Arson,636,125,0,0
1992,II,Siskiyou,Garvey,6/3/1992,6/6/1992,CDF,353,,TWAP,Undet.,0,0,0,0
1992,III,Riverside,State,5/31/1992,6/2/1992,CDF,1200,,BG,Arson,0,0,0,0
1992,III,Riverside,State 891,7/5/1992,7/7/1992,CDF,1030,,B,Misc.,1,0,0,0
1992,III,Riverside,Forest,9/6/1992,9/9/1992,CDF/BIA,1000,,B,Undet.,0,0,0,0
1992,III,Riverside,State,9/27/1992,9/27/1992,CDF,1080,,GB,Arson,0,0,0,0
1992,III,Riverside,Rainbow,9/27/1992,9/29/1992,CDF,2880,,B,Arson,2,0,0,0
1992,III,Riverside,State,10/7/1992,10/8/1992,CDF,411,,B,Arson,0,0,0,0
1992,III,San Bernardino,Aberdeen,6/24/1992,6/25/1992,CDF,2000,,B,Ltng.,0,0,0,0
1992,III,San Diego,Star Fire,7/16/1992,7/19/1992,CDF,430,,B,Undet.,0,0,0,0
1992,III,San Diego,Manzanita,7/19/1992,7/20/1992,USFS/BIA,821,,B,Undet.,1,0,0,0
1992,III,San Diego,Wildcat,8/17/1992,8/18/1992,BIA,1065,800,B,Arson,0,0,0,0
1992,III,San Diego,Rincon,9/16/1992,9/17/1992,BIA,200,150,B,Undet.,0,0,0,0
1992,IV,Amador-El Dorado,Farnham,8/20/1992,8/22/1992,CDF,800,,T,Equip.,0,0,0,0
1992,IV,Amador-El Dorado,Cleveland,9/29/1992,10/5/1992,USFS,,24580,,Undet.,26,0,2,0
1992,IV,Madera-Mariposa,Snelling,7/14/1992,7/14/1992,CDF,2080,,AP,Ltng.,0,0,0,0
1992,IV,Madera-Mariposa,La Paloma,8/7/1992,8/7/1992,CDF,4800,,G,Undet.,0,0,0,0
1992,IV,Madera-Mariposa,Dry Creek,8/11/1992,8/12/1992,CDF,1500,,G,Ltng.,0,0,0,0
1992,IV,San Benito-Monterey,Jolan #2,6/4/1992,6/4/1992,CDF,1625,,GWB,Arson,2,1,0,0
1992,IV,San Benito-Monterey,Arroyo Seco,8/1/1992,8/5/1992,CDF,300,2200,W,Exposure,1,1,0,0
1992,IV,San Benito-Monterey,Slick Rock,8/17/1992,8/17/1992,USFS,,2480,,,N/A,N/A,N/A,N/A
1992,IV,Tuolumne-Calaveras,Moccasin,8/1/1992,8/4/1992,CDF,8370,,TGWP,Campfire,6,5,0,0
1992,IV,Tuolumne-Calaveras,Old Gulch,8/16/1992,8/21/1992,CDF,17386,,TWP,Vehicle,170,13,0,0
1992,IV,Tuolumne-Calaveras,STF #135,9/7/1992,9/7/1992,USFS,,3460,T,,N/A,N/A,N/A,N/A
