FID,OBJECTID,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,Shape_Leng,Shape_Area,EXPECT_MAT,Year_rb,Fire_me_rb,Expect_m_1,Region_rb,DPA_rb,Ranger_uni,Ranger_u_1,Start_rb,Contained_,CDF_acres_,Other_acre,Total_acre,Veg_type_r,Cause_rb,Destroyed_,Incident_n,tiol_fores,County_rb,County2_rb,County3_rb,Fire_me2_r,DPA2_rb,Damaged_st,Firefighte,Civilian_f,Total_dama,YEAR1,WUI_area
668,14757,CA,USF,BDF,CRANSTON,00000000,2004-06-27,2004-06-27,9, ,25,20.48600006,6,1,00000046,1138.525992,82903.98334,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,2004,0.01265
669,14758,CA,USF,BDF,MARTIN,00000000,2004-07-21,2004-07-23,9, ,140,39.19810104,6,1,00000068,1674.31989,158628.9112,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,2004,39.19806
670,14782,CA,USF,TNF,BASSETTS,00001525,2006-09-19,2006-10-06,9, ,2114,2097.26001,2,1,00000068,15442.47716,8487322.375,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,2006,0.15125
671,14802,CA,USF,ANF,CLUB,00000000,1996-10-06,1996-10-06,8, ,25,34.64369965,8,1,00000238,1529.051199,140198.0482,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1996,25.41333
672,14812,CA,BLM,BBD,BODFISH,00000000,1999-04-08,1999-04-08,8, ,14,30.26350021,8,1,0000U914,2024.708687,122472.154,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1999,13.95375
673,14817,CA,USF,BDF,TRINITY,00000000,2004-08-08,,9, ,195,211.4380035,6,1,00000084,5874.169346,855658.9848,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,2004,63.56278
674,14820,CA,USF,BDF,RUNWAY,00000000,2004-09-07,,2, ,1193,1194.050049,2,1,00000177,20171.37903,4832138.392,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,2004,16.11591
675,14827,CA,USF,SHF,HYAMPOM,00000000,2004-08-14,2004-08-16,7, ,13,24.63829994,8,1,00000128,1226.008428,99707.84206,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,2004,0.14293
676,14830,CA,USF,BDF,DUNCAN,00000000,2001-09-24,2001-09-26,7, ,127,126.3050003,6,1,00000152,3654.267688,511139.4168,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,2001,5.60524
677,14832,CA,USF,BDF,MIDWAY,00000000,2001-08-22,2001-08-23,9, ,150,76.10399628,6,1,00000124,2662.882885,307981.9836,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,2001,1.18407
678,14853,CA,BLM,BBD,SAWMILL,00000000,2003-06-26,2003-06-29,15, ,536,537.2269897,8,1,0000D016,9019.856852,2174082.271,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,2003,101.70385
679,14854,CA,BLM,BBD,POINT,00000000,2003-07-08,2003-07-08,9, ,170,177.5440063,8,1,0000D036,3289.263877,718496.3409,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,2003,43.28615
680,14863,CA,BLM,BBD,ROYCE,00000000,2003-06-29,2003-07-07,2, ,185,187.9790039,8,1,0000D020,6707.744907,760724.5967,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,2003,16.6941
681,14866,CA,BLM,BBD,BACCHI,00000000,2003-06-25,2003-06-26,10, ,60,60.15599823,8,1,0000D010,2183.788028,243442.6597,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,2003,1.05574
682,14868,CA,CCO,LAC,SHANNON,00000000,1999-08-29,,14, ,0,3444.550049,0,1,00143609,24630.99325,13939603.06,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1999,41.4154
683,14869,CA,CCO,LAC,RAFAEL,00000000,1999-12-21,,14, ,0,502.4660034,0,1,00214575,10948.28282,2033408.095,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1999,107.21857
684,14871,CA,USF,ANF,LA TUNA,00000000,1999-08-05,1999-08-05,9, ,225,162.2350006,8,1,00000188,5942.037483,656540.999,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1999,162.23481
685,14878,CA,CDF,TCU,HIGHWAY,00005048,2004-07-02,2004-07-02,5, ,64,62.75930023,1,1,00000510,3371.234873,253977.6947,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,2004,58.61856
686,14880,CA,CDF,TCU,CREEK,00003329,2004-05-07,2004-05-07,5, ,75,71.23760223,1,1,00000319,3004.153969,288288.2731,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,2004,5.59089
687,14881,CA,CDF,TCU,KARDAS,00002600,2004-04-11,2004-04-11,5, ,7,7.650919914,1,1,00000217,788.6038316,30962.17548,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,2004,7.65092
688,14886,CA,CDF,SHU,LAKE,00006401,2004-08-14,2004-08-14,7, ,100,119.4649963,7,1,00000388,4854.829087,483458.0997,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,2004,73.4857
689,14887,CA,CDF,SHU,FRENCH,00006398,2004-08-14,2004-08-16,14, ,12675,12675.40039,7,1,00000385,43853.68067,51295325.14,0,2004,FRENCH, ,Cascade,CDF,Shasta-Trinity, ,8/14/2004,8/20/2004,13005,0,13005,TB,Undetermined,30, , , , , , , ,15,0,0,45,2004,709.60425
