YEAR_,FIRE_NAME,OBJECTID,STATE,AGENCY,UNIT_ID,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,Shape_Length,Shape_Area,Year,FIRE_NAME,Region,DPA,Ranger_unit,Ranger_unit2,Start,Contained,CDF_acres_burned,Other_acres_burned,Veg_type,Cause,Destroyed_structures,Incident_number,National_forest,County,County2,County3,Fire_name2,DPA2,Damaged_structures,Firefighter_fatalities,Civilian_fatalities
1907, ,4419,CA,USF,BDF,0,,,14,,,422.16745,,1,0,6161.735458,1708451.09,,,,,,,,,,,,,,,,,,,,,,,
1907, ,4420,CA,CCO,LAC,0,,,14,,,88.5163345,,1,0,2326.150254,358212.9027,,,,,,,,,,,,,,,,,,,,,,,
1907, ,4421,CA,CCO,LAC,0,6/19/1907 0:00,,14,,,239.0929871,,1,0,3812.68924,967574.9861,,,,,,,,,,,,,,,,,,,,,,,
1907, ,4422,CA,CCO,LAC,0,,,14,,,88.1768799,,1,0,2698.997276,356839.1666,,,,,,,,,,,,,,,,,,,,,,,
1907, ,4423,CA,CCO,LAC,0,,,14,,,170.3106537,,1,0,3693.972148,689222.7678,,,,,,,,,,,,,,,,,,,,,,,
1908, ,2207,CA,USF,BDF,0,,,14,,,214.444458,,1,0,3613.628547,867825.9324,,,,,,,,,,,,,,,,,,,,,,,
1908, ,2208,CA,USF,BDF,0,,,14,,,161.8448181,,1,0,3606.47699,654962.734,,,,,,,,,,,,,,,,,,,,,,,
1908, ,2209,CA,CCO,LAC,0,,,14,,,15.1499405,,1,0,903.7765927,61309.63416,,,,,,,,,,,,,,,,,,,,,,,
1908, ,2211,CA,USF,BDF,0,,,14,,,22.3267746,,1,0,1211.425488,90353.25176,,,,,,,,,,,,,,,,,,,,,,,
1908, ,2212,CA,USF,BDF,0,,,14,,,3.8768978,,1,0,503.8048566,15689.24897,,,,,,,,,,,,,,,,,,,,,,,
1908, ,2213,CA,USF,BDF,0,,,14,,,38.2468948,,1,0,1441.428041,154779.685,,,,,,,,,,,,,,,,,,,,,,,
1908, ,2214,CA,USF,BDF,0,,,14,,,1360.046509,,1,0,10076.52482,5503912.725,,,,,,,,,,,,,,,,,,,,,,,
1908, ,2696,CA,USF,TNF,0,,,14, ,,169.7176056,,1,3,3306.334753,686822.7706,,,,,,,,,,,,,,,,,,,,,,,
1908, ,2697,CA,USF,TNF,0,,,14, ,,1258.932251,,1,1,9273.421022,5094718.046,,,,,,,,,,,,,,,,,,,,,,,
1908, ,2698,CA,USF,TNF,0,,,14, ,,631.2459106,,1,2,6357.926403,2554561.544,,,,,,,,,,,,,,,,,,,,,,,
1908, ,2699,CA,USF,TNF,0,,,14, ,,219.4693298,,1,5,4304.863265,888160.8833,,,,,,,,,,,,,,,,,,,,,,,
1908, ,15772,CA,USF,STF,,,,14,20090305,0,252.1224976,8,1,72,4040.983202,1020303.529,,,,,,,,,,,,,,,,,,,,,,,
1908, ,15773,CA,USF,STF,,,,14,20090305,0,2484.018555,8,1,164,18746.22789,10052466.45,,,,,,,,,,,,,,,,,,,,,,,
1908, ,15774,CA,USF,STF,,,,14,20090305,0,4627.248535,8,1,3,19087.09499,18725811.24,,,,,,,,,,,,,,,,,,,,,,,
1908,LUFFENHOLZ,2215,CA,CDF,HUU,0,9/26/1908 0:00,,14,,,7433.901856,,1,0,24020.79155,30083933.94,,,,,,,,,,,,,,,,,,,,,,,
1908,REEVES,2210,CA,CCO,VNC,0,7/1/1908 0:00,,14,,,859.3488159,,1,0,9553.420271,3477661.306,,,,,,,,,,,,,,,,,,,,,,,
1909, ,843,CA,USF,TNF,0,,,14, ,,2532.95044,,1,2,15738.7535,10250487.15,,,,,,,,,,,,,,,,,,,,,,,
1909, ,844,CA,USF,TNF,0,,,14, ,,173.4994659,,1,1,4878.17725,702127.4574,,,,,,,,,,,,,,,,,,,,,,,
1909, ,845,CA,USF,TNF,0,,,14, ,,293.7128296,,1,4,4156.835616,1188613.657,,,,,,,,,,,,,,,,,,,,,,,
1909, ,846,CA,USF,TNF,0,,,14, ,,155.7324371,,1,3,3414.950736,630226.8167,,,,,,,,,,,,,,,,,,,,,,,
1909, ,2216,CA,USF,BDF,0,,,14,,,415.0194702,,1,0,5488.025368,1679524.218,,,,,,,,,,,,,,,,,,,,,,,
1909, ,2217,CA,USF,BDF,0,,,14,,,267.40979,,1,0,3837.088459,1082169.044,,,,,,,,,,,,,,,,,,,,,,,
1909, ,2218,CA,CCO,LAC,0,,,14,,,19.0820694,,1,0,1201.393717,77222.3916,,,,,,,,,,,,,,,,,,,,,,,
1909, ,2219,CA,CCO,LAC,0,,,14,,,20.4569874,,1,0,1035.737317,82786.49122,,,,,,,,,,,,,,,,,,,,,,,
1909, ,2220,CA,CCO,LAC,0,,,14,,,104.3227005,,1,0,2449.23709,422178.9873,,,,,,,,,,,,,,,,,,,,,,,
1909, ,2546,CA,USF,TNF,0,,,14, ,,513.7844238,,1,8,5952.829742,2079211.84,,,,,,,,,,,,,,,,,,,,,,,
1909, ,2695,CA,USF,BDF,0,,,14,,,34.2424812,,1,0,1446.6969,138574.4038,,,,,,,,,,,,,,,,,,,,,,,
1909, ,2971,CA,USF,TNF,0,,,14, ,,288.6513977,,1,7,5530.760758,1168130.779,,,,,,,,,,,,,,,,,,,,,,,
1909, ,2996,CA,USF,BDF,0,,,14,,,10.3712654,,1,0,793.0345775,41971.02066,,,,,,,,,,,,,,,,,,,,,,,
1909, ,3069,CA,USF,TNF,0,,,14, ,,654.644104,,1,6,8119.382167,2649250.642,,,,,,,,,,,,,,,,,,,,,,,
1909, ,3070,CA,USF,TNF,0,,,14, ,,217.8575134,,1,5,4174.943638,881638.0788,,,,,,,,,,,,,,,,,,,,,,,
1909, ,4426,CA,USF,BDF,0,,,14,,,14.9288254,,1,0,928.2623043,60414.81431,,,,,,,,,,,,,,,,,,,,,,,
1909, ,7777,CA,USF,TNF,0,,,14, ,,896.2272949,,1,9,8776.337193,3626903.302,,,,,,,,,,,,,,,,,,,,,,,
1909, ,15817,CA,USF,STF,,,,14,20090305,0,509.6057434,8,1,192,6366.50362,2062301.269,,,,,,,,,,,,,,,,,,,,,,,
1909, ,15818,CA,USF,STF,,,,14,20090305,0,14412.875,8,1,235,45375.73536,58326837.49,,,,,,,,,,,,,,,,,,,,,,,
1909, ,15819,CA,USF,STF,,,,14,20090305,0,9730.191406,8,1,188,46318.57798,39376687.74,,,,,,,,,,,,,,,,,,,,,,,
1909,HORN CANYON,4425,CA,CCO,VNC,0,9/1/1909 0:00,,14,,,3174.514648,,1,0,18048.46401,12846804.73,,,,,,,,,,,,,,,,,,,,,,,
1909,N/A,3933,CA,USF,SRF,0,5/3/1909 0:00,,14,,,59.7389679,,1,1,1745.201971,241755.0185,,,,,,,,,,,,,,,,,,,,,,,
1909,N/A,3934,CA,USF,SRF,0,7/19/1909 0:00,,14,,,4.97855,,1,2,503.8113711,20147.47756,,,,,,,,,,,,,,,,,,,,,,,
1909,SHOEMAKER,4424,CA,CCO,LAC,0,8/14/1909 0:00,,14,,,450.534729,,1,0,7194.501821,1823249.412,,,,,,,,,,,,,,,,,,,,,,,
1910, ,768,CA,USF,SQF,0,,,14,,,842.7866821,,1,1,7282.780192,3410636.592,,,,,,,,,,,,,,,,,,,,,,,
1910, ,2083,CA,USF,SQF,0,,,14,,,597.7493286,,1,1,6563.507899,2419005.766,,,,,,,,,,,,,,,,,,,,,,,
1910, ,2089,CA,USF,TNF,0,,,14, ,,4411.619141,,1,11,18352.54386,17853188.68,,,,,,,,,,,,,,,,,,,,,,,
1910, ,2090,CA,USF,TNF,0,,,14, ,,113.581398,,1,13,3071.785495,459647.5996,,,,,,,,,,,,,,,,,,,,,,,
1910, ,2166,CA,USF,TNF,0,,,14, ,,2253.788818,,1,20,13562.85252,9120759.353,,,,,,,,,,,,,,,,,,,,,,,
1910, ,2167,CA,USF,TNF,0,,,14, ,,239.0063934,,1,17,4356.853523,967224.5381,,,,,,,,,,,,,,,,,,,,,,,
1910, ,2168,CA,USF,TNF,0,,,14, ,,387.7630005,,1,21,5087.884393,1569221.147,,,,,,,,,,,,,,,,,,,,,,,
1910, ,2997,CA,CCO,LAC,0,,,14,,,103.3103409,,1,0,2380.723533,418082.1203,,,,,,,,,,,,,,,,,,,,,,,
1910, ,2998,CA,CCO,LAC,0,,,14,,,106.3393478,,1,0,3384.24949,430340.0616,,,,,,,,,,,,,,,,,,,,,,,
1910, ,2999,CA,CCO,LAC,0,,,14,,,105.5333328,,1,0,2476.00806,427078.244,,,,,,,,,,,,,,,,,,,,,,,
1910, ,3000,CA,CCO,LAC,0,,,14,,,54.2220192,,1,0,1858.192335,219428.7334,,,,,,,,,,,,,,,,,,,,,,,
1910, ,3002,CA,USF,CNF,0,,,9,,,850.140625,,1,8,8549.517226,3440397.027,,,,,,,,,,,,,,,,,,,,,,,
1910, ,3003,CA,USF,BDF,0,,,14,,,24.1903114,,1,0,1220.458931,97894.71359,,,,,,,,,,,,,,,,,,,,,,,
1910, ,3004,CA,USF,BDF,0,,,14,,,61.8147163,,1,0,2235.640855,250155.2806,,,,,,,,,,,,,,,,,,,,,,,
1910, ,3005,CA,USF,TNF,0,,,14, ,,943.5782471,,1,7,8627.040416,3818525.641,,,,,,,,,,,,,,,,,,,,,,,
1910, ,3006,CA,USF,SQF,0,,,9,,,981.2423706,,1,3,13674.40557,3970946.922,,,,,,,,,,,,,,,,,,,,,,,
1910, ,3007,CA,USF,SQF,0,,,9,,,27.5764523,,1,5,1264.293717,111597.9411,,,,,,,,,,,,,,,,,,,,,,,
1910, ,3008,CA,USF,SQF,0,,,9,,,95.7430801,,1,1,2869.754626,387458.5116,,,,,,,,,,,,,,,,,,,,,,,
1910, ,3009,CA,USF,CNF,0,,,9,,,517.5699463,,1,3,6505.229847,2094531.329,,,,,,,,,,,,,,,,,,,,,,,
1910, ,3010,CA,USF,CNF,0,,,9,,,520.2088623,,1,9,6118.225022,2105210.477,,,,,,,,,,,,,,,,,,,,,,,
1910, ,3011,CA,USF,TNF,0,,,14, ,,773.0079956,,1,3,7659.996098,3128252.372,,,,,,,,,,,,,,,,,,,,,,,
1910, ,3012,CA,USF,TNF,0,,,14, ,,312.2006836,,1,4,4492.741445,1263431.352,,,,,,,,,,,,,,,,,,,,,,,
1910, ,3013,CA,USF,TNF,0,,,14, ,,897.4058838,,1,22,10543.43636,3631672.69,,,,,,,,,,,,,,,,,,,,,,,
1910, ,3014,CA,USF,TNF,0,,,14, ,,722.3986816,,1,5,6748.29313,2923443.756,,,,,,,,,,,,,,,,,,,,,,,
1910, ,3015,CA,USF,TNF,0,,,14, ,,187.2357483,,1,6,3616.832721,757716.2185,,,,,,,,,,,,,,,,,,,,,,,
1910, ,3016,CA,USF,TNF,0,,,14, ,,277.9164734,,1,10,4236.675502,1124688.004,,,,,,,,,,,,,,,,,,,,,,,
1910, ,3703,CA,USF,TNF,0,,,14, ,,2851.977539,,1,12,17751.1044,11541543.71,,,,,,,,,,,,,,,,,,,,,,,
1910, ,3704,CA,USF,TNF,0,,,14, ,,485.04422,,1,18,5612.378375,1962904.33,,,,,,,,,,,,,,,,,,,,,,,
1910, ,3935,CA,CCO,LAC,0,10/24/1910 0:00,,14,,,81.2054672,,1,0,2342.0074,328626.8752,,,,,,,,,,,,,,,,,,,,,,,
1910, ,3936,CA,CCO,LAC,0,,,14,,,19.3458805,,1,0,1106.179188,78290.00359,,,,,,,,,,,,,,,,,,,,,,,
1910, ,3937,CA,CCO,LAC,0,,,14,,,488.2529297,,1,0,5331.762363,1975889.523,,,,,,,,,,,,,,,,,,,,,,,
1910, ,3938,CA,CCO,LAC,0,,,14,,,53.1590805,,1,0,1846.597699,215127.1677,,,,,,,,,,,,,,,,,,,,,,,
1910, ,3939,CA,CCO,LAC,0,,,14,,,27.3314514,,1,0,1194.581769,110606.4576,,,,,,,,,,,,,,,,,,,,,,,
1910, ,4017,CA,USF,LNF,0,,,14,,,18928.94141,,1,6,45622.945,76602705.79,,,,,,,,,,,,,,,,,,,,,,,
1910, ,4018,CA,USF,LNF,0,,,14,,,9445.518555,,1,14,38193.31892,38224656.68,,,,,,,,,,,,,,,,,,,,,,,
1910, ,4019,CA,USF,SQF,0,,,1,,,328.5502014,,1,3,4473.929679,1329595.551,,,,,,,,,,,,,,,,,,,,,,,
1910, ,4020,CA,USF,SQF,0,,,1,,,2059.64502,,1,4,12624.18632,8335087.405,,,,,,,,,,,,,,,,,,,,,,,
1910, ,4021,CA,USF,SQF,0,,,9,,,26.6927338,,1,4,1402.787418,108021.6644,,,,,,,,,,,,,,,,,,,,,,,
1910, ,4427,CA,USF,TNF,0,,,14, ,,519.2299194,,1,8,7208.354624,2101249.037,,,,,,,,,,,,,,,,,,,,,,,
1910, ,4428,CA,USF,CNF,0,,,9,,,1314.68335,,1,4,13147.54049,5320334.891,,,,,,,,,,,,,,,,,,,,,,,
1910, ,4429,CA,USF,CNF,0,,,9,,,78.9628906,,1,11,3157.959444,319551.4749,,,,,,,,,,,,,,,,,,,,,,,
1910, ,4430,CA,USF,CNF,0,,,9,,,158.7472229,,1,1,3458.221243,642427.229,,,,,,,,,,,,,,,,,,,,,,,
1910, ,4431,CA,USF,CNF,0,,,9,,,168.6955261,,1,10,4380.361878,682686.5736,,,,,,,,,,,,,,,,,,,,,,,
1910, ,4432,CA,USF,CNF,0,,,14,,,1988.879028,,1,2,13887.73557,8048707.725,,,,,,,,,,,,,,,,,,,,,,,
1910, ,4433,CA,USF,CNF,0,,,14,,,203.33461,,1,5,5383.4492,822865.9427,,,,,,,,,,,,,,,,,,,,,,,
1910, ,4434,CA,USF,CNF,0,,,9,,,222.2575531,,1,6,5297.834786,899444.4327,,,,,,,,,,,,,,,,,,,,,,,
1910, ,4435,CA,USF,CNF,0,,,14,,,846.0055542,,1,7,11189.53076,3423663.109,,,,,,,,,,,,,,,,,,,,,,,
1910, ,4436,CA,USF,MDF,0,,,1,,,1428.763306,,1,2,10180.67336,5781999.794,,,,,,,,,,,,,,,,,,,,,,,
1910, ,4437,CA,USF,MDF,0,,,9,,,1675.892578,,1,3,13013.39791,6782096.627,,,,,,,,,,,,,,,,,,,,,,,
1910, ,4798,CA,USF,TNF,0,,,14, ,,185.321167,,1,14,3335.348912,749968.1441,,,,,,,,,,,,,,,,,,,,,,,
1910, ,4799,CA,USF,TNF,0,,,14, ,,1533.374634,,1,16,12975.45924,6205347.197,,,,,,,,,,,,,,,,,,,,,,,
1910, ,4800,CA,USF,TNF,0,,,14, ,,260.0143433,,1,15,4622.117839,1052240.707,,,,,,,,,,,,,,,,,,,,,,,
1910, ,5119,CA,USF,TNF,0,,,14, ,,214.9665222,,1,9,4221.331361,869938.6707,,,,,,,,,,,,,,,,,,,,,,,
1910, ,6833,CA,USF,TNF,0,,,14, ,,2860.789795,,1,2,15950.97711,11577205.52,,,,,,,,,,,,,,,,,,,,,,,
1910, ,7778,CA,USF,TNF,0,,,14, ,,770.3933105,,1,19,8303.720927,3117671.053,,,,,,,,,,,,,,,,,,,,,,,
1910, ,9810,CA,USF,TNF,0,,,14, ,,2989.313965,,1,1,17479.95177,12097324.53,,,,,,,,,,,,,,,,,,,,,,,
1910, ,10209,CA,USF,TNF,0,,,14, ,,946.6161499,,1,7,8714.631875,3830819.642,,,,,,,,,,,,,,,,,,,,,,,
1910, ,10503,CA,USF,SQF,0,,,9,,,6.0959139,,1,2,595.0830288,24669.28756,,,,,,,,,,,,,,,,,,,,,,,
1910, ,10506,CA,USF,SQF,0,,,9,,,2046.377686,,1,2,15983.85559,8281396.813,,,,,,,,,,,,,,,,,,,,,,,
1910, ,11638,CA,USF,ANF,0,,,14," S Imsand,Tujunga, 2N 13W-17, bet.Haines&Cooks Cyn-AFA 1906-1930 Cum map 1:1267*",446,445.9263,,1,0,5072.665648,1804599.671,,,,,,,,,,,,,,,,,,,,,,,
1910, ,15534,CA,USF,ANF,0,,,14," S Imsand,Tujunga, 2N 14W-1, NW Big Tujunga Canyon mouth-AFA 1906-1930 Cum map *",58,57.6114998,,1,0,1775.299085,233145.4634,,,,,,,,,,,,,,,,,,,,,,,
1910, ,15536,CA,USF,ANF,0,,,14," S Imsand,Arroyo, 2N 12W-30, E side Arroyo Seco-AFA 1906-1930 Cum map 1:126720",40,39.5685158,,1,0,1468.079106,160128.1021,,,,,,,,,,,,,,,,,,,,,,,
1910, ,15537,CA,USF,ANF,0,,,14," S Imsand,Arroyo, 2N 12W-4, Josephine Saddle area-AFA 1906-1930 Cum map 1:126720",46,45.8091507,,1,0,1609.070016,185383.0623,,,,,,,,,,,,,,,,,,,,,,,
1910, ,15538,CA,USF,ANF,0,,,14," S Imsand,Arroyo, 2N 12W-9, Arroyo Seco jn Colby Canyon-AFA 1906-1930 Cum map 1*",45,44.5770454,,1,0,1807.877749,180396.9036,,,,,,,,,,,,,,,,,,,,,,,
1910, ,15541,CA,USF,ANF,0,,,14," S Imsand,Baldy, 2N 9W-29,32,E side current San Gabriel Res-AFA 1906-1930 Cum m*",116,115.8924255,,1,0,2800.415431,469000.012,,,,,,,,,,,,,,,,,,,,,,,
1910, ,15542,CA,USF,ANF,0,,,14," S Imsand,Baldy, 2N 9W-28, S side E Fork, bet.Burro&Susanna-AFA 1906-1930 Cum m*",34,33.501339,,1,0,1355.46655,135575.1084,,,,,,,,,,,,,,,,,,,,,,,
1910, ,15543,CA,USF,ANF,0,,,14," S Imsand,Baldy, 1N 9W-28, S side E Fork, bet.Burro&Susanna-AFA 1906-1930 Cum m*",43,42.6788025,,1,0,1504.54852,172714.983,,,,,,,,,,,,,,,,,,,,,,,
1910, ,15544,CA,USF,ANF,0,,,14," S Imsand,Baldy, 1N 8W-26, San Antonio Reservoir area-AFA 1906-1930 Cum map 1:1*",129,129.0298462,,1,0,2777.631815,522165.2468,,,,,,,,,,,,,,,,,,,,,,,
