Year,Region,Ranger_unit,Fire_name,Start,Contained,DPA,CDF_acres_burned,Other_acres_burned,Veg_type,Cause,Destroyed_structures,Damaged_structures,Firefighter_fatalities,Civilian_fatalities
2006,Coast,Mendocino,Noble,9/24/2006,9/30/2006,BLM,0,1014,T,Undet.,N/A,N/A,N/A,N/A
2006,Coast,Santa Clara,Canyon,7/9/2006,7/17/2006,CDF,34000,0,GWB,Equip. Use,11,1,N/A,N/A
2006,Coast,Santa Clara,Del Puerto,6/30/2006,7/3/2006,CDF,2593,0,GWB,Debris Burning,N/A,N/A,N/A,N/A
2006,Coast,Santa Clara,Midway,7/11/2006,1/1/2006,CDF,6400,0,A,Equip. Use,N/A,3,N/A,N/A
2006,Coast,Sonoma-Lake-Napa,29,7/17/2006,7/21/2006,CDF,550,0,TWB,Vehicle,3,N/A,N/A,N/A
2006,Coast,Sonoma-Lake-Napa,Napa,9/22/2006,9/24/2006,CDF,387,0,GTWB,Equip. Use,N/A,N/A,N/A,N/A
2006,Cascade,Lassen-Modoc,Cheney,6/26/2006,6/27/2006,CDF,565,35,GTWAB,Equip. Use,1,N/A,N/A,N/A
2006,Cascade,Lassen-Modoc,Creek,7/18/2006,7/21/2006,CDF,1234,0,T,Undet.,N/A,N/A,N/A,N/A
2006,Cascade,Lassen-Modoc,Lightning #53,6/27/2006,6/27/2006,CDF,450,0,T,Lightning,N/A,N/A,N/A,N/A
2006,Cascade,Lassen-Modoc,Lightning #11,6/26/2006,6/26/2006,CDF,21,626,T,Lightning,N/A,N/A,N/A,N/A
2006,Cascade,Lassen-Modoc,Lightning #17,6/26/2006,6/27/2006,CDF,10,490,T,Lightning,N/A,N/A,N/A,N/A
2006,Cascade,Lassen-Modoc,Lightning #26,6/27/2006,7/1/2006,USFS,0,300,T,Lightning,N/A,N/A,N/A,N/A
2006,Cascade,Nevada-Yuba-Placer,Marysville,8/16/2006,8/17/2006,CDF,388,0,TB,Equip. Use,1,N/A,N/A,N/A
2006,Cascade,Shasta-Trinity,Junction,7/29/2006,7/29/2006,CDF,3126,0,W,Misc.,1,N/A,N/A,N/A
2006,Cascade,Siskiyou,Hotlum,2/25/2006,2/27/2006,CDF,1521,0,B,Misc.,4,N/A,N/A,N/A
2006,Cascade,Siskiyou,KNF Assist #11 (Uncles Complex),7/24/2006,7/24/2006,OTHER,0,9785,T,Lightning,1,N/A,N/A,N/A
2006,Cascade,Siskiyou,KNF Assist #12 (Happy Camp),7/25/2006,7/25/2006,OTHER,0,3318,T,Lightning,N/A,N/A,2,N/A
2006,South,Riverside,Cort,6/3/2006,6/4/2006,OTHER,0,362,B,Equip. Use,N/A,N/A,N/A,N/A
2006,South,Riverside,Coyote Fire,7/23/2006,7/26/2006,CDF,467,0,B,Lightning,N/A,N/A,N/A,N/A
2006,South,Riverside,Esperanza-State,10/26/2006,10/31/2006,CDF,40200,0,GWB,Arson,54,N/A,5,N/A
2006,South,Riverside,Orchard,9/16/2006,9/16/2006,CDF,1580,0,G,Undet.,N/A,N/A,N/A,N/A
2006,South,Riverside,Ranch,9/17/2006,9/17/2006,CDF,1200,0,GB,Misc.,3,5,N/A,N/A
2006,South,Riverside,Sunrise,10/13/2006,10/14/2006,CDF,497,0,B,Vehicle,N/A,2,N/A,N/A
2006,South,San Bernardino,Aberdeen,6/7/2006,6/7/2006,OTHER,0,357,B,Lightning,N/A,N/A,N/A,N/A
2006,South,San Bernardino,Goodale,6/26/2006,6/29/2006,OTHER,0,3750,B,Other,N/A,N/A,N/A,N/A
2006,South,San Bernardino,Sawtooth,7/9/2006,7/20/2006,OTHER,0,62000,G,Other,273,14,N/A,1
2006,South,San Bernardino,Whispering Pines,7/22/2006,7/26/2006,OTHER,0,993,B,Other,N/A,N/A,N/A,N/A
2006,South,San Diego,Border Fire #16,7/20/2006,7/20/2006,CDF,315,0,B,Undet.,N/A,N/A,N/A,N/A
2006,South,Ventura,Shekell,12/3/2006,12/5/2006,CDF,13600,0,G,Undet.,7,11,N/A,N/A
2006,South,Kern,Westside,12/7/2006,12/9/2006,CDF,4025,0,G,Undet.,N/A,N/A,N/A,N/A
2006,Sierra,Fresno-Kings,Almazan,5/13/2006,5/14/2006,CDF,1964,0,G,Equip. Use,N/A,N/A,N/A,N/A
2006,Sierra,Fresno-Kings,BLM - 2,7/22/2006,7/22/2006,OTHER,0,8400,G,Lightning,N/A,N/A,N/A,N/A
2006,Sierra,Fresno-Kings,Phelps,10/25/2006,10/25/2006,LOCAL,0,1600,G,Equip. Use,N/A,N/A,N/A,N/A
2006,Sierra,Madera-Mariposa,Olive,7/21/2006,7/21/2006,LOCAL,0,25000,A,Misc.,N/A,N/A,N/A,N/A
2006,Sierra,San Benito-Monterey,Ricco CABEU002665,7/22/2006,7/27/2006,CDF,14506,1700,WB,Equip. Use,N/A,N/A,N/A,N/A
2006,Sierra,Tulare,Alpaugh,5/27/2006,5/27/2006,LOCAL,0,0,G,Equip. Use,N/A,N/A,N/A,N/A
2006,Sierra,Tulare,Kern 19 Cottonwood,8/6/2006,8/6/2006,OTHER,0,2500,G,Undet.,N/A,1,N/A,N/A
2006,Sierra,Tuolumne-Calaveras,Pedro,7/3/2006,7/5/2006,CDF,2000,0,GB,Misc.,N/A,N/A,N/A,N/A
