FID,OBJECTID,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,Shape_Leng,Shape_Area,EXPECT_MAT,Year_rb,Fire_me_rb,Expect_m_1,Region_rb,DPA_rb,Ranger_uni,Ranger_u_1,Start_rb,Contained_,CDF_acres_,Other_acre,Total_acre,Veg_type_r,Cause_rb,Destroyed_,Incident_n,tiol_fores,County_rb,County2_rb,County3_rb,Fire_me2_r,DPA2_rb,Damaged_st,Firefighte,Civilian_f,Total_dama,YEAR1,WUI_area
77,5560,CA,CDF,RRU, ,00022409,1986-08-02,,2, ,0,95.14959717,0,1,00001143,2454.875846,385056.6097,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1986,74.53115
78,5600,CA,CDF,MVU,DUNBAR,00001040,1990-06-26,,7, ,0,197.3890076,0,1,00000359,4652.670971,798804.7479,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1990,53.55377
79,5615,CA,USF,BDF, ,00000000,,,14, ,0,42.89820099,0,1,00000000,1873.531777,173602.7927,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1989,4.97471
80,5618,CA,USF,BDF, ,00000000,,,14, ,0,203.9830017,0,1,00000000,4516.533911,825491.0221,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1990,5.34267
81,5619,CA,USF,BDF, ,00000000,,,14, ,0,367.651001,0,1,00000000,5728.383369,1487831.499,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1990,336.03529
82,5620,CA,USF,BDF, ,00000000,,,14, ,0,356.7210083,0,1,00000000,5772.643309,1443600.728,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1990,24.01077
83,5622,CA,USF,BDF, ,00000000,,,14, ,0,8.443499565,0,1,00000000,759.9038246,34169.61464,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1990,8.4435
84,5628,CA,CCO,LAC,GODDE FIRE,00922456,1990-06-29,,14, ,0,178.8910065,0,1,00000090,4945.83112,723947.3502,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1990,155.11163
85,5630,CA,CCO,LAC,CALGROVE FIRE,00931246,1990-07-04,,14, ,0,89.07949829,0,1,00000790,3137.052392,360491.8628,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1990,88.91424
86,5631,CA,USF,SRF,RODMAR,00000000,1990-08-14,1990-08-14,8, ,6,5.973999977,8,1,00000047,551.8862794,24175.93811,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1990,1.57374
