Year,Region,Ranger_unit,Fire_name,Start,Contained,DPA,CDF_acres_burned,Other_acres_burned,Veg_type,Cause,Destroyed_structures,Damaged_structures,Firefighter_fatalities,Civilian_fatalities
1999,Coast,Santa Clara,Range,8/30/1999,8/30/1999,CDF,1200,,GB,Equip. Use,2,0,0,0
1999,Coast,Lake-Napa,Rumsey,9/28/1999,9/30/1999,CDF,3500,,G,Undet.,0,0,0,0
1999,Coast,Lake-Napa,Sixteen,10/16/1999,10/20/1999,CDF,40000,,TWB,Arson,2,6,0,0
1999,Coast,Shasta-Trinity,Lowden,7/2/1999,7/5/1999,CDF,2000,,T,VMP Burn,23,23,0,0
1999,Coast,Lassen-Modoc,Cinder,8/17/1999,8/19/1999,CDF,575,,T,Rekindle,0,0,0,0
1999,Coast,Tehama-Glenn,DeHaven Gulch,8/23/1999,8/28/1999,CDF,17000,,WB,Lightning,0,0,0,0
1999,Coast,Shasta-Trinity,Spring #5 (Sugarloaf),8/23/1999,8/30/1999,CDF,807,,TB,Lightning,0,0,0,0
1999,Coast,Tehama-Glenn,Inks,8/23/1999,8/24/1999,CDF,5021,,GWB,Lightning,0,0,0,0
1999,Coast,Plumas NF,Assist (Feather River),8/23/1999,,USFS,,24132,,Lightning,N/A,N/A,N/A,N/A
1999,Coast,Tehama-Glenn,Spring,8/23/1999,8/23/1999,CDF,6000,,GB,Lightning,0,0,0,0
1999,Coast,Butte,Woodland,8/23/1999,8/28/1999,CDF,995,,GB,Lightning,0,0,0,0
1999,Coast,Butte,Doe Mill,8/23/1999,8/30/1999,CDF,10857,,GB,Lightning,1,0,0,0
1999,Coast,Lassen-Modoc,Willow,8/23/1999,8/26/1999,CDF,867,6133,B,Undet.,0,0,0,0
1999,Coast,Butte,Musty #1,8/23/1999,8/26/1999,CDF,500,,GB,Lightning,0,0,0,0
1999,Coast,Butte,Musty #2,8/23/1999,8/25/1999,CDF,500,,TB,Lightning,0,0,0,0
1999,Coast,Butte,Musty #3,8/23/1999,8/28/1999,CDF,13652,,TB,Lightning,7,2,0,0
1999,Coast,Butte,Bloomer #3,8/23/1999,8/30/1999,CDF,2590,,GB,Lightning,9,9,0,0
1999,Coast,Tehama-Glenn,Paskenta,8/23/1999,8/23/1999,CDF,1000,,G,Lightning,0,0,0,0
1999,Coast,Butte,Union,8/23/1999,8/30/1999,CDF,736,,B,Lightning,1,0,0,0
1999,Coast,Shasta-Trinity NF,Big Bar Complex,8/23/1999,11/3/1999,USFS,,140948,,Lightning,0,0,0,0
1999,Coast,Butte,South,8/23/1999,8/30/1999,CDF,1572,,B,Lightning,0,0,0,0
