Year,FIRE_NAME,Damaged_structures,Destroyed_structures,Ranger_unit,Start,Incident_number,County,County2,Region,Ranger_unit2,National_forest,County3,Fire_name2,DPA,DPA2,CDF_acres_burned,Other_acres_burned,Veg_type,Cause,Firefighter_fatalities,Civilian_fatalities,Contained
1980,SHIRTAIL,0,0,San Benito-Monterey,9/23/80,NA,NA,NA,V,NA,NA,NA,NA,CDF,NA,2060,0,BG,Arson,NA,NA,9/24/80
2012,SHOCKEY,2,39,NA,9/23/12,MVU-010383,San Diego,NA,NA,NA,NA,NA,NA,CDF,NA,2555,NA,B,Undetermined,0,0,9/27/12
1999,SHOCKEY (BORDER 94),0,3,San Diego,10/3/99,NA,NA,NA,South,NA,NA,NA,NA,CDF,NA,3885,NA,B,Undetermined,0,0,10/5/99
1994,SHOOTING,0,0,Angeles NF,6/25/94,NA,NA,NA,South,NA,NA,NA,NA,USFS,NA,NA,3490,NA,NA,0,0,6/25/94
1997,SHOOTING,0,0,San Bernardino,5/1/97,NA,NA,NA,South,NA,NA,NA,NA,USFS,NA,NA,4500,B,Shooting,0,0,5/2/97
2009,SHOTGUN,0,0,NA,6/17/09,SQF-2025,Tulare,NA,NA,NA,NA,NA,NA,USFS,NA,NA,900,T,Lightning,0,0,7/11/09
1990,SHULTZ (YORBA),0,1,San Bernardino,7/12/90,NA,NA,NA,III,NA,NA,NA,NA,CDF,NA,6040,NA,G,Playing with fire,NA,NA,7/13/90
1979,SIERRA,0,0,San Bernardino,6/9/79,NA,NA,NA,VI,NA,NA,NA,NA,CDF,NA,300,0,B,Arson,NA,NA,6/10/79
1979,SIERRA SERIES,0,0,San Bernardino,6/27/79,NA,NA,NA,VI,NA,NA,NA,NA,CDF,NA,1500,0,B,Arson,NA,NA,6/27/79
2001,SILENT,0,0,Riverside,7/11/01,NA,NA,NA,South,NA,NA,NA,NA,CDF,NA,548,NA,B,Equipment use,0,0,7/12/01
2013,SILVER,8,48,NA,8/7/13,RRU-79781,Riverside,NA,NA,NA,NA,NA,NA,CDF,NA,20292,NA,B,Undetermined,0,0,8/15/13
2008,SILVER KNOB,0,0,NA,6/21/08,SNF-0718,Mariposa,Madera,NA,NA,NA,NA,NA,USFS,NA,NA,1161,T,Lightning,0,0,7/2/08
1979,SILVER SPUR,0,0,San Luis Obispo,8/7/79,NA,NA,NA,V,NA,NA,NA,NA,CDF,NA,300,0,B,Arson,NA,NA,8/7/79
2014,SILVERADO,0,0,NA,9/12/14,CNF-2873,Orange,NA,NA,NA,NA,NA,NA,USFS,NA,NA,985,B,Undetermined,0,0,9/20/14
1987,SILVERADO,0,0,NA,9/9/87,NA,Orange,NA,NA,NA,Cleveland,NA,NA,USFS,NA,NA,5800,NA,Arson,0,NA,9/13/87
1982,SILVERADO,0,1,Lake-Napa,9/11/82,NA,NA,NA,I,NA,NA,NA,NA,CDF,NA,4130,0,TBGW,Misc,NA,NA,9/14/82
2008,SISKIYOU / BLUE 2 COMPLEX,0,0,NA,6/21/08,KNF-2975,Siskiyou,NA,NA,NA,NA,NA,NA,USFS,NA,NA,82186,T,Lightning,1,0,NA
1984,SITE 300 #3,0,0,Santa Clara,6/28/84,NA,NA,NA,V,NA,NA,NA,NA,CDF,NA,3713,1046,BG,Debris,NA,NA,6/28/84
2012,SITES,0,0,NA,7/8/12,LNU-5038,Colusa,NA,NA,NA,NA,NA,NA,CDF,NA,365,NA,G,Undetermined,0,0,7/9/12
1986,SITES,0,0,Lake-Napa,11/10/86,NA,NA,NA,I,NA,NA,NA,NA,CDF,NA,1600,NA,WG,Equipment use,NA,NA,11/10/86
2002,SIXTEEN,0,0,Sonoma-Lake-Napa,10/1/02,NA,NA,NA,Coast,NA,NA,NA,NA,CDF,NA,1500,NA,GB,Equipment use,0,0,10/2/02
1999,SIXTEEN,6,2,Lake-Napa,10/16/99,NA,NA,NA,Coast,NA,NA,NA,NA,CDF,NA,40000,NA,TWB,Arson,0,0,10/20/99
2012,SIXTEEN COMPLEX,0,0,NA,9/4/12,LNU-7072,Colusa,NA,NA,NA,NA,NA,NA,CDF,NA,19000,NA,TGB,Undetermined,0,0,9/11/12
2010,SKINNER,0,0,NA,7/15/10,RRU-062375,Riverside,NA,NA,NA,NA,NA,NA,CALFIRE,NA,503,NA,G,Lightning,0,0,7/18/10
1987,SKINNER,0,0,NA,9/1/87,NA,Riverside,NA,NA,NA,NA,NA,NA,CDF,NA,560,NA,NA,Lightning,0,NA,9/2/87
1979,SKINNER,0,0,Riverside,7/6/79,NA,NA,NA,VI,NA,NA,NA,NA,CDF,NA,495,0,B,Equipment use,NA,NA,7/6/79
1985,SKINNER,0,0,Riverside,8/8/85,NA,NA,NA,VI,NA,NA,NA,NA,CDF,NA,978,NA,G,Equipment use,NA,NA,8/10/85
2017,SKIRBALL,13,9,NA,12/6/17,LFD-30179,Los Angeles,NA,NA,NA,NA,NA,NA,LOCAL,NA,NA,422,BG,Campfire,0,0,12/17/17
2015,SKY,0,0,NA,6/18/15,SNF-1058,Madera,NA,NA,NA,NA,NA,NA,USFS,NA,NA,500,TB,Vehicle,0,0,6/26/15
1980,SKYLINE,0,0,San Bernardino,8/29/80,NA,NA,NA,VI,NA,NA,NA,NA,CDF,NA,570,0,B,Play W/Fire,NA,NA,8/29/80
1996,SKYLINE,0,0,Kings County Assist,4/27/96,NA,NA,NA,Sierra,NA,NA,NA,NA,CC,NA,NA,16740,NA,Equipment use,0,0,4/27/96
2002,SKYWAY,0,0,Butte,6/8/02,NA,NA,NA,Cascade,NA,NA,NA,NA,CDF,NA,2000,NA,G,Undetermined,0,0,6/9/02
1983,SKYWAY #3,0,0,Butte,7/14/83,NA,NA,NA,II,NA,NA,NA,NA,CDF,NA,502,0,B,Smoking,NA,NA,7/15/83
