Year,Incident_number,County,Fire_name,Start,Contained,DPA,DPA2,CDF_acres_burned,Other_acres_burned,Veg_type,Cause,Destroyed_structures,Damaged_structures,Firefighter_fatalities,Civilian_fatalities
2011,KRN-0027933,Kern,Comanche Complex,9/10/2011,9/17/2011,CalFire,CC,29338,NA,BG,Lightning,0,0,0,0
2011,KRN-0027969,Kern,Breckenridge Complex,9/10/2011,9/17/2011,CalFire,CC,25213,NA,BG,Lightning,0,0,0,0
2011,TUU-0000368,Tulare,Tennessee,9/11/2011,9/12/2011,CalFire,NA,380,NA,G,Lightning,0,0,0,0
2011,BDU -0010475,Inyo,John,9/13/2011,9/16/2011,CalFire,NA,5300,NA,BG,Equipment,0,0,0,0
2011,TUU-0000393,Tulare,Tuu Sept Lightning,9/23/2011,9/24/2011,CalFire,NA,350,NA,G,Lightning,0,0,0,0
2011,KRN-129618,Kern,Old Fire,9/23/2011,9/24/2011,CalFire,CC,410,NA,G,Lightning,0,0,0,0
2011,KRN-1129619,Kern,65 Fire,9/23/2011,9/24/2011,CalFire,CC,2005,NA,G,Lightning,0,0,0,0
2011,MVU-0011019,San Diego,Great,10/1/2011,10/7/2011,CalFire,NA,2135,NA,GB,Undetermined,0,0,0,0
2011,TCU-0010455,Calaveras,Blue,12/1/2011,12/6/2011,CalFire,NA,698,NA,T,Other Cause,0,0,0,0
2011,SQF-001234,Kern,Cove,5/27/2011,6/2/2011,USFS,NA,NA,1122,G,Miscellaneous,0,0,0,0
2011,MDF-000181,Modoc,Cougar,6/8/2011,6/13/2011,USFS,NA,NA,1800,T,Campfire,0,0,0,0
2011,SQF-002087,Tulare,Lion,7/8/2011,11/8/2011,USFS,NPS,NA,20500,T,Lightning,0,0,0,0
2011,MDF-00049,Modoc,Mammoth,7/15/2011,9/5/2011,USFS,NA,NA,1194,G,Railroad,0,0,0,0
2011,MDF-000324,Modoc,Scorpion Complex,7/15/2011,9/5/2011,USFS,NA,NA,1418,G,Railroad,0,0,0,0
2011,YNP-0002558,Mariposa,Avalanche,7/31/2011,10/1/2011,NPS,NA,NA,1069,TG,Lightning,0,0,0,0
2011,NOD-003546,Modoc,Annie,8/18/2011,9/16/2011,USFS,NA,NA,2076,T,Miscellaneous,0,0,0,0
2011,KNF-0006061,Siskiyou,Onion,8/19/2011,10/11/2011,USFS,NA,NA,560,T,Lightning,0,0,0,0
2011,BDF-012349,San Bernardino,Ken,8/22/2011,8/30/2011,USFS,NA,NA,350,B,Equipment Use,1,0,0,0
2011,SNF-002117,Mariposa,Motor,8/25/2011,10/1/2011,USFS,NA,NA,5230,B,Equipment Use,0,0,0,0
2011,CDD-012657,San Bernardino,Wells,8/28/2011,8/30/2011,NPS,NA,NA,1784,BG,Lightning,0,0,0,0
2011,LPF-002238,Santa Barbara,Figueroa,9/3/2011,9/12/2011,USFS,NA,NA,698,BG,Equipment Use,0,0,0,0
2011,SQF-003282,Tulare,Willows,9/4/2011,9/12/2011,USFS,NA,NA,310,B,Arson,0,0,0,0
2011,LAC-11215258,Los Angeles,Wagon Wheel,9/5/2011,9/8/2011,USFS,NA,NA,500,G,Miscellaneous,0,0,0,0
2011,ENF-021563,El Dorado,Long,9/12/2011,11/11/2011,USFS,NA,NA,483,T,Lightning,8,0,0,0
2011,YNP-0003619,Mariposa,Tamarack,9/13/2011,10/17/2011,NPS,NA,NA,1015,B,Lightning,0,0,0,0
2011,STF-3013,Tuolumne,Burst Complex,9/15/2011,9/15/2011,USFS,NA,NA,508,T,Lightning,0,0,0,0
2011,ANF-0004969,Los Angeles,Min,9/17/2011,9/30/2011,USFS,NA,NA,634,B,Campfire,0,0,0,0
2011,SRF-0001848,Trinity,Ruth,9/23/2011,11/15/2011,USFS,NA,NA,1460,T,Debris Burning,0,0,0,0
2011,BDF-013860,Riverside,Windy Point,9/25/2011,10/3/2011,USFS,NA,NA,541,G,Miscellaneous,0,0,0,0
2011,ENF-0038070,El Dorado,Salt,12/1/2011,1/4/2011,USFS,NA,NA,342,G,Equipment Use,0,0,0,0
