Year,Incident_number,County,Fire_name,Start,Contained,DPA,DPA2,CDF_acres_burned,Other_acres_burned,Veg_type,Cause,Destroyed_structures,Damaged_structures,Firefighter_fatalities,Civilian_fatalities
2011,BDU-002312,Inyo,Winterton,3/9/2011,3/9/2011,CalFire,NA,395,NA,BG,Debris,0,0,0,0
2011,BDU-002915,Inyo,Center,3/18/2011,3/23/2011,CalFire,NA,850,NA,G,Undetermined,19,0,0,0
2011,BDU-001593,Monterey,Metz,5/12/2011,5/14/2011,CalFire,NA,832,NA,G,Other,0,0,0,0
2011,BDU-001778,Monterey,Cattleman,5/29/2011,5/30/2011,CalFire,NA,382,NA,G,Other,0,0,0,0
2011,KRN-1117159,Kern,Ikea,6/12/2011,6/12/2011,CalFire,CC,640,NA,G,Other,0,0,0,0
2011,KRN-017988,Kern,Antelope,6/19/2011,6/21/2011,CalFire,CC,5200,NA,BG,Undetermined,2,0,0,0
2011,KRN-1118260,Kern,Quinn,6/21/2011,6/22/2011,CalFire,CC,3154,NA,G,Undetermined,0,0,0,0
2011,TCU-005166,Stanislaus,Eastman,6/24/2011,6/24/2011,CalFire,NA,330,NA,G,Other,0,0,0,0
2011,SLU-004752,San Luis Obispo,Highway,6/24/2011,6/24/2011,CalFire,NA,387,NA,G,Equipment,0,0,0,0
2011,MMU-009446,Merced,Rest,6/26/2011,6/27/2011,CalFire,NA,575,NA,G,Other,0,0,0,0
2011,TUU-000134,Tulare,Stage,6/27/2011,7/2/2011,CalFire,NA,1213,NA,T,Equipment,0,0,0,0
2011,HUU-003190,Humboldt,Spanish,7/1/2011,7/4/2011,CalFire,NA,498,NA,TG,Equipment,0,0,0,0
2011,SCU-002637,San Joaquin,Chrisman,7/5/2011,7/6/2011,CalFire,NA,400,NA,G,Equipment,0,0,0,0
2011,ORC-045067,Orange,Carbon Canyon,7/7/2011,7/8/2011,CalFire,CC,508,NA,B,Undetermined,0,0,0,0
2011,TUU-000188,Tulare,Granite,7/9/2011,7/12/2011,CalFire,NA,780,NA,G,Undetermined,7,0,0,0
2011,NEU-015232,Yuba,Krista,7/9/2011,7/10/2011,CalFire,NA,360,NA,BG,Equipment,0,0,0,0
2011,SCU-002779,Alameda,Flynn,7/14/2011,7/14/2011,CalFire,NA,500,NA,G,Equipment,0,0,0,0
2011,SCU-002885,Alameda,Flynn,7/21/2011,7/22/2011,CalFire,NA,545,NA,G,Arson,0,0,0,0
2011,MVU-008019,San Diego,Eagle,7/21/2011,7/29/2011,CalFire,NA,14100,NA,TB,Arson,0,0,0,0
2011,MMU-011070,Merced,Romero,7/23/2011,7/23/2011,CalFire,NA,489,NA,G,Undetermined,0,0,0,0
2011,MEU-005340,Mendocino,Pass,8/3/2011,8/7/2011,CalFire,NA,616,NA,TG,Equipment,0,0,0,0
2011,RRU-071943,Riverside,Gilman,8/6/2011,8/7/2011,CalFire,NA,945,NA,G,Undetermined,0,0,0,0
2011,LNU-006369,Napa,Knoxville,8/13/2011,8/15/2011,CalFire,NA,506,NA,B,Undetermined,0,0,0,0
2011,LNU-006823,Solano,Beacon,8/27/2011,8/30/2011,CalFire,NA,715,NA,BG,Undetermined,0,0,0,0
2011,LAC-194624,Los Angeles,Oasis,8/27/2011,8/29/2011,CalFire,CC,375,NA,B,Lightning,0,0,0,0
2011,RRU-079634,Riverside,Keller,8/29/2011,8/31/2011,CalFire,NA,450,NA,BG,Equipment,0,0,0,0
2011,BDU-009968,San Bernardino,Hill,9/2/2011,9/8/2011,CalFire,USFS,1153,NA,T,Undetermined,3,2,0,0
2011,SLU-007086,San Luis Obispo,Soda,9/3/2011,9/4/2011,CalFire,NA,1528,NA,BG,Equipment,1,0,0,0
2011,TUU-000345,Tulare,Roadrunner,9/4/2011,9/5/2011,CalFire,NA,335,NA,T,Undetermined,0,0,0,0
2011,KRN-027244,Kern,Canyon,9/4/2011,9/11/2011,CalFire,CC,14585,NA,T,Equipment,100,0,0,0
2011,TCU-007982,San Joaquin,Milton,9/9/2011,9/11/2011,CalFire,NA,1122,NA,G,Lightning,0,0,0,0
2011,KRN-0027912,Kern,Keene Complex,9/10/2011,9/14/2011,CalFire,CC,10470,NA,B,Lightning,0,0,0,0
