OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,Shape_Length,Shape_Area
14961,1992,CA,DOD,AFV,SANTA_YNEZ,00000000,1992-11-02,1992-11-02,11,NA,150,150.9385223,4,1,00000000,3579.061148,610826.5393
14962,1992,CA,DOD,AFV,SPRING_CANYON,00000000,1992-11-28,1992-11-28,9,NA,5,10.30682278,4,1,00000000,1084.617527,41710.2319
14963,1991,CA,DOD,AFV,CLARK,00000000,1991-11-27,1991-11-27,11,NA,100,89.36651611,4,1,00000000,3037.271626,361653.4536
14964,1991,CA,DOD,AFV,GARRISON,00000000,1991-04-11,1991-04-11,14,NA,75,59.7146492,4,1,00000000,2171.029898,241656.6111
14965,1990,CA,DOD,AFV,GARRISON,00000000,1990-09-21,1990-09-21,1,NA,2,6.924884796,4,1,00000000,678.9546958,28024.01367
14966,1989,CA,DOD,AFV,COCHEO,00000000,1989-06-14,1989-06-15,10,NA,1000,1233.369019,4,1,00000000,11132.59906,4991267.504
14967,1989,CA,DOD,AFV,SURF,00000000,1989-04-06,1989-04-06,11,NA,2,17.48730278,4,1,00000000,1777.347074,70768.60679
14968,1988,CA,DOD,AFV,MAB_1,00000000,1988-05-03,1988-05-03,14,NA,5,7.194486618,4,1,00000000,772.926447,29115.05446
14969,1988,CA,DOD,AFV,TRAILER_PARK,00000000,1988-08-01,1988-08-01,8,NA,0.25,0.408965319,4,1,00000000,167.3835199,1655.023907
14970,1988,CA,DOD,AFV,MAB_2,00000000,1988-06-26,1988-06-26,11,NA,0.25,1.33075881,4,1,00000000,326.2065953,5385.389651
14971,1986,CA,DOD,AFV,BOAT_HOUSE,00000000,1986-06-19,1986-06-19,6,NA,10,10.251688,4,1,00000000,1130.641833,41487.11005
14972,1986,CA,DOD,AFV,SPRING_CANYON,00000000,1986-10-20,1986-10-20,11,NA,2,2.594103813,4,1,00000000,418.5519481,10497.96608
14973,1986,CA,DOD,AFV,LOS_PADRES,00000000,1986-11-01,1986-11-01,14,NA,3,2.471345186,4,1,00000000,435.2668157,10001.17961
14974,1986,CA,DOD,AFV,AERO_CLUB,00000000,1986-07-22,1986-07-22,18,NA,130,138.5683441,4,1,00000000,3254.505507,560766.2183
14975,1985,CA,DOD,AFV,BARKA,00000000,1985-07-14,1985-07-14,14,NA,50,63.40701675,4,1,00000000,2481.932258,256599.0995
14976,1985,CA,DOD,AFV,SLC-4,00000000,1985-08-21,1985-08-21,8,NA,30,31.27622414,4,1,00000000,2873.557536,126570.3901
14977,1984,CA,DOD,AFV,GOLF_COURSE,00000000,1984-11-02,1984-11-02,14,NA,0.25,0.407266647,4,1,00000000,154.931324,1648.149626
14978,1984,CA,DOD,AFV,SLC-4,00000000,1984-06-25,1984-06-25,8,NA,5,6.694304466,4,1,00000000,912.0111128,27090.88807
14979,1984,CA,DOD,AFV,BOAT_HOUSE,00000000,1984-08-29,1984-08-29,6,NA,10,7.962367535,4,1,00000000,704.6243136,32222.55911
14980,1984,CA,DOD,AFV,GATOR,00000000,1984-08-30,1984-08-30,14,NA,500,274.8678589,4,1,00000000,7944.154145,1112350.717
14981,1984,CA,DOD,AFV,POWER_PLANT,00000000,1984-08-24,1984-08-24,11,NA,1,4.89126873,4,1,00000000,842.0467976,19794.26158
14982,1984,CA,DOD,AFV,LOS_PADRES,00000000,1984-11-25,1984-11-25,14,NA,0.25,0.6113621,4,1,00000000,214.1518729,2474.094715
14983,1984,CA,DOD,AFV,MINUTEMAN,00000000,1984-05-07,1984-05-10,10,NA,2000,1886.777588,4,1,00000000,18385.96561,7635518.232
14984,1984,CA,DOD,AFV,BOAT_HOUSE,00000000,1984-08-30,1984-08-30,6,NA,3,4.880817413,4,1,00000000,636.6949527,19751.96653
14985,1984,CA,DOD,AFV,BOAT_HOUSE,00000000,1984-05-23,1984-05-23,6,NA,4,4.695446014,4,1,00000000,565.3219809,19001.79548
14986,1983,CA,DOD,AFV,BOAT_HOUSE,00000000,1983-09-01,1983-09-01,6,NA,2,2.977847815,4,1,00000000,453.1533542,12050.92208
14987,1983,CA,DOD,AFV,MESA,00000000,1983-09-10,1983-09-10,14,NA,75,43.63653183,4,1,00000000,2367.740467,176590.7804
14988,2000,CA,DOD,AFV,MINATAUR,00000431,2000-07-19,2000-07-19,9,NA,1,0.76354301,4,1,00000431,302.069439,3089.948944
14989,1997,CA,DOD,AFV,UMBRA,00001382,1997-05-11,1997-05-11,11,NA,3,3.261201859,4,1,00001382,551.2018389,13197.61605
14990,1995,CA,DOD,AFV,SLC-6,00000717,1997-08-15,1997-08-15,9,NA,2,2.177445412,4,1,00000717,446.8652598,8811.809038
14991,1989,CA,DOD,AFV,LEE,00000000,1989-08-20,NA,18,NA,30,38.63981247,4,1,00000000,3393.949348,156369.7657
14992,1992,CA,DOD,AFV,LAKE_CANYON,00000000,1992-07-09,1992-07-09,8,NA,35,43.00022507,4,1,00000000,2851.35216,174015.7312
14993,1982,CA,DOD,AFV,13TH_STREET_BRIDGE,00000000,1982-10-27,1982-10-27,14,NA,5,3.01882267,4,1,00000000,544.5075667,12216.74231
14994,1982,CA,DOD,AFV,SANTA_LUCIA,00000000,1982-10-20,1982-10-20,18,NA,45,266.8081665,4,1,00000000,4525.974278,1079734.349
14995,1981,CA,DOD,AFV,CIVIL_BEACH,00000000,1981-07-02,1981-07-02,14,NA,0.25,1.474053264,6,1,00000000,343.4407897,5965.282047
14996,1981,CA,DOD,AFV,TRAILER_PARK,00000000,1981-09-19,1981-09-19,14,NA,20,13.15685177,6,1,00000000,1098.604664,53243.89159
14997,1981,CA,DOD,AFV,LAKE_CANYON_EAST,00000000,1981-07-13,1981-07-13,14,NA,12,11.74218845,6,1,00000000,896.7447332,47518.95192
15009,2004,CA,CDF,MEU,CREEK,00000000,2004-08-08,2004-08-11,7,NA,328,323.7161255,7,1,00000210,6018.534713,1310032.685
15010,2004,CA,BLM,NOD,CCD BORDER,00000000,2004-08-11,2004-08-15,1,NA,359,350.5813599,7,1,0000BA9S,5023.459371,1418752.455
15011,2004,CA,BLM,BBD,UNION,00000000,2004-09-12,2004-09-12,2,NA,35,34.92723083,7,1,0000BE8U,1573.054078,141345.4848
15012,2004,CA,BLM,BBD,DANA,00000000,2004-06-25,2004-07-01,1,NA,2164,3161.477051,7,1,0000A51G,21831.60721,12794043.27
15013,2004,CA,BLM,BBD,GOLD,00000000,2004-07-11,2004-07-11,2,NA,30,34.93005371,7,1,0000A7NB,1466.878435,141356.9144
15014,2004,CA,BLM,BBD,SCHILLING,00000000,2004-07-08,2004-07-08,2,NA,10,10.14339352,7,1,0000A7GN,796.7848529,41048.85559
15015,2004,CA,BLM,BBD,HUNTER,00000000,2004-09-05,2004-09-05,2,NA,11,11.19639301,7,1,0000BEF7,784.7565025,45310.19371
15016,2004,CA,BLM,BBD,COLORADO,00000000,2004-08-06,2004-08-13,2,NA,15,15.4276495,7,1,0000BAG9,960.4488869,62433.48251
15017,2004,CA,BLM,BBD,SIERRA,00000000,2004-05-20,2004-05-20,2,NA,60,60.05212021,7,1,0000A3M1,2273.709251,243022.3145
15018,2004,CA,BLM,BBD,PIUTE,00000000,2004-07-27,2004-07-27,14,NA,12,12.31224823,7,1,0000A9E4,1005.048083,49825.90274
15019,2004,CA,BLM,CDD,SNOW,00000000,2004-05-22,2004-05-23,2,NA,63,60.17913437,7,1,0000A3QW,3478.32148,243536.3166
15020,2004,CA,BLM,CDD,NORTH MTN,00000000,2004-11-08,2004-11-09,2,NA,25,65.38384247,7,1,0000DC85,8705.561401,264599.0357
15021,2004,CA,CDF,RRU,MELTON,00000000,2004-07-17,2004-07-20,1,NA,3693,3693.233887,7,1,00001221,22259.3969,14945987.38
15022,2004,CA,BLM,CCD,BORDER 14,00000000,2004-08-16,2004-08-16,2,NA,20,22.16918182,7,1,0000BCC9,1623.349711,89715.49503
15024,2005,CA,CDF,BDU,PARADISE,00006312,2005-06-22,2005-06-25,14,NA,3082,3081.725586,1,1,00000140,33271.24786,12471300.66
15025,2005,CA,CDF,BDU,HATCHERY,00010450,2005-09-28,2005-09-28,2,NA,200,200.1180115,6,1,00000388,3857.265288,809848.8713
15026,2005,CA,CDF,BDU,OAK HILL,00005090,2005-05-21,2005-05-21,2,NA,120,121.7351456,6,1,00000068,3467.178773,492644.6602
15027,2005,CA,CDF,BDU,RIVER,00003173,2005-03-30,2005-03-31,14,NA,86,86.45296478,6,1,00000017,2611.986957,349862.7366
15028,2005,CA,CDF,BDU,WARM SPRINGS,00003456,2005-04-07,2005-04-07,7,NA,250,249.2337189,6,1,00000020,4601.64543,1008613.061
15029,2005,CA,CCO,LAC,SIERRA,00149034,2005-07-13,2005-04-14,8,NA,364,364.3786011,8,1,00000000,9873.850272,1474587.943
15030,2005,CA,CCO,LAC,SAN CLEMENTE,00148153,2005-07-13,2005-07-13,14,NA,179,179.3562012,8,1,00000000,6127.727343,725828.8043
15031,2005,CA,CCO,LAC,RANGE,00153000,2005-07-19,2005-07-19,7,NA,239,238.9378662,8,1,00000000,5332.40621,966947.2254
15032,2005,CA,CCO,LAC,QUINN,00163678,2005-08-01,2005-08-01,2,NA,136,135.9905701,8,1,00000000,4174.343011,550334.3178
15033,2005,CA,CCO,LAC,QUARTZ,00142171,2005-07-06,2005-07-06,14,NA,127,127.27568050000001,8,1,00000000,4022.340546,515066.3917
15034,2005,CA,CCO,LAC,GORMAN,00189367,2005-09-03,2005-09-06,14,NA,2025,2515.940918,8,1,00000000,21124.2256,10181651.81
15035,2005,CA,CCO,LAC,PALMDALE,00138081,2005-07-01,2005-07-01,7,NA,141,140.441452,8,1,00000000,3650.749466,568346.3643
15036,2005,CA,CCO,LAC,OAK,00133371,2005-06-25,2005-06-25,2,NA,133,133.6878815,8,1,00000000,5624.948014,541015.6595
15037,2005,CA,CCO,LAC,MUNZ,00134919,2005-06-27,2005-06-28,7,NA,1183,1183.535278,8,1,00000000,18836.49476,4789597.314
15051,1984,CA,USF,PNF,NA,00000000,1984-08-21,1984-08-22,1,NA,35,48.12319565,8,1,00000112,1829.137467,194747.6618
15052,1984,CA,USF,SNF,ROCK,00000000,1984-05-19,1984-05-20,9,NA,34,26.63270378,8,1,00000007,1288.423295,107778.7257
15064,1987,CA,USF,ENF,NA,00000000,1987-08-02,1987-09-04,4,NA,12,11.41061687,8,1,00000115,801.4252144,46177.12746
15065,1987,CA,USF,ENF,NA,00000000,1987-04-22,1987-04-22,5,NA,20,16.90359306,8,1,00000006,942.9047494,68406.41082
15066,1987,CA,USF,SHF,CHINA,00000000,1987-08-30,1987-10-13,1,NA,9350,8909.143555,8,1,00000300,28839.82139,36054023.43
15067,1987,CA,USF,SHF,BACKBONE,00000000,1987-08-30,1987-09-17,1,NA,830,1076.089844,8,1,00000301,10437.30126,4354781.077
15068,1999,CA,USF,PNF,PIDGEON,00000000,1999-08-23,1999-09-17,1,NA,4713,4713.206543,8,1,00000119,24391.74953,19073670.91
15069,1999,CA,USF,PNF,CLAREMONT,00000000,1999-08-23,1999-08-26,1,NA,178,177.9694672,8,1,00000104,3351.716485,720216.8893
15070,1999,CA,USF,PNF,HORTON 2,00000000,1999-08-24,1999-09-07,2,NA,4366,4941.254883,8,1,00000133,22525.38135,19996548.93
15071,1999,CA,USF,PNF,CHROME,00000000,1999-08-23,1999-08-24,9,NA,110,134.8713531,8,1,00000110,3180.971193,545805.0103
15072,1999,CA,USF,PNF,STAG,00000000,1999-08-23,1999-09-06,1,NA,467,467.2175293,8,1,00000103,6828.950539,1890762.302
15073,1999,CA,USF,PNF,DEVILS GAP,00000000,1999-08-22,1999-08-28,1,NA,1450,1480.194214,8,1,00000129,14229.75664,5990133.534
15074,1999,CA,USF,PNF,BEAN,00000000,1999-08-23,1999-09-02,1,NA,1475,1784.989014,8,1,00000132,15341.60734,7223594.225
15075,1999,CA,USF,PNF,MOSQUITO,00000000,1999-08-23,1999-08-27,1,NA,51,50.56309509,8,1,00000112,1852.625062,204621.5914
15076,2002,CA,USF,INF,BIRCH,00000000,2002-07-01,2002-07-30,1,NA,2624,2549.371582,2,1,00000017,20165.29936,10316940.84
15077,2002,CA,USF,INF,FULLER,00000000,2002-07-12,NA,1,NA,6400,6432.914551,2,1,00000025,34560.52096,26033081.13
15078,2002,CA,USF,INF,PIPER,00000000,2002-07-12,2002-07-15,1,NA,151,150.7776947,2,1,00000024,3843.742507,610175.6774
15079,2002,CA,USF,SQF,MCNALLY,00000000,2002-07-21,2002-08-28,4,NA,150696,149475.2813,6,1,00000043,283975.2541,604904977.1
15080,2002,CA,USF,SQF,ROCKY,00000000,2002-06-02,2002-06-04,9,NA,498,446.0316772,6,1,00000020,6498.522274,1805026.209
15081,2002,CA,USF,SRF,LASSIC,00000000,2002-10-16,2002-10-17,9,NA,25,23.541008,8,1,00000062,1348.751328,95267.07833
15082,1995,CA,USF,ENF,MILL,00000000,1995-11-04,1995-11-05,5,NA,104,103.5107498,8,1,00000049,3324.211166,418893.1451
15083,1999,CA,USF,MDF,MUD,00000000,1999-07-13,1999-07-14,1,NA,63,63.17927933,8,1,00000009,2706.694869,255677.4664
15084,1999,CA,USF,MDF,MUD 2,00000000,1999-08-25,1999-08-26,1,NA,16,16.34967613,8,1,00000077,1262.723207,66164.79407
15085,1999,CA,USF,SNF,REDINGER,00000000,1999-09-15,1999-09-19,9,NA,24,24.23521042,8,1,00000107,1178.049358,98076.41485
15086,1999,CA,USF,SNF,JOSE,00000000,1999-06-16,1999-06-16,2,NA,10,10.12251472,8,1,00000015,752.0804888,40964.36384
15087,1999,CA,USF,SNF,WISHON,00000000,1999-05-25,1999-05-26,9,NA,10,9.940032959,8,1,00000011,731.4775251,40225.88493
15088,1999,CA,USF,SNF,NORTH,00000000,1999-08-11,1999-08-11,1,NA,60,55.83515549,8,1,00000079,2117.995532,225956.8514
15089,1999,CA,USF,SNF,GRANITE,00000000,1999-10-08,1999-10-11,9,NA,12,11.92799568,8,1,00000142,1102.00279,48270.88582
15090,1999,CA,USF,SQF,COOKS,00000000,1999-09-06,1999-09-09,9,NA,18,10.00571442,8,1,00000069,813.0022866,40491.69075
15091,1999,CA,USF,SQF,TULE,00000000,1999-10-05,1999-10-07,7,NA,15,9.334947586,8,1,00000081,754.2016715,37777.19139
15092,1999,CA,USF,SQF,CYRUS,00000000,1999-05-17,1999-05-18,2,NA,110,102.9105377,8,1,00000002,3486.713966,416464.1665
15093,1999,CA,USF,SQF,SHADOW,00000000,1999-06-12,1999-06-12,9,NA,65,60.46222305,8,1,00000011,2755.97366,244681.9424
15094,1982,CA,USF,PNF,NA,00000000,1982-08-01,1982-08-02,3,NA,52,42.8231926,8,1,00000051,2519.235375,173299.3094
15095,1982,CA,USF,INF,NA,00000000,1982-09-11,1982-09-12,8,NA,34,5.302605629,8,1,00000077,728.7397163,21458.88369
15096,1982,CA,USF,MNF,NA,00000000,1982-06-05,1982-06-05,7,NA,25,20.11697006,8,1,00000004,1125.908735,81410.48911
15097,1982,CA,USF,SQF,NA,00000000,1982-08-19,1982-08-22,1,NA,170,210.6904144,8,1,00000109,4275.686764,852633.8671
15098,1982,CA,USF,SQF,NA,00000000,1982-07-17,1982-07-17,7,NA,15,6.191313744,8,1,00000060,644.1248678,25055.35766
15099,1982,CA,USF,SQF,NA,00000000,1982-07-29,1982-07-31,1,NA,23,21.0937233,8,1,00000079,1158.224364,85363.26803
15100,1982,CA,USF,SQF,NA,00000000,1982-08-21,1982-08-21,7,NA,30,13.11525536,8,1,00000122,855.4413192,53075.55574
15101,1982,CA,USF,SQF,NA,00000000,1982-08-03,1982-08-03,9,NA,20,5.393287182,8,1,00000083,643.7702368,21825.85792
15102,1982,CA,USF,SQF,NA,00000000,1982-05-31,1982-05-31,9,NA,900,1094.16333,8,1,00000015,9905.747557,4427921.996
15103,1982,CA,USF,SQF,NA,00000000,1982-09-05,1982-09-06,7,NA,60,91.52479553,8,1,00000168,3244.985926,370387.706
15104,1982,CA,USF,SQF,NA,00000000,1982-07-10,1982-07-10,7,NA,15,2.726623535,8,1,00000055,451.4341795,11034.254
15105,1982,CA,USF,SQF,NA,00000000,1982-08-13,1982-08-13,7,NA,250,74.28556061,8,1,00000090,2624.412975,300622.9993
15106,1982,CA,USF,SQF,NA,00000000,1982-06-17,1982-06-17,7,NA,74,16.16170502,8,1,00000022,1116.694757,65404.09843
15107,1982,CA,USF,SQF,USFS #20 CHIMNEY,00000000,1982-08-18,1982-08-19,7,NA,1000,594.4767456,8,1,00000095,8037.865195,2405761.969
15117,1981,CA,USF,CNF,SPRING,00000000,1981-07-21,1981-07-21,9,NA,80,98.32894135,8,1,00000048,3192.02927,397923.1044
15145,1989,CA,USF,CNF,CONEJOS,00000000,1989-06-10,1989-06-11,4,NA,220,214.5823059,8,1,00000021,4450.638109,868383.7921
15146,1989,CA,USF,CNF,PINE VALLEY,00000000,1989-09-07,1989-09-08,3,NA,130,129.3562775,8,1,00000046,3483.739798,523486.2846
15147,1989,CA,USF,CNF,ORTEGA,00000000,1989-06-27,1989-07-05,9,NA,7880,7752.358398,8,1,00000025,37104.70199,31372681.8
15148,1980,CA,USF,SHF,NA,00000000,1980-08-13,1980-08-16,7,NA,280,273.5304871,8,1,00000075,7286.803119,1106938.634
15149,1980,CA,USF,SHF,NA,00000000,1980-08-15,1980-08-17,7,NA,980,1443.470581,8,1,00000076,12750.64166,5841518.426
15150,1980,CA,USF,SHF,ANDESITE,00000000,1980-04-13,1980-04-14,5,NA,520,475.6905518,8,1,00000005,5788.207178,1925051.312
15151,1980,CA,USF,SQF,NA,00000000,1980-11-22,NA,9,NA,31,31.1170311,8,1,00000169,1422.791324,125926.1554
15152,2000,CA,USF,INF,SAWMILL,00000000,2000-08-03,2000-08-13,1,NA,322,321.5997925,8,1,00000031,6759.520207,1301468.146
15153,2000,CA,USF,ANF,MORGAN,00000000,2000-07-07,2000-07-08,8,NA,250,198.6142731,8,1,00000073,5772.005166,803763.474
15154,2000,CA,USF,PNF,STORRIE,00000000,2000-08-17,2000-09-27,6,NA,55261,56076.33203,8,1,00000057,91499.47595,226932859.2
15155,1994,CA,USF,SQF,MILL,00000000,1994-06-28,1994-06-28,1,NA,7,9.257662773,8,1,00000037,1133.903652,37464.43071
15159,1979,CA,USF,TMU,NA,00000000,1979-06-26,1979-06-28,3,NA,23,13.3807497,8,1,00000010,1039.103469,54149.9746
15160,1979,CA,USF,SNF,TIMBER LODGE,00000000,1979-07-14,1979-07-14,3,NA,107,99.03205872,8,1,00000048,2926.531073,400768.511
15161,1979,CA,USF,SNF,CATTAIL,00000000,1979-09-13,1979-09-17,1,NA,180,166.4714813,8,1,00000121,4506.652131,673686.1821
15162,1979,CA,USF,SNF,BIG CREEK,00000000,1979-09-24,1979-10-14,1,NA,407,418.6416931,8,1,00000139,5606.56046,1694182.832
15163,1979,CA,USF,SNF,NA,00000000,1979-10-07,1979-10-07,2,NA,120,142.5091858,8,1,00000162,3425.458899,576714.1958
